bibkey,paper,task,subject,age,gender,choice,r,country
Amador2021,Amador Hidalgo et al. 2021,HL,1,18,1,5,0.6457569429371506,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,2,18,0,2,-0.08973290443420406,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,3,21,0,4,0.5860769816488027,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,5,19,0,3,0.13414479146944358,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,6,19,1,6,0.8869948449777438,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,7,19,0,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,8,20,1,4,0.47926485757343473,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,9,18,1,3,0.25069849255727605,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,10,18,1,6,0.9365430491045117,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,11,19,0,5,0.7834308990091086,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,12,26,0,5,0.6672720099054277,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,13,18,0,6,0.9668212907388806,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,14,18,0,6,1.089721860946156,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,15,20,0,4,0.4798870970192365,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,16,19,0,2,-0.08143756313249467,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,17,18,0,5,0.8158644071500748,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,19,18,1,6,0.9902224503690377,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,20,18,0,5,0.7741238021571188,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,23,20,1,5,0.7852033328684047,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,24,18,0,6,0.9837665998609736,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,25,29,1,6,0.971245525847189,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,26,19,0,5,0.6000091825891286,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,27,19,1,3,0.26704286941094324,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,30,18,1,6,1.0969317149138078,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,31,22,1,0,-0.37,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,32,18,0,6,0.894453705032356,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,34,18,1,2,-0.11654267383739353,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,36,19,0,4,0.466267137073446,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,37,18,1,6,1.0739847333868964,Spain
