enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
3,1,13,0,1,0,0,1,0,1,1,0,,4.7184987,0,3,27,1,.67000002,2,8
5,2,9,0,1,0,0,0,1,0,0,1,,5.1704841,0,2,28,1,.33000001,2,8
11,9,15,1,0,0,1,1,0,0,0,0,1,5.1929569,1,1,55,1,1,0,8
2,10,13,0,0,1,0,1,1,1,1,0,4,6.8023949,1,4,37,1,1,1,8
11,12,8,0,0,0,1,1,0,0,0,0,1,4.7874918,1,1,29,1,1,0,8
3,17,10,0,0,0,1,1,1,1,1,1,5,4.934474,1,5,25,0,1,0,8
7,18,10,0,0,0,1,0,0,0,1,1,,5.1590552,0,2,38,1,0,0,8
9,19,13,1,0,1,0,1,1,1,1,1,5,4.7874918,1,5,33,1,1,1,8
4,20,7,0,1,0,0,1,1,1,1,1,5,5.4380794,1,5,39,1,1,2,8
5,21,13,1,1,0,0,1,0,0,0,0,1,4.9126549,1,1,37,1,1,2,8
4,22,17,0,0,1,0,1,0,0,0,0,1,5.4380794,1,1,33,0,1,1,8
12,23,13,1,0,1,0,1,1,1,0,0,3,6.1737862,1,3,40,1,1,1,8
4,25,7,1,1,0,0,1,1,0,0,0,2,5.09375,1,2,31,0,1,2,10
3,28,2,0,0,1,0,0,1,0,1,0,,4.6913481,0,2,22,0,.5,1,10
7,29,13,0,1,0,0,1,1,1,1,0,4,4.9126549,1,4,24,1,1,2,8
2,30,7,1,0,1,0,1,0,0,0,0,1,6.0402546,1,1,36,1,1,1,12
9,31,8,0,0,1,0,0,0,0,0,0,0,5.1929569,1,0,27,1,1,1,8
9,32,7,0,0,1,0,1,0,0,0,0,1,5.1929569,1,1,32,1,1,1,8
5,33,13,0,1,0,0,1,0,1,0,1,,5.1761498,0,3,25,1,.5,2,8
11,34,15,0,0,0,1,1,1,1,0,0,3,4.7874918,1,3,42,1,1,0,8
10,35,7,0,0,1,0,1,1,1,1,1,5,5.0434251,1,5,62,1,1,1,8
2,36,10,0,0,1,0,1,0,0,0,0,1,,1,1,26,1,1,1,12
7,37,13,1,0,0,1,0,0,0,0,0,0,5.0562458,1,0,34,1,1,0,8
6,38,3,0,1,0,0,0,1,1,0,0,,4.7706847,0,2,36,1,.67000002,2,8
8,42,4,0,0,1,0,1,0,0,0,0,1,4.8751974,1,1,26,1,1,1,12
3,43,7,1,1,0,0,1,1,0,1,0,,5.3936276,0,3,33,1,.82999998,2,8
10,44,7,0,1,0,0,1,1,1,1,1,5,5.0238805,1,5,23,1,1,2,12
13,46,7,0,1,0,0,1,0,0,0,0,1,4.7874918,1,1,26,1,1,2,10
9,47,13,0,0,1,0,1,0,0,0,0,1,5.1929569,1,1,34,1,1,1,10
7,48,7,0,0,0,1,1,1,0,0,0,2,4.6913481,1,2,28,1,1,0,10
