bg.village,unique.id,age,female,education,sufficient.money,a1,a2,a3,a4,a5,consistency,RA,T.R,T.B,T.H,risktime,enumerator.code,RA.all
Dorayi,10305,42,MALE,Primary three,YES,1,1,1,1,1,1,5,1,0,0,13,103,5
Ja'en,13302,28,FEMALE,Primary six,YES,1,1,0,0,0,1,2,0,1,0,70,133,2
Gidan Maharba,14404,40,MALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,14,144,5
Ja'en,13002,60,MALE,SS 3,NO,1,1,1,1,0,1,4,1,0,0,11,130,4
Dorayi,11401,45,FEMALE,No Education,NO,1,1,1,1,0,1,4,0,1,0,335,114,4
Dorayi,11802,40,FEMALE,No Education,NO,0,0,0,0,0,1,0,0,1,0,79,118,0
Ja'en,13402,40,MALE,SS 3,YES,1,1,0,0,0,1,2,1,0,0,98,134,2
Gidan Maharba,13801,42,MALE,Post-secondary: complete,YES,1,1,1,0,0,1,3,0,0,1,14,138,3
Dorayi,10103,55,MALE,No Education,YES,1,1,0,0,0,1,2,0,1,0,11,101,2
Dorayi,10203,29,FEMALE,No Education,YES,1,1,1,1,1,1,5,0,0,1,8,102,5
Dorayi,10803,66,MALE,Primary: Two,YES,1,1,1,1,1,1,5,1,0,0,13,108,5
Dorayi,11601,50,MALE,SS 3,YES,0,0,0,0,0,1,0,0,0,1,94,116,0
Dorayi,11405,32,MALE,Primary six,YES,0,0,0,0,1,0,,0,0,1,73,114,1
Dorayi,10104,26,FEMALE,Primary five,YES,1,1,1,0,0,1,3,1,0,0,17,101,3
Ja'en,12601,39,FEMALE,Post-secondary: incomplete,YES,1,1,1,1,1,1,5,1,0,0,90,126,5
Dorayi,11702,35,MALE,No Education,YES,1,1,0,0,0,1,2,0,0,1,14,117,2
Ja'en,12307,40,FEMALE,SS 3,YES,1,0,0,0,0,1,1,0,0,1,15,123,1
Ja'en,13303,31,FEMALE,Post-secondary: incomplete,YES,1,1,1,0,0,1,3,0,1,0,114,133,3
Ja'en,12003,38,FEMALE,SS 3,NO,1,1,1,0,0,1,3,1,0,0,12,120,3
Ja'en,13404,42,FEMALE,SS 3,YES,1,1,1,1,1,1,5,1,0,0,84,134,5
Gidan Maharba,14403,63,MALE,Postgraduate,YES,1,1,1,1,1,1,5,0,1,0,15,144,5
Gidan Maharba,13807,30,MALE,JSS 2,YES,1,1,1,1,1,1,5,0,1,0,32,138,5
Dorayi,11501,64,MALE,No Education,YES,1,1,1,0,0,1,3,1,0,0,184,115,3
