id,treatment,age,gamma,RA_all,RA,crtscore,courses,sesion,male,T_B,T_H,T_R,a1,a2,a3,a4,a5,consistency2,pay
1,Hyp,23,1,3,3,1,4 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,0,1,0,1,1,1,0,0,1,0
2,1out10,20,1,1,1,0,3 de Grado,"22 de abril de 2019, sesión 14:30, aula 01",Sí,1,0,0,1,0,0,0,0,1,1
4,Hyp,20,1,3,3,1,2 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",No,0,1,0,1,1,1,0,0,1,0
6,1out10,22,1,4,4,1,4 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,1,0,0,1,1,1,1,0,1,1
11,Hyp,20,1,4,4,0,3 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,0,1,0,1,1,1,1,0,1,0
13,Real,19,1,2,2,1,2 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,0,0,1,1,1,0,0,0,1,2
15,Hyp,20,1,2,2,1,3 de Grado,"22 de abril de 2019, sesión 13:30, aula 03",No,0,1,0,1,1,0,0,0,1,0
16,Hyp,20,1,2,2,2,2 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",No,0,1,0,1,1,0,0,0,1,0
17,1out10,20,1,2,2,1,2 de Grado,"23 de abril de 2019, sesión 13:30, aula 03",No,1,0,0,1,1,0,0,0,1,1
26,1out10,20,1,4,4,2,2 de Grado,"23 de abril de 2019, sesión 13:30, aula 03",No,1,0,0,1,1,1,1,0,1,1
27,1out10,21,1,2,2,0,4 de Grado,"23 de abril de 2019, sesión 13:30, aula 03",Sí,1,0,0,1,1,0,0,0,1,1
28,Real,20,1,3,3,0,3 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,0,0,1,1,1,1,0,0,1,2
33,Real,20,1,2,2,1,3 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",No,0,0,1,1,1,0,0,0,1,2
34,Hyp,20,1,4,4,0,3 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,0,1,0,1,1,1,1,0,1,0
35,Hyp,21,1,4,4,0,4 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,0,1,0,1,1,1,1,0,1,0
41,1out10,19,0,2,,0,1 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",Sí,1,0,0,1,0,0,1,0,.67000002,1
42,Real,23,1,2,2,2,4 de Grado,"22 de abril de 2019, sesión 14:30, aula 01",Sí,0,0,1,1,1,0,0,0,1,2
43,Hyp,20,1,3,3,0,1 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,0,1,0,1,1,1,0,0,1,0
45,1out10,20,1,2,2,1,3 de Grado,"22 de abril de 2019, sesión 14:30, aula 01",No,1,0,0,1,1,0,0,0,1,1
49,1out10,32,1,4,4,2,4 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,1,0,0,1,1,1,1,0,1,1
50,Real,21,1,3,3,1,3 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",No,0,0,1,1,1,1,0,0,1,2
52,Hyp,24,1,3,3,0,3 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",No,0,1,0,1,1,1,0,0,1,0
53,Hyp,22,,0,0,1,4 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",Sí,0,1,0,,,,,,,0
55,Hyp,26,1,2,2,1,4 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,0,1,0,1,1,0,0,0,1,0
58,1out10,20,1,3,3,0,3 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,1,0,0,1,1,1,0,0,1,1
62,Hyp,,1,4,4,0,,,,0,1,0,1,1,1,1,0,1,0
64,Real,21,0,2,,1,3 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,0,0,1,1,0,0,0,1,.5,2
65,Hyp,21,1,2,2,0,4 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",Sí,0,1,0,1,1,0,0,0,1,0
67,Hyp,20,1,4,4,2,3 de Grado,"22 de abril de 2019, sesión 13:30, aula 01",No,0,1,0,1,1,1,1,0,1,0
70,1out10,21,1,4,4,0,4 de Grado,"22 de abril de 2019, sesión 14:30, aula 01",Sí,1,0,0,1,1,1,1,0,1,1
72,Real,19,1,4,4,0,2 de Grado,"23 de abril de 2019, sesión 13:30, aula 01",No,0,0,1,1,1,1,1,0,1,2
