bibkey,paper,task,subject,age,gender,choice,r,treatment,soep,dosocial,dohealth,doinvest,dogamble,doethic,dorecre,doall,country,city
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,1,23,1,51,1.0408163265306123,dynamic,6,5.833333492279053,4.5,3.6666667461395264,1,3,6,4,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,2,21,1,65,1.8571428571428572,notrial,6,3.3333332538604736,3.5,3.3333332538604736,3,2.6666667461395264,3.8333332538604736,3.277777671813965,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,3,20,1,35,0.5384615384615384,notrial,7,5.5,6.166666507720947,3.6666667461395264,5.333333492279053,4.166666507720947,4.666666507720947,4.916666507720947,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,4,25,0,76,3.1666666666666665,random,8,5.166666507720947,4.666666507720947,5.666666507720947,5.666666507720947,6,4.666666507720947,5.30555534362793,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,5,23,0,45,0.8181818181818182,fast,7,5.833333492279053,4.833333492279053,5.333333492279053,4.666666507720947,3.5,6.5,5.111111164093018,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,6,20,0,40,0.6666666666666666,mixed 5x5,3,4.666666507720947,2.8333332538604736,3.6666667461395264,1.6666666269302368,3,3.8333332538604736,3.277777671813965,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,7,23,0,35,0.5384615384615384,dynamic,8,4.666666507720947,4.333333492279053,6,4,2.3333332538604736,5.833333492279053,4.527777671813965,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,8,22,1,34,0.5151515151515151,lossaversion,2,3.3333332538604736,3,1.3333333730697632,1.6666666269302368,2,1.1666666269302368,2.0833332538604736,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,9,23,0,46,0.8518518518518519,notrial,6,5,3.6666667461395264,3.3333332538604736,2.3333332538604736,2.1666667461395264,5.333333492279053,3.6388888359069824,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,10,26,0,62,1.631578947368421,explosion,5,5.166666507720947,1.5,4.666666507720947,1,1.3333333730697632,2.6666667461395264,2.722222089767456,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,11,22,0,70,2.3333333333333335,dynamic,8,5.166666507720947,4.333333492279053,2,4,2.1666667461395264,5.333333492279053,3.8333334922790527,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,12,22,1,64,1.7777777777777777,5x5,6,5.666666507720947,3.6666667461395264,2,3,1.6666666269302368,5.5,3.5833332538604736,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,13,21,0,42,0.7241379310344828,highstake,5,5,3.8333332538604736,2.3333332538604736,2.3333332538604736,3,5.5,3.6666665077209473,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,14,20,0,40,0.6666666666666666,lossaversion,4,4.833333492279053,2.3333332538604736,5.333333492279053,4.333333492279053,2.6666667461395264,4.333333492279053,3.972222328186035,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,15,23,1,50,1,highstake,7,4.833333492279053,3,3.3333332538604736,2,2.1666667461395264,2.5,2.972222328186035,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,16,19,1,35,0.5384615384615384,highstake,5,5,4.333333492279053,3.3333332538604736,2.3333332538604736,2.6666667461395264,4.333333492279053,3.6666667461395264,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,17,26,1,40,0.6666666666666666,dynamic,2,5.166666507720947,2.3333332538604736,2.3333332538604736,1,1.3333333730697632,3.1666667461395264,2.555555582046509,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,18,24,1,70,2.3333333333333335,fast,6,5.333333492279053,3.8333332538604736,2.6666667461395264,1,2.1666667461395264,2.8333332538604736,2.972222328186035,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,19,63,0,19,0.2345679012345679,lossaversion,1,3.1666667461395264,2.1666667461395264,1,1,2.3333332538604736,1.1666666269302368,1.8055555820465088,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,20,22,0,25,0.3333333333333333,static,7,5,2.8333332538604736,3,2.6666667461395264,2.3333332538604736,3.5,3.222222328186035,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,21,21,0,55,1.2222222222222223,random,5,4.833333492279053,2.8333332538604736,4.666666507720947,4.333333492279053,2.6666667461395264,3.8333332538604736,3.8611111640930176,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,22,32,0,52,1.0833333333333333,5x5,7,5.833333492279053,4.166666507720947,2,2,2.1666667461395264,6,3.694444417953491,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,23,22,1,50,1,dynamic,6,5.166666507720947,3.3333332538604736,4.666666507720947,1,2.3333332538604736,3,3.25,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,24,21,0,50,1,dynamic,2,3.5,3.3333332538604736,3.6666667461395264,2,2.3333332538604736,2.5,2.8888888359069824,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,25,27,0,30,0.42857142857142855,dynamic,2,4.5,1.8333333730697632,3.3333332538604736,1,1.3333333730697632,2.3333332538604736,2.3888888359069824,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,26,26,1,56,1.2727272727272727,mixed 5x5,7,6.5,3.1666667461395264,2.3333332538604736,2,1.5,4.333333492279053,3.305555582046509,Germany,Jena
Crosetto2013,"Crosetto and Filippin, JRU 2013",BRET,27,21,1,52,1.0833333333333333,5x5,4,5.5,2.3333332538604736,2,2,2.1666667461395264,3.5,2.9166667461395264,Germany,Jena
