bibkey,paper,task,subject,age,gender,choice,r,country,city
Csermely2016,Csermely and Rabas 2016,HL,1,30,1,6,0.9233142869547009,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,2,19,1,6,0.890001347870566,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,3,28,0,5,0.7892899085674434,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,4,26,0,7,1.4252539889747275,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,5,48,0,9,2.1541247976198794,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,6,27,0,7,1.2303568495996295,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,7,26,0,4,0.40327204795088617,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,8,21,1,6,0.9057919004233553,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,9,27,0,2,-0.2450153910368681,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,10,23,1,9,2.2972361830808223,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,11,25,0,8,1.6764846342802047,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,12,28,1,5,0.6001718612574041,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,13,28,0,5,0.8402826087642461,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,14,24,1,6,0.9525095384335145,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,15,57,0,6,0.89268084554933,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,16,21,0,9,2.025867801355198,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,17,28,1,8,1.7878726498270407,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,18,23,1,6,0.9864541473099961,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,19,22,1,6,0.8906049282988533,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,20,34,0,3,0.28888300512218856,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,21,26,0,7,1.274879559278488,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,22,26,0,8,1.7402349193952977,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,23,25,1,6,0.8757036607479677,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,24,23,0,4,0.37727083909092474,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,25,22,0,7,1.366823924621567,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,26,20,1,7,1.4632841992052272,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,27,35,0,5,0.6257180776167661,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,28,23,1,7,1.261201794776134,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,29,27,0,9,2.0194146826397628,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,30,22,1,6,1.0864096399396657,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,31,66,1,7,1.1812505478411912,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,32,22,0,1,-0.37,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,33,20,1,7,1.4061623403709382,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,34,28,1,4,0.5712300515174866,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,35,21,1,6,0.8528431586688384,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,36,25,0,8,1.5917129392363132,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,37,27,0,6,0.8704813979798928,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,38,21,1,5,0.63566159714479,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,39,26,1,6,1.078581691510044,Austria,Vienna
Csermely2016,Csermely and Rabas 2016,HL,40,25,1,7,1.1982938614161684,Austria,Vienna
