bibkey,paper,task,subject,choice,r,city,tablet_id,age,gender,country,latitude,longitude
Dannenberg2022,Dannenberg et al. 2022,IG,1,531,0.6684048537613277,Kakukuru,1,23,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,2,291,-0.9486017445192553,Kakukuru,2,46,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,3,701,0.7921412972157489,Kakukuru,3,45,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,4,921,0.8859330679654125,Kakukuru,4,27,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,5,523,0.6594668252251775,Kakukuru,5,35,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,6,573,0.70886692429865,Kakukuru,6,22,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,7,267,-3.570410725661412,Kakukuru,7,47,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,8,499,0.6295810724205416,Kakukuru,8,39,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,9,448,0.5443482584707611,Kakukuru,9,23,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,10,505,0.6375286857174662,Kakukuru,10,32,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,11,0,-1,Kakukuru,11,22,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,12,520,0.6559933913090233,Kakukuru,12,24,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,13,0,-1,Kakukuru,13,19,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,14,419,0.47460404548901663,Kakukuru,14,31,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,15,175,1.8970762239924184,Kakukuru,15,30,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,16,641,0.7584100389519104,Kakukuru,16,20,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,17,300,-0.6133777550366369,Kakukuru,17,26,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,18,424,0.48820295728743957,Kakukuru,18,31,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,19,190,2.153863251019549,Kakukuru,1,47,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,20,306,-0.44951107213732716,Kakukuru,2,44,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,21,811,0.8413135221912843,Kakukuru,3,46,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,22,736,0.809093466561298,Kakukuru,4,48,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,23,442,0.5315592157916448,Kakukuru,5,40,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,24,413,0.45723416631795205,Kakukuru,6,39,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,25,534,0.6716409765438955,Kakukuru,7,43,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,26,460,0.5678586501890672,Kakukuru,8,45,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,27,500,0.6309297535714572,Kakukuru,9,30,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,28,678,0.7800220586744693,Kakukuru,10,40,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,29,160,1.724541939040067,Kakukuru,11,53,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,30,14,1.1284749087954176,Kakukuru,12,42,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,31,166,1.7863438769118625,Kakukuru,13,58,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,32,757,0.8185768713293182,Kakukuru,14,51,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,33,487,0.6125884878572734,Kakukuru,15,53,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,34,502,0.6335978764858422,Kakukuru,16,44,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,35,386,0.3609235002200375,Kakukuru,17,32,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,36,517,0.65245009075381,Kakukuru,18,24,0,Uganda,0.133333,30.783333
Dannenberg2022,Dannenberg et al. 2022,IG,37,808,0.8400960405161884,Namasabo,1,23,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,38,600,0.7304227103091845,Namasabo,2,25,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,39,600,0.7304227103091845,Namasabo,3,23,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,40,460,0.5678586501890672,Namasabo,4,24,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,41,817,0.8437372663572877,Namasabo,5,46,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,42,151,1.6454733675043571,Namasabo,6,28,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,43,691,0.7869797205428049,Namasabo,7,35,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,44,523,0.6594668252251775,Namasabo,8,40,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,45,708,0.7956636693537685,Namasabo,9,57,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,46,680,0.7811117521099317,Namasabo,10,28,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,47,564,0.7009897912154858,Namasabo,11,27,0,Tanzania,-2.10875,33.04086
Dannenberg2022,Dannenberg et al. 2022,IG,48,543,0.6809969185353287,Namasabo,12,22,0,Tanzania,-2.10875,33.04086
