bibkey,paper,task,subject,age,gender,choice,r,n,soep_patience,soep_impulsive,soep,soep_financial,country
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,12178,25,1,10,3.79,0,1,5,5,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13053,24,0,6,0.9351439265301451,0,2,1,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13072,24,0,5,0.6955950150219723,0,9,5,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13072,24,0,4,0.44744847630150614,0,9,5,6,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13100,24,1,4,0.5207615622226148,0,9,6,5,1,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13101,24,0,5,0.7997211609361693,0,9,10,3,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13101,24,0,3,0.259589437674731,0,9,10,3,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13115,24,1,5,0.6391507194703444,0,5,6,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13115,24,1,1,-0.006021326184272766,0,5,6,8,3,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13126,24,0,10,2.71,0,11,5,10,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13126,24,0,9,2.970355768639129,0,11,5,10,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13136,25,0,10,2.71,0,10,1,9,1,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13136,25,0,10,3.79,0,10,1,9,1,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13142,24,1,5,0.8362260602973401,0,10,2,8,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13143,24,1,3,0.3714263845351524,0,9,5,10,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13162,24,0,5,0.7131097195041366,0,8,7,4,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,13177,24,1,4,0.48111152271041646,0,9,3,9,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,13177,24,1,4,0.524290912123397,0,9,3,9,6,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,14097,23,1,3,0.06704884163569659,0,9,5,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,14097,23,1,2,0.11062532782088966,0,9,5,3,5,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,HL,14107,23,1,3,0.31649192296201367,0,9,9,7,4,Greece
DrichoutisNayga2022,Drichoutis et Nayga 2022,PV,14107,23,1,2,0.10801115375943482,0,9,9,7,4,Greece
