="Summary statistics"

="",="order-QB",="order-BQ",="Total"

="Survey: Age (years)",="21.82",="22.38",="22.10"
="",="(0.66)",="(0.69)",="(0.48)"

="Survey: =1 if female",="0.60",="0.53",="0.57"
="",="(0.06)",="(0.06)",="(0.05)"

="Survey: =1 if Economics major",="0.07",="0.08",="0.07"
="",="(0.03)",="(0.04)",="(0.02)"

="Survey: =1 if postgraduate student",="0.20",="0.37",="0.28"
="",="(0.05)",="(0.06)",="(0.04)"

="Survey: =1 if born in Australia",="0.62",="0.70",="0.66"
="",="(0.06)",="(0.06)",="(0.04)"

="Survey: # past experiments participated",="0.45",="0.37",="0.41"
="",="(0.10)",="(0.12)",="(0.08)"

="Survey: =1 if studied probability/statistics",="0.87",="0.85",="0.86"
="",="(0.04)",="(0.05)",="(0.03)"

="Risk: # risky choices",="3.25",="3.02",="3.13"
="",="(0.17)",="(0.21)",="(0.13)"

="Observations",="120",="",=""

