bibkey,paper,task,subject,choice,r,country,age,gender,city,longitude,lattitude
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,1,9,0.24823773655574768,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,2,9,0.2578262050985359,Australia,27,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,3,9,0.1547002496989444,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,4,6,0.8845449950965121,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,5,7,0.6872609930904582,Australia,26,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,6,7,0.6345110944332555,Australia,31,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,7,6,0.9638217795966193,Australia,21,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,8,7,0.7167405361006968,Australia,29,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,9,6,0.9277772959787398,Australia,23,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,10,5,1.0125785314291715,Australia,26,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,11,9,0.19059737408999353,Australia,33,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,13,7,0.6459737645974383,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,14,6,0.8217526217224076,Australia,28,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,15,5,1.0852578923106193,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,16,7,0.6901097132777795,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,17,5,1.061874613314867,Australia,22,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,18,6,0.9385271947272122,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,19,4,1.5004317392595112,Australia,45,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,20,5,1.1420269778370857,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,21,4,1.6183886226871982,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,22,5,1.1770641657710075,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,23,6,0.9155132829351351,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,24,6,0.9450629054149613,Australia,30,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,25,6,0.9197890022350474,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,27,6,0.9817350256396458,Australia,20,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,28,3,2.1460464955307543,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,29,4,1.616389852403663,Australia,22,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,30,5,1.0670146837830543,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,31,6,0.9949442730657756,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,32,5,1.1484759770333768,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2020,"Erkal, Gangadharan, and Koh 2020",CEPL,33,6,0.7652393345395103,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
