bibkey,paper,task,subject,choice,r,country,age,gender,city,longitude,lattitude
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,1,25,0.6309297535714603,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,2,25,0.6309297535714603,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,3,30,0.7304227103091884,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,4,40,0.8368288369533943,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,5,0,-1,Australia,24,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,6,25,0.6309297535714603,Australia,32,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,7,50,1,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,8,50,1,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,9,50,1,Australia,27,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,10,25,0.6309297535714603,Australia,21,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,11,0,-1,Australia,22,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,12,35,0.7916321530544465,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,13,25,0.6309297535714603,Australia,33,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,14,50,1,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,15,45,0.876976584523827,Australia,20,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,16,50,1,Australia,23,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,17,50,1,Australia,23,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,18,30,0.7304227103091884,Australia,18,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,19,25,0.6309297535714603,Australia,29,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,20,50,1,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,21,35,0.7916321530544465,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,22,30,0.7304227103091884,Australia,22,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,23,50,1,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,24,40,0.8368288369533943,Australia,19,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,25,40,0.8368288369533943,Australia,18,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,26,25,0.6309297535714603,Australia,23,1,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,27,50,1,Australia,19,0,Melbourne,-37.79822719279415,144.96098472664792
Erkal2022,"Erkal, Gangadharan, and Koh 2022",IG,28,25,0.6309297535714603,Australia,29,1,Melbourne,-37.79822719279415,144.96098472664792
