bibkey,paper,task,subject,gender,choice,r,country
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,4,0.5005034254863858,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,4,0.4897775097028352,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,1,-0.37,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,10,2.71,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,7,1.287395041277632,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,6,0.8667814531130716,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,2,-0.1803664849884808,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,8,1.7418461362319066,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,8,1.764924194617197,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,3,0.07463219026802108,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,9,2.166652081301436,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,1,-0.37,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,6,1.1102977775270118,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,10,2.71,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,9,2.5950546217057853,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,3,0.2453732030745596,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,8,1.5113520149281248,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,6,1.0709790064487605,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,5,0.8022693324042484,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,7,1.2693970555299892,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,4,0.48670272119808944,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,3,0.22019669864093888,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,9,2.4182376718241723,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,24,1,7,1.190974708092399,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,25,1,10,2.71,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,26,1,6,1.080841176630929,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,27,1,6,1.0314819756895304,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,28,1,4,0.5458658740040846,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,29,0,5,0.6130330310482531,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,30,1,9,2.709935729522258,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,31,1,2,-0.32091341007500884,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,32,1,5,0.7815513986349105,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,33,1,10,2.71,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,34,1,4,0.340493959072046,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,35,1,8,1.7955439680162817,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,36,1,6,0.9685334085253998,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,37,1,4,0.3518295499961823,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,38,1,7,1.1687385911028831,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,39,1,4,0.4238095406582579,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,40,1,7,1.4170392871974036,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,41,1,7,1.3598791922023519,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,42,0,5,0.8036787903634831,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,43,0,3,0.24277480455813932,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,44,1,7,1.2709291280154138,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,45,0,6,1.0448565337806939,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,46,1,6,0.9400084119522943,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,47,1,3,0.1383951624808833,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,48,0,3,0.1933604612667114,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,49,1,7,1.1615854575997218,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,50,1,3,0.14207064567366617,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,51,1,3,0.09528342178557068,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,52,1,9,2.4010759316012265,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,53,0,6,1.0361225626664234,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,54,1,9,2.101420058570802,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,55,1,3,0.05870272338856012,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,56,1,3,0.27368014319799844,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,57,1,3,0.2735971482121386,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,58,1,7,1.3450943728582934,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,59,1,2,-0.16445306165143847,Israel
ErtHaruvy2017,Ert and Haruvy 2017,HL,60,1,7,1.4857192704314366,Israel
