bibkey,paper,task,subject,age,gender,choice,r
Fairley2019,Fairley and Parelman 2019,BERP,1,23,1,30.585,0.9153074966332486
Fairley2019,Fairley and Parelman 2019,BART,1,23,1,21.857,0.5186389198680682
Fairley2019,Fairley and Parelman 2019,BART,2,20,1,30.889,0.4469476639029966
Fairley2019,Fairley and Parelman 2019,BERP,2,20,1,33.75,0.5094339622641509
Fairley2019,Fairley and Parelman 2019,BERP,4,26,1,24.375,0.6
Fairley2019,Fairley and Parelman 2019,BART,4,26,1,30.235,0.8696965338702718
Fairley2019,Fairley and Parelman 2019,BART,5,18,0,29.3,0.5779092702169625
Fairley2019,Fairley and Parelman 2019,BERP,5,18,0,28.873,0.5647309640698653
Fairley2019,Fairley and Parelman 2019,BERP,6,20,0,30.98,0.9106407995296886
Fairley2019,Fairley and Parelman 2019,BART,6,20,0,38.143,1.4202256394980826
Fairley2019,Fairley and Parelman 2019,BART,8,21,1,28.929,0.7043656107715907
Fairley2019,Fairley and Parelman 2019,BERP,8,21,1,36.75,1.105263157894737
Fairley2019,Fairley and Parelman 2019,BERP,9,22,1,22.315,0.5353244572388149
Fairley2019,Fairley and Parelman 2019,BART,9,22,1,31,0.9393939393939394
Fairley2019,Fairley and Parelman 2019,BERP,11,18,0,44.908,1.7897337796907382
Fairley2019,Fairley and Parelman 2019,BART,11,18,0,28.286,0.6780936855731889
Fairley2019,Fairley and Parelman 2019,BART,12,23,1,13.5,0.3698630136986301
Fairley2019,Fairley and Parelman 2019,BERP,12,23,1,24,0.9230769230769231
Fairley2019,Fairley and Parelman 2019,BART,13,18,1,37,1.608695652173913
Fairley2019,Fairley and Parelman 2019,BERP,13,18,1,30.251,1.0168745167904805
Fairley2019,Fairley and Parelman 2019,BERP,14,20,0,33.969,1.0946795140343528
Fairley2019,Fairley and Parelman 2019,BART,14,20,0,27.5,0.7333333333333333
Fairley2019,Fairley and Parelman 2019,BERP,16,31,1,49.5,0.9801980198019802
Fairley2019,Fairley and Parelman 2019,BART,16,31,1,37.8,0.607717041800643
Fairley2019,Fairley and Parelman 2019,BART,17,23,1,38,0.6129032258064516
Fairley2019,Fairley and Parelman 2019,BERP,17,23,1,49.868,0.9947339024974069
Fairley2019,Fairley and Parelman 2019,BERP,18,18,1,30.445,0.7696877765137151
Fairley2019,Fairley and Parelman 2019,BART,18,18,1,25.125,0.5598885793871866
Fairley2019,Fairley and Parelman 2019,BERP,19,18,1,53.204,3.1676589664205763
Fairley2019,Fairley and Parelman 2019,BART,19,18,1,22.636,0.47791571657799164
Fairley2019,Fairley and Parelman 2019,BART,20,18,1,34.222,0.8392270341850999
Fairley2019,Fairley and Parelman 2019,BERP,20,18,1,36.737,0.9601181297859552
Fairley2019,Fairley and Parelman 2019,BERP,21,20,1,48.175,2.2073310423825885
Fairley2019,Fairley and Parelman 2019,BART,21,20,1,39.429,1.289751725491479
Fairley2019,Fairley and Parelman 2019,BERP,22,18,1,19.612,0.3540839170939553
Fairley2019,Fairley and Parelman 2019,BART,22,18,1,21.312,0.39696021457308894
Fairley2019,Fairley and Parelman 2019,BERP,24,19,1,39.055,1.086521073862846
Fairley2019,Fairley and Parelman 2019,BART,24,19,1,37.5,1
Fairley2019,Fairley and Parelman 2019,BART,25,19,0,37.5,1.1538461538461537
Fairley2019,Fairley and Parelman 2019,BERP,25,19,0,37.47,1.1518598217030434
Fairley2019,Fairley and Parelman 2019,BERP,26,19,1,20.93,0.4749262536873156
Fairley2019,Fairley and Parelman 2019,BART,26,19,1,27.083,0.7142706437745602
Fairley2019,Fairley and Parelman 2019,BART,27,22,0,20.188,0.25294441938555606
Fairley2019,Fairley and Parelman 2019,BERP,27,22,0,42.85,0.7497812773403325
Fairley2019,Fairley and Parelman 2019,BERP,28,21,1,25.812,0.6586710217413494
