bibkey,paper,task,subject,age,gender,choice,r,sex,treatment,country
Gnambs2015,Gnambs et al PONE 2015,BART,1,25,0,21.1,0.4918414918414919,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,2,26,0,11.583333333333334,0.2209856915739269,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,3,25,1,14,0.28,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,4,31,0,23,0.5609756097560976,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,5,27,0,29.77777777777778,0.8701298701298702,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,6,22,1,21.615384615384617,0.5099818511796733,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,7,24,0,9.071428571428571,0.16514954486345904,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,8,20,1,34,1.1333333333333333,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,9,27,0,32.083333333333336,1.0052219321148828,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,10,21,0,9.75,0.17972350230414746,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,11,22,0,19,0.4222222222222222,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,12,21,0,11.6,0.22137404580152673,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,13,21,1,27.285714285714285,0.7431906614785991,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,14,21,0,18.727272727272727,0.41365461847389556,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,15,22,0,22,0.5238095238095238,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,16,20,0,23.454545454545453,0.57847533632287,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,17,22,0,26.857142857142858,0.7230769230769232,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,18,27,0,23,0.5609756097560976,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,19,19,0,32.25,1.015748031496063,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,20,23,0,15.9,0.3305613305613306,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,21,25,0,23.5,0.5802469135802469,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,22,18,0,9.727272727272727,0.17922948073701842,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,23,21,0,25.166666666666668,0.6480686695278971,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,24,20,1,21,0.4883720930232558,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,25,22,1,16.555555555555557,0.3489461358313818,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,26,26,0,38.77777777777778,1.537444933920705,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,27,20,0,25.571428571428573,0.6654275092936803,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,28,33,1,29.375,0.8483754512635379,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,29,20,0,17.625,0.38005390835579517,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,30,24,0,24.583333333333332,0.6236786469344607,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,31,23,1,18.3,0.40043763676148797,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,32,23,0,15.666666666666666,0.32413793103448274,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,33,23,0,22.4,0.5384615384615384,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,34,30,0,3.7857142857142856,0.06287069988137603,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,35,24,1,28,0.7777777777777778,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,36,22,1,27.333333333333332,0.7454545454545454,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,37,20,0,21.428571428571427,0.5033557046979865,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,38,23,0,15.363636363636363,0.3158878504672897,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,39,26,0,21.8,0.5165876777251185,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,40,24,1,31.25,0.9541984732824428,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,41,23,0,37.5,1.4150943396226414,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,42,24,0,13.083333333333334,0.2569558101472995,1,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,43,31,1,19.53846153846154,0.439446366782007,2,blue ballonn,Germany
Gnambs2015,Gnambs et al PONE 2015,BART,44,20,0,4.923076923076923,0.08333333333333333,1,blue ballonn,Germany
