"age","sex","BARTp1","BARTp2","BARTp3","BARTp4","BARTp5","BARTp6","BARTp7","BARTp8","BARTp9","BARTp10","BARTp11","BARTp12","BARTp13","BARTp14","BARTp15","BARTp16","BARTp17","BARTp18","BARTp19","BARTp20","BARTp21","BARTp22","BARTp23","BARTp24","BARTp25","BARTp26","BARTp27","BARTp28","BARTp29","BARTp30","BARTe1","BARTe2","BARTe3","BARTe4","BARTe5","BARTe6","BARTe7","BARTe8","BARTe9","BARTe10","BARTe11","BARTe12","BARTe13","BARTe14","BARTe15","BARTe16","BARTe17","BARTe18","BARTe19","BARTe20","BARTe21","BARTe22","BARTe23","BARTe24","BARTe25","BARTe26","BARTe27","BARTe28","BARTe29","BARTe30","cb"
25,1,10,26,12,20,39,12,24,25,20,24,21,36,24,25,8,31,40,24,34,2,38,30,13,21,16,10,7,12,15,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
26,1,25,2,5,14,11,1,15,14,10,13,15,13,11,16,4,23,1,8,10,9,8,9,20,8,20,2,1,10,10,10,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
25,2,24,14,16,24,6,6,24,25,21,24,24,20,19,20,30,12,3,12,14,12,11,20,14,3,17,13,13,1,14,3,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
31,1,22,24,24,19,1,29,21,13,35,13,36,30,26,24,17,6,21,2,30,1,19,22,21,19,9,8,16,24,25,22,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
27,1,31,49,10,6,9,41,23,28,6,14,16,37,18,1,31,7,30,38,40,32,13,21,10,40,22,29,12,19,31,34,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
22,2,10,10,11,2,11,12,12,11,14,14,4,12,16,17,21,20,18,15,19,23,24,15,21,22,22,25,24,26,13,22,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
24,1,9,8,3,15,9,10,11,5,8,12,11,7,8,9,13,8,4,6,8,9,10,9,9,5,9,11,12,11,12,12,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,2,49,36,40,28,40,30,40,5,39,7,46,19,24,34,34,14,9,2,21,40,13,21,20,18,51,1,30,50,26,30,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1
27,1,17,9,6,2,11,6,12,10,12,13,5,9,27,17,15,26,29,29,26,33,15,27,31,17,13,38,36,55,55,40,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
21,1,3,2,8,7,4,7,6,8,6,8,1,8,5,8,11,16,6,15,11,7,23,6,10,7,6,7,9,10,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
22,1,16,20,27,9,22,22,1,26,21,15,27,26,27,7,10,10,24,23,1,45,26,8,20,9,21,1,23,16,18,33,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1
21,1,18,20,18,9,1,13,16,16,20,14,16,11,12,11,1,12,7,9,16,14,0,14,1,8,16,16,9,16,10,17,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1
21,2,33,2,3,32,12,12,24,1,40,31,30,18,38,54,6,1,22,26,40,17,42,14,32,30,20,7,16,21,5,20,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1
21,1,18,18,8,20,23,18,22,17,14,12,10,20,14,19,18,21,20,22,15,14,18,23,18,20,22,20,10,20,4,22,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
22,1,1,21,5,8,26,11,20,30,13,12,3,20,20,20,4,22,13,22,30,3,21,16,26,20,20,20,20,4,19,22,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
20,1,4,7,20,12,12,30,2,37,2,42,29,28,24,17,28,31,40,17,31,0,8,15,17,49,34,5,17,22,33,18,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
22,1,30,31,5,31,40,29,12,37,21,1,2,20,30,31,11,25,17,7,9,25,30,30,30,34,13,31,19,12,27,21,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1
