bibkey,paper,task,subject,choice,r,soep,soep_financial,country
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,1,13,1.0833333333333333,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,2,8,0.47058823529411764,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,3,7,0.3888888888888889,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,4,10,0.6666666666666666,3,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,5,12,0.9230769230769231,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,6,11,0.7857142857142857,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,7,13,1.0833333333333333,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,8,10,0.6666666666666666,0,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,9,16,1.7777777777777777,2,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,10,11,0.7857142857142857,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,11,14,1.2727272727272727,7,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,12,17,2.125,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,13,8,0.47058823529411764,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,14,10,0.6666666666666666,5,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,15,12,0.9230769230769231,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,16,14,1.2727272727272727,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,17,12,0.9230769230769231,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,18,17,2.125,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,19,7,0.3888888888888889,4,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,20,13,1.0833333333333333,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,21,10,0.6666666666666666,6,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,22,9,0.5625,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,23,19,3.1666666666666665,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,24,10,0.6666666666666666,6,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,25,10,0.6666666666666666,6,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,26,13,1.0833333333333333,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,27,5,0.25,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,28,9,0.5625,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,29,21,5.25,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,30,5,0.25,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,31,7,0.3888888888888889,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,32,9,0.5625,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,33,10,0.6666666666666666,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,34,8,0.47058823529411764,3,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,35,9,0.5625,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,36,10,0.6666666666666666,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,37,12,0.9230769230769231,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,38,10,0.6666666666666666,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,39,9,0.5625,10,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,40,13,1.0833333333333333,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,41,11,0.7857142857142857,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,42,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,43,9,0.5625,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,44,12,0.9230769230769231,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,45,12,0.9230769230769231,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,46,16,1.7777777777777777,5,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,47,11,0.7857142857142857,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,48,12,0.9230769230769231,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,49,11,0.7857142857142857,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,50,16,1.7777777777777777,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,51,5,0.25,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,52,13,1.0833333333333333,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,53,20,4,4,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,54,10,0.6666666666666666,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,55,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,56,9,0.5625,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,57,13,1.0833333333333333,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,58,12,0.9230769230769231,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,59,13,1.0833333333333333,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,60,16,1.7777777777777777,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,61,12,0.9230769230769231,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,62,11,0.7857142857142857,10,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,63,10,0.6666666666666666,3,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,64,13,1.0833333333333333,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,65,10,0.6666666666666666,8,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,66,14,1.2727272727272727,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,67,10,0.6666666666666666,2,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,68,13,1.0833333333333333,2,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,69,6,0.3157894736842105,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,70,13,1.0833333333333333,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,71,13,1.0833333333333333,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,72,7,0.3888888888888889,7,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,73,14,1.2727272727272727,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,74,12,0.9230769230769231,8,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,75,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,76,11,0.7857142857142857,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,77,7,0.3888888888888889,4,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,78,15,1.5,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,79,6,0.3157894736842105,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,80,5,0.25,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,81,12,0.9230769230769231,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,82,7,0.3888888888888889,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,83,11,0.7857142857142857,6,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,84,10,0.6666666666666666,4,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,85,8,0.47058823529411764,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,86,15,1.5,6,6,Austria
