bibkey,paper,task,subject,age,gender,choice,r,country
Hopfensitz2019,Hopfensitz et al. 2019,EG,1,52,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,2,56,0,3,0.09258198400493711,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,3,30,0,4,0.46930188648402693,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,4,44,0,4,0.3745337163587101,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,5,43,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,6,59,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,7,41,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,8,23,0,3,0.2438543881988153,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,9,21,0,4,0.47185607408173386,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,10,29,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,11,57,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,12,46,0,4,0.4611859578639269,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,13,54,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,14,19,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,15,59,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,16,28,0,3,-0.06399327974766493,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,17,27,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,18,29,0,5,0.53,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,19,47,0,1,-2.25,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,20,45,0,4,0.4865864018467255,Colombia
Hopfensitz2019,Hopfensitz et al. 2019,EG,21,46,0,5,0.53,Colombia
