bibkey,paper,task,subject,choice,r,country
Apesteguia2020,Apesteguia et al 2020,EG,1,3,0.6857120281551033,Germany
Apesteguia2020,Apesteguia et al 2020,EG,2,2,-0.10429829922039069,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3,2,-2.6296304026059807,Germany
Apesteguia2020,Apesteguia et al 2020,EG,4,2,-3.8586752210697157,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5,3,0.7712594339647331,Germany
Apesteguia2020,Apesteguia et al 2020,EG,6,2,-0.9116908261226491,Germany
Apesteguia2020,Apesteguia et al 2020,EG,7,2,-3.965512948995456,Germany
Apesteguia2020,Apesteguia et al 2020,EG,8,3,1.0117898371326737,Germany
Apesteguia2020,Apesteguia et al 2020,EG,9,2,-1.1788250730559229,Germany
Apesteguia2020,Apesteguia et al 2020,EG,10,3,1.3138159712939523,Germany
Apesteguia2020,Apesteguia et al 2020,EG,11,2,-1.9960322520462794,Germany
Apesteguia2020,Apesteguia et al 2020,EG,12,2,-1.492886350364424,Germany
Apesteguia2020,Apesteguia et al 2020,EG,13,3,1.4562216042191722,Germany
Apesteguia2020,Apesteguia et al 2020,EG,14,2,-1.8781916996929793,Germany
Apesteguia2020,Apesteguia et al 2020,EG,15,2,-0.9185953245684502,Germany
Apesteguia2020,Apesteguia et al 2020,EG,16,2,-2.199466588241048,Germany
Apesteguia2020,Apesteguia et al 2020,EG,17,2,-3.298901359150186,Germany
Apesteguia2020,Apesteguia et al 2020,EG,18,2,-0.5258006005687639,Germany
Apesteguia2020,Apesteguia et al 2020,EG,19,3,0.6617728977510706,Germany
Apesteguia2020,Apesteguia et al 2020,EG,20,3,0.6749989019776694,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1661,3,1.1434470888064243,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1662,3,1.198010389029514,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1663,2,-1.6889470185618847,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1664,2,-0.7780235889274625,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1665,2,-1.80624837171752,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1666,3,1.3705574544938282,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1667,2,-3.2843333352450284,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1668,2,0.5962399460515009,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1669,3,0.6630336754187011,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1670,3,0.7555318422871642,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1671,2,-1.7389480134053157,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1672,2,-2.9437047681584954,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1673,3,1.2637795095006004,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1674,2,-2.5931676744949073,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1675,2,-0.9811964152147992,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1676,2,-0.9364291154453528,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1677,2,0.26096586823463497,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1678,3,0.8607768485113048,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1679,2,-1.3560916228499265,Germany
Apesteguia2020,Apesteguia et al 2020,EG,1680,3,1.194347977542784,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3341,1,-4,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3342,3,1.0939558149734512,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3343,2,-0.1369335476029665,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3344,2,-3.4927815842675045,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3345,2,0.601250843689777,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3346,1,-4,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3347,2,-1.6066174707701428,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3348,3,1.4358590860315599,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3349,2,-1.6581991203548387,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3350,2,-3.9341046884981914,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3351,2,-2.6624469659710304,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3352,3,1.3273814730346203,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3353,2,-1.0634743391443044,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3354,2,-0.8434874972375108,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3355,3,1.3117244228115306,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3356,2,-3.084711300842464,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3357,2,-0.3617988531710581,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3358,2,-1.439269774495624,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3359,3,0.6628978535323404,Germany
Apesteguia2020,Apesteguia et al 2020,EG,3360,2,-0.8968256525322795,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5041,2,-3.6279625452915205,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5042,2,-3.5505503005767243,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5043,2,-3.7933607214177028,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5044,2,-0.9272594936424867,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5045,2,-1.478829791122116,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5046,2,-0.5102372104441746,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5047,2,-2.4129987591225657,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5048,1,-4,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5049,2,0.2509502118360256,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5050,2,-1.0199330572783945,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5051,2,-0.3422551515139638,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5052,3,1.154592320525553,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5053,1,-4,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5054,2,-3.822110700206831,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5055,3,1.4801533874729649,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5056,2,-3.8209252869989725,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5057,2,-0.19903655694797617,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5058,1,-4,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5059,2,-1.9906058354815466,Germany
Apesteguia2020,Apesteguia et al 2020,EG,5060,2,0.4441311755729842,Germany
Apesteguia2020,Apesteguia et al 2020,EG,6721,3,1.4736467646318487,Germany
Apesteguia2020,Apesteguia et al 2020,EG,6722,2,-3.0236320920707658,Germany
