"","page","switch","sid","s","hl_1","hl_2","hl_3","hl_4","hl_5","hl_6","hl_7","hl_8","hl_9","hl_10"
"19",20,"4","Di-Id-01-S2",4,1,1,1,0,0,0,0,0,0,0
"18",19,"5","Di-Id-02-S2",5,1,1,1,1,0,0,0,0,0,0
"17",18,"10","Di-Id-03-S2",10,1,1,1,1,1,1,1,1,1,0
"16",17,"7","Di-Id-04-S2",7,1,1,1,1,1,1,0,0,0,0
"10",11,"7","Di-Id-05-S2",7,1,1,1,1,1,1,0,0,0,0
"15",16,"7","Di-Id-06-S2",7,1,1,1,1,1,1,0,0,0,0
"14",15,"7","Di-Id-07-S2",7,1,1,1,1,1,1,0,0,0,0
"13",14,"8","Di-Id-08-S2",8,1,1,1,1,1,1,1,0,0,0
"12",13,"7","Di-Id-09-S2",7,1,1,1,1,1,1,0,0,0,0
"11",12,"7","Di-Id-10-S2",7,1,1,1,1,1,1,0,0,0,0
"9",10,"5","Di-Id-11-S2",5,1,1,1,1,0,0,0,0,0,0
"8",9,"7","Di-Id-12-S2",7,1,1,1,1,1,1,0,0,0,0
"7",8,"8","Di-Id-13-S2",8,1,1,1,1,1,1,1,0,0,0
"6",7,"8","Di-Id-14-S2",8,1,1,1,1,1,1,1,0,0,0
"5",6,"4","Di-Id-15-S2",4,1,1,1,0,0,0,0,0,0,0
"201",NA,NA,"Di-Id-16-S2",NA,1,1,1,1,1,1,1,0,1,1
"4",4,"6","Di-Id-17-S2",6,1,1,1,1,1,0,0,0,0,0
"3",3,"7","Di-Id-18-S2",7,1,1,1,1,1,1,0,0,0,0
"2",2,"7","Di-Id-19-S2",7,1,1,1,1,1,1,0,0,0,0
"1",1,"5","Di-Id-20-S2",5,1,1,1,1,0,0,0,0,0,0
"39",41,"6","M2-Di-S1-Id-01",6,1,1,1,1,1,0,0,0,0,0
"40",42,"8","M2-Di-S1-Id-02",8,1,1,1,1,1,1,1,0,0,0
"41",43,"7","M2-Di-S1-Id-03",7,1,1,1,1,1,1,0,0,0,0
"42",44,"7","M2-Di-S1-Id-04",7,1,1,1,1,1,1,0,0,0,0
"43",45,"5","M2-Di-S1-Id-05",5,1,1,1,1,0,0,0,0,0,0
"44",46,"5","M2-Di-S1-Id-06",5,1,1,1,1,0,0,0,0,0,0
"45",47,"10","M2-Di-S1-Id-07",10,1,1,1,1,1,1,1,1,1,0
"46",48,"5","M2-Di-S1-Id-08",5,1,1,1,1,0,0,0,0,0,0
"203",NA,NA,"M2-Di-S1-Id-09",NA,1,1,1,0,1,0,1,0,0,0
"47",50,"6","M2-Di-S1-Id-10",6,1,1,1,1,1,0,0,0,0,0
"48",51,"9","M2-Di-S1-Id-11",9,1,1,1,1,1,1,1,1,0,0
"49",52,"5","M2-Di-S1-Id-12",5,1,1,1,1,0,0,0,0,0,0
"50",53,"7","M2-Di-S1-Id-13",7,1,1,1,1,1,1,0,0,0,0
"51",54,"8","M2-Di-S1-Id-14",8,1,1,1,1,1,1,1,0,0,0
"52",55,"9","M2-Di-S1-Id-15",9,1,1,1,1,1,1,1,1,0,0
"53",56,"8","M2-Di-S1-Id-16",8,1,1,1,1,1,1,1,0,0,0
"54",57,"8","M2-Di-S1-Id-17",8,1,1,1,1,1,1,1,0,0,0
"55",58,"7","M2-Di-S1-Id-18",7,1,1,1,1,1,1,0,0,0,0
"56",59,"6","M2-Di-S1-Id-19",6,1,1,1,1,1,0,0,0,0,0
"57",60,"5","M2-Di-S1-Id-20",5,1,1,1,1,0,0,0,0,0,0
"204",NA,NA,"Mi-1-S2-Id-01",NA,1,1,1,1,0,0,1,0,0,0
"58",62,"6","Mi-1-S2-Id-02",6,1,1,1,1,1,0,0,0,0,0
"59",63,"9","Mi-1-S2-Id-03",9,1,1,1,1,1,1,1,1,0,0
"60",64,"5","Mi-1-S2-Id-04",5,1,1,1,1,0,0,0,0,0,0
"61",65,"10","Mi-1-S2-Id-05",10,1,1,1,1,1,1,1,1,1,0
"62",66,"10","Mi-1-S2-Id-06",10,1,1,1,1,1,1,1,1,1,0
"63",67,"7","Mi-1-S2-Id-07",7,1,1,1,1,1,1,0,0,0,0
"64",68,"8","Mi-1-S2-Id-08",8,1,1,1,1,1,1,1,0,0,0
"65",69,"9","Mi-1-S2-Id-09",9,1,1,1,1,1,1,1,1,0,0
"205",NA,NA,"Mi-1-S2-Id-10",NA,1,1,1,1,1,0,1,0,0,0
"66",71,"6","Mi-1-S2-Id-11",6,1,1,1,1,1,0,0,0,0,0
"67",72,"6","Mi-1-S2-Id-12",6,1,1,1,1,1,0,0,0,0,0
"68",73,"8","Mi-1-S2-Id-13",8,1,1,1,1,1,1,1,0,0,0
"69",74,"7","Mi-1-S2-Id-14",7,1,1,1,1,1,1,0,0,0,0
"70",75,"8","Mi-1-S2-Id-15",8,1,1,1,1,1,1,1,0,0,0
"71",76,"6","Mi-1-S2-Id-16",6,1,1,1,1,1,0,0,0,0,0
"72",77,"6","Mi-1-S2-Id-17",6,1,1,1,1,1,0,0,0,0,0
"73",78,"8","Mi-1-S2-Id-18",8,1,1,1,1,1,1,1,0,0,0
"74",79,"8","Mi-1-S2-Id-19",8,1,1,1,1,1,1,1,0,0,0
"75",80,"5","Mi-1-S2-Id-20",5,1,1,1,1,0,0,0,0,0,0
