bibkey,paper,task,subject,choice,r,country
Dursch2012,Dursch et al 2012,HL,1,4,0.4950787710561417,Germany
Dursch2012,Dursch et al 2012,HL,2,5,0.622602633102797,Germany
Dursch2012,Dursch et al 2012,HL,3,10,2.71,Germany
Dursch2012,Dursch et al 2012,HL,4,7,1.1849269267264753,Germany
Dursch2012,Dursch et al 2012,HL,5,7,1.1954604219365865,Germany
Dursch2012,Dursch et al 2012,HL,6,7,1.458089980208315,Germany
Dursch2012,Dursch et al 2012,HL,7,7,1.3708762477338314,Germany
Dursch2012,Dursch et al 2012,HL,8,8,1.651614952753298,Germany
Dursch2012,Dursch et al 2012,HL,9,7,1.173027999564074,Germany
Dursch2012,Dursch et al 2012,HL,10,7,1.2927503165323286,Germany
Dursch2012,Dursch et al 2012,HL,11,5,0.8187175676599144,Germany
Dursch2012,Dursch et al 2012,HL,12,7,1.4468783177342266,Germany
Dursch2012,Dursch et al 2012,HL,13,8,1.8362941229809076,Germany
Dursch2012,Dursch et al 2012,HL,14,8,1.6720998507970943,Germany
Dursch2012,Dursch et al 2012,HL,15,4,0.33486974734812974,Germany
Dursch2012,Dursch et al 2012,HL,16,6,0.9519011229742318,Germany
Dursch2012,Dursch et al 2012,HL,17,7,1.295244791796431,Germany
Dursch2012,Dursch et al 2012,HL,18,7,1.2957949599996208,Germany
Dursch2012,Dursch et al 2012,HL,19,5,0.7830007171072065,Germany
Dursch2012,Dursch et al 2012,HL,20,6,0.9801882571307942,Germany
Dursch2012,Dursch et al 2012,HL,21,8,1.8505894442694262,Germany
Dursch2012,Dursch et al 2012,HL,22,7,1.340323330424726,Germany
Dursch2012,Dursch et al 2012,HL,23,7,1.2181826563412324,Germany
Dursch2012,Dursch et al 2012,HL,24,5,0.6437343586003408,Germany
Dursch2012,Dursch et al 2012,HL,25,5,0.8264302599709481,Germany
Dursch2012,Dursch et al 2012,HL,26,10,2.71,Germany
Dursch2012,Dursch et al 2012,HL,27,5,0.7362614525575191,Germany
Dursch2012,Dursch et al 2012,HL,28,6,0.9595987739507108,Germany
Dursch2012,Dursch et al 2012,HL,29,9,2.089068989707157,Germany
Dursch2012,Dursch et al 2012,HL,30,5,0.7770187298208475,Germany
Dursch2012,Dursch et al 2012,HL,31,7,1.208203653502278,Germany
Dursch2012,Dursch et al 2012,HL,32,8,1.6959763311035931,Germany
Dursch2012,Dursch et al 2012,HL,33,9,2.1066391237732023,Germany
Dursch2012,Dursch et al 2012,HL,34,8,1.8902630538400262,Germany
Dursch2012,Dursch et al 2012,HL,35,8,1.7983422136632725,Germany
Dursch2012,Dursch et al 2012,HL,36,7,1.247671652510762,Germany
Dursch2012,Dursch et al 2012,HL,37,6,0.9401355477515607,Germany
Dursch2012,Dursch et al 2012,HL,38,5,0.8305445737345144,Germany
Dursch2012,Dursch et al 2012,HL,39,6,1.0761731661623344,Germany
Dursch2012,Dursch et al 2012,HL,40,9,2.2116583234164864,Germany
Dursch2012,Dursch et al 2012,HL,41,5,0.6771630432968959,Germany
Dursch2012,Dursch et al 2012,HL,42,10,2.71,Germany
Dursch2012,Dursch et al 2012,HL,43,10,2.71,Germany
Dursch2012,Dursch et al 2012,HL,44,7,1.1655325014237314,Germany
Dursch2012,Dursch et al 2012,HL,45,8,1.755447639003396,Germany
Dursch2012,Dursch et al 2012,HL,46,9,2.677934585753828,Germany
Dursch2012,Dursch et al 2012,HL,47,6,1.1113715264946222,Germany
Dursch2012,Dursch et al 2012,HL,48,6,1.0886009437264874,Germany
Dursch2012,Dursch et al 2012,HL,49,8,1.924440455022268,Germany
Dursch2012,Dursch et al 2012,HL,50,7,1.1805411875760181,Germany
Dursch2012,Dursch et al 2012,HL,51,8,1.6616158760525286,Germany
Dursch2012,Dursch et al 2012,HL,52,6,1.1274540489539504,Germany
Dursch2012,Dursch et al 2012,HL,53,6,1.0534631460672244,Germany
Dursch2012,Dursch et al 2012,HL,54,8,1.5569917433336378,Germany
Dursch2012,Dursch et al 2012,HL,55,8,1.931473158756271,Germany
Dursch2012,Dursch et al 2012,HL,56,5,0.7502214767970145,Germany
Dursch2012,Dursch et al 2012,HL,57,9,2.492507853601128,Germany
Dursch2012,Dursch et al 2012,HL,58,7,1.2611542211705817,Germany
Dursch2012,Dursch et al 2012,HL,59,8,1.6850575276324524,Germany
Dursch2012,Dursch et al 2012,HL,60,7,1.2923334339354187,Germany
Dursch2012,Dursch et al 2012,HL,61,6,1.1031627585180104,Germany
Dursch2012,Dursch et al 2012,HL,62,4,0.34593878671061246,Germany
Dursch2012,Dursch et al 2012,HL,63,6,0.973496874794364,Germany
Dursch2012,Dursch et al 2012,HL,64,8,1.8516455241665244,Germany
Dursch2012,Dursch et al 2012,HL,65,8,1.6014101518364623,Germany
Dursch2012,Dursch et al 2012,HL,66,5,0.6665038783987984,Germany
Dursch2012,Dursch et al 2012,HL,67,7,1.361553314998746,Germany
Dursch2012,Dursch et al 2012,HL,68,7,1.2480785931786522,Germany
Dursch2012,Dursch et al 2012,HL,69,7,1.364615258462727,Germany
Dursch2012,Dursch et al 2012,HL,70,7,1.4640920421108603,Germany
Dursch2012,Dursch et al 2012,HL,71,5,0.8128039307473227,Germany
Dursch2012,Dursch et al 2012,HL,72,6,1.0673685195390135,Germany
Dursch2012,Dursch et al 2012,HL,73,6,1.0431187594775109,Germany
Dursch2012,Dursch et al 2012,HL,74,8,1.5710911863483488,Germany
Dursch2012,Dursch et al 2012,HL,75,8,1.7443661401653663,Germany
Dursch2012,Dursch et al 2012,HL,76,7,1.2758855435019358,Germany
Dursch2012,Dursch et al 2012,HL,77,6,1.0019787105033173,Germany
Dursch2012,Dursch et al 2012,HL,78,9,2.6699838964268565,Germany
Dursch2012,Dursch et al 2012,HL,79,8,1.8013591714296489,Germany
Dursch2012,Dursch et al 2012,HL,80,3,0.05888144800206646,Germany
Dursch2012,Dursch et al 2012,HL,81,8,1.8879661896266042,Germany
