bibkey,paper,task,subject,choice,r,country
Kersting2019,Kersting et al 2019,EG,1,7,0.7471986999874934,Germany
Kersting2019,Kersting et al 2019,EG,2,11,1,Germany
Kersting2019,Kersting et al 2019,EG,3,4,0.3796400199364871,Germany
Kersting2019,Kersting et al 2019,EG,4,7,0.7211953502427786,Germany
Kersting2019,Kersting et al 2019,EG,5,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,6,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,7,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,8,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,9,11,1,Germany
Kersting2019,Kersting et al 2019,EG,10,4,0.42131364105269314,Germany
Kersting2019,Kersting et al 2019,EG,11,5,0.6216215325589292,Germany
Kersting2019,Kersting et al 2019,EG,12,2,-2.0093697417457586,Germany
Kersting2019,Kersting et al 2019,EG,13,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,14,4,0.3450309869088233,Germany
Kersting2019,Kersting et al 2019,EG,15,11,1,Germany
Kersting2019,Kersting et al 2019,EG,16,3,0.15933242615312337,Germany
Kersting2019,Kersting et al 2019,EG,17,6,0.68152252676198255,Germany
Kersting2019,Kersting et al 2019,EG,18,7,0.7442782483948395,Germany
Kersting2019,Kersting et al 2019,EG,19,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,20,3,0.18726549619808797,Germany
Kersting2019,Kersting et al 2019,EG,21,5,0.5699481418286451,Germany
Kersting2019,Kersting et al 2019,EG,22,6,0.7078646818036213,Germany
Kersting2019,Kersting et al 2019,EG,23,2,-2.206452946527861,Germany
Kersting2019,Kersting et al 2019,EG,24,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,25,6,0.6599786461191252,Germany
Kersting2019,Kersting et al 2019,EG,26,10,0.9490660353796556,Germany
Kersting2019,Kersting et al 2019,EG,27,10,0.9185812337789685,Germany
Kersting2019,Kersting et al 2019,EG,28,3,0.21401938144117594,Germany
Kersting2019,Kersting et al 2019,EG,29,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,30,1,-2.32,Germany
Kersting2019,Kersting et al 2019,EG,31,11,1,Germany
Kersting2019,Kersting et al 2019,EG,32,2,-2.0832596733514217,Germany
Kersting2019,Kersting et al 2019,EG,33,4,0.48210382216610015,Germany
Kersting2019,Kersting et al 2019,EG,34,4,0.34100338296964766,Germany
