bibkey,paper,task,subject,choice,r,country
Roth2016,Roth et al 2016,HL,1,5,0.6167416182300076,Germany
Roth2016,Roth et al 2016,HL,2,6,0.8582314454950392,Germany
Roth2016,Roth et al 2016,HL,3,6,0.9433007468236609,Germany
Roth2016,Roth et al 2016,HL,4,5,0.7757119474606589,Germany
Roth2016,Roth et al 2016,HL,5,8,1.7615634918166325,Germany
Roth2016,Roth et al 2016,HL,6,9,2.4952843927405777,Germany
Roth2016,Roth et al 2016,HL,7,4,0.5058238540939055,Germany
Roth2016,Roth et al 2016,HL,8,6,1.014590049511753,Germany
Roth2016,Roth et al 2016,HL,9,3,0.07271842356305569,Germany
Roth2016,Roth et al 2016,HL,10,5,0.655685608331114,Germany
Roth2016,Roth et al 2016,HL,11,6,0.9067145994631574,Germany
Roth2016,Roth et al 2016,HL,12,6,0.874365506041795,Germany
Roth2016,Roth et al 2016,HL,13,6,1.0899064660072326,Germany
Roth2016,Roth et al 2016,HL,14,5,0.7194185176491737,Germany
Roth2016,Roth et al 2016,HL,15,8,1.6058582445466891,Germany
Roth2016,Roth et al 2016,HL,16,6,0.9879217827226966,Germany
Roth2016,Roth et al 2016,HL,17,7,1.2166884435992686,Germany
Roth2016,Roth et al 2016,HL,18,5,0.700888212993741,Germany
Roth2016,Roth et al 2016,HL,19,6,1.0888695935718715,Germany
Roth2016,Roth et al 2016,HL,20,9,2.062716758204624,Germany
Roth2016,Roth et al 2016,HL,21,1,-0.37,Germany
Roth2016,Roth et al 2016,HL,22,7,1.1842470015818252,Germany
Roth2016,Roth et al 2016,HL,23,5,0.6670121420128271,Germany
Roth2016,Roth et al 2016,HL,24,7,1.297923846747726,Germany
Roth2016,Roth et al 2016,HL,25,7,1.3679637812823056,Germany
Roth2016,Roth et al 2016,HL,26,8,1.8087702048569918,Germany
Roth2016,Roth et al 2016,HL,27,7,1.2045978196524083,Germany
Roth2016,Roth et al 2016,HL,28,5,0.635719804293476,Germany
Roth2016,Roth et al 2016,HL,29,4,0.5120187480095774,Germany
Roth2016,Roth et al 2016,HL,30,6,1.0004519413923845,Germany
Roth2016,Roth et al 2016,HL,31,1,-0.37,Germany
Roth2016,Roth et al 2016,HL,32,4,0.4170928855915554,Germany
Roth2016,Roth et al 2016,HL,33,5,0.7666733820457011,Germany
Roth2016,Roth et al 2016,HL,34,6,0.9665633185300976,Germany
Roth2016,Roth et al 2016,HL,35,8,1.939993381332606,Germany
Roth2016,Roth et al 2016,HL,36,8,1.6595825814222918,Germany
Roth2016,Roth et al 2016,HL,37,7,1.2230858541000633,Germany
Roth2016,Roth et al 2016,HL,38,7,1.450542703908868,Germany
Roth2016,Roth et al 2016,HL,39,8,1.891416177446954,Germany
Roth2016,Roth et al 2016,HL,40,5,0.6357735610194504,Germany
Roth2016,Roth et al 2016,HL,41,5,0.6646282193949445,Germany
Roth2016,Roth et al 2016,HL,42,6,1.0101675915066153,Germany
Roth2016,Roth et al 2016,HL,43,7,1.3895386818191036,Germany
Roth2016,Roth et al 2016,HL,44,7,1.471157829463482,Germany
Roth2016,Roth et al 2016,HL,45,7,1.4409354752581567,Germany
Roth2016,Roth et al 2016,HL,46,5,0.7690027786465361,Germany
Roth2016,Roth et al 2016,HL,47,8,1.8515418753633275,Germany
Roth2016,Roth et al 2016,HL,48,7,1.1925068128760903,Germany
Roth2016,Roth et al 2016,HL,49,6,1.1024373720632865,Germany
Roth2016,Roth et al 2016,HL,50,5,0.6218549149902537,Germany
Roth2016,Roth et al 2016,HL,51,5,0.6090669360896572,Germany
Roth2016,Roth et al 2016,HL,52,8,1.816378322634846,Germany
Roth2016,Roth et al 2016,HL,53,8,1.5561492181615904,Germany
Roth2016,Roth et al 2016,HL,54,9,2.600371603788808,Germany
Roth2016,Roth et al 2016,HL,55,10,2.71,Germany
Roth2016,Roth et al 2016,HL,56,7,1.320347751560621,Germany
Roth2016,Roth et al 2016,HL,57,8,1.9107787232799456,Germany
Roth2016,Roth et al 2016,HL,58,7,1.4481732656853272,Germany
Roth2016,Roth et al 2016,HL,59,6,1.0967248627450317,Germany
Roth2016,Roth et al 2016,HL,60,5,0.7759651093604043,Germany
Roth2016,Roth et al 2016,HL,61,7,1.169862328711897,Germany
Roth2016,Roth et al 2016,HL,62,7,1.1597505164286122,Germany
Roth2016,Roth et al 2016,HL,63,2,-0.21062757669016718,Germany
Roth2016,Roth et al 2016,HL,64,6,1.1285914476495236,Germany
Roth2016,Roth et al 2016,HL,65,9,2.5204626888688653,Germany
Roth2016,Roth et al 2016,HL,66,2,-0.13956480732187626,Germany
Roth2016,Roth et al 2016,HL,67,7,1.3917683669459073,Germany
Roth2016,Roth et al 2016,HL,68,7,1.4376967204734683,Germany
Roth2016,Roth et al 2016,HL,69,6,1.1035312590422108,Germany
Roth2016,Roth et al 2016,HL,70,2,-0.3508674811385572,Germany
Roth2016,Roth et al 2016,HL,71,9,2.0712183183059096,Germany
Roth2016,Roth et al 2016,HL,72,5,0.6828389752004296,Germany
Roth2016,Roth et al 2016,HL,73,8,1.505163519475609,Germany
Roth2016,Roth et al 2016,HL,74,5,0.7426210681721568,Germany
Roth2016,Roth et al 2016,HL,75,5,0.616372377704829,Germany
Roth2016,Roth et al 2016,HL,76,6,0.9536708087194711,Germany
Roth2016,Roth et al 2016,HL,77,7,1.2916985389078035,Germany
Roth2016,Roth et al 2016,HL,78,1,-0.37,Germany
Roth2016,Roth et al 2016,HL,79,7,1.3301870654243975,Germany
Roth2016,Roth et al 2016,HL,80,9,2.651266582375392,Germany
Roth2016,Roth et al 2016,HL,81,4,0.44664880981901656,Germany
Roth2016,Roth et al 2016,HL,82,5,0.5976728710252791,Germany
