bibkey,paper,task,subject,choice,r,country
Schmidt2019,Schmidt et al 2019,EG,1,7,0.7977856341935694,Germany
Schmidt2019,Schmidt et al 2019,EG,2,1,-2.94,Germany
Schmidt2019,Schmidt et al 2019,EG,3,5,0.4584044772665948,Germany
Schmidt2019,Schmidt et al 2019,EG,4,2,-1.5804752147244288,Germany
Schmidt2019,Schmidt et al 2019,EG,5,7,0.6640988097386435,Germany
Schmidt2019,Schmidt et al 2019,EG,6,1,-2.94,Germany
Schmidt2019,Schmidt et al 2019,EG,7,1,-2.94,Germany
Schmidt2019,Schmidt et al 2019,EG,8,8,1,Germany
Schmidt2019,Schmidt et al 2019,EG,9,2,-2.7674858417222277,Germany
Schmidt2019,Schmidt et al 2019,EG,10,3,-0.16049590738955885,Germany
Schmidt2019,Schmidt et al 2019,EG,11,5,0.47222985223168507,Germany
Schmidt2019,Schmidt et al 2019,EG,12,3,0.14670826217392458,Germany
Schmidt2019,Schmidt et al 2019,EG,13,7,0.7677745651174337,Germany
Schmidt2019,Schmidt et al 2019,EG,14,7,0.9531110311020166,Germany
Schmidt2019,Schmidt et al 2019,EG,15,5,0.442062128407415,Germany
Schmidt2019,Schmidt et al 2019,EG,16,1,-2.94,Germany
Schmidt2019,Schmidt et al 2019,EG,17,8,1,Germany
Schmidt2019,Schmidt et al 2019,EG,18,4,0.20356867218390107,Germany
Schmidt2019,Schmidt et al 2019,EG,19,1,-2.94,Germany
Schmidt2019,Schmidt et al 2019,EG,20,7,0.9559207657910884,Germany
Schmidt2019,Schmidt et al 2019,EG,21,6,0.5924595947284252,Germany
Schmidt2019,Schmidt et al 2019,EG,22,7,0.8983892170572654,Germany
Schmidt2019,Schmidt et al 2019,EG,23,7,0.903629043106921,Germany
Schmidt2019,Schmidt et al 2019,EG,24,2,-0.5901160644087939,Germany
Schmidt2019,Schmidt et al 2019,EG,25,7,0.7615890700370074,Germany
Schmidt2019,Schmidt et al 2019,EG,26,4,0.3394247668609023,Germany
