bibkey,paper,task,subject,choice,r,treatment,country,city,longitude,lattitude
Nielsen2019,"Nielsen, JEBO 2019",BRET,345001,76,3.1666666666666665,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345002,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345003,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345004,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345005,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345006,68,2.125,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345007,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345008,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345009,8,0.08695652173913043,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345010,100,10,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345011,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345012,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345013,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345014,4,0.041666666666666664,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345015,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345016,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345017,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345018,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345019,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345020,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345021,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345022,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345023,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345024,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345025,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345026,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345027,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345028,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345029,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345030,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345031,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345032,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345033,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345034,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345035,44,0.7857142857142857,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345036,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345037,32,0.47058823529411764,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345038,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345039,80,4,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345040,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345041,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345042,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345043,36,0.5625,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345044,96,24,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345045,12,0.13636363636363635,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345046,48,0.9230769230769231,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345047,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345048,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345049,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345050,56,1.2727272727272727,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345051,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345052,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345053,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345054,52,1.0833333333333333,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345055,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345056,24,0.3157894736842105,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345057,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345058,28,0.3888888888888889,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345059,16,0.19047619047619047,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345060,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345061,40,0.6666666666666666,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345062,20,0.25,high stakes,United States,,,
Nielsen2019,"Nielsen, JEBO 2019",BRET,345063,44,0.7857142857142857,high stakes,United States,,,
