bibkey,paper,task,subject,choice,r,gender,age,soep,dogamble,doinvest,dohealth,doall,treatment,country,city,longitude,lattitude
Frey2017,Frey et al Science Advances 2017,BART,64000401,39.56,0.4473089099954772,1,26,6,1,1,3.5,3.4583333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64004701,63.33,0.9792794185866708,0,24,2,1,1.75,3.625,3.3958333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64006401,35.48,0.38348465196714215,1,24,7,1,1,3.875,3.4583333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64006901,37.86,0.42001331262480585,1,29,2,1.25,2.75,2.875,3.375,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64007901,38.1,0.42380422691879865,0,24,4,1,3,2.5,3.3333333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64008701,50.78,0.6576016576016577,0,30,3,1.75,2.25,1.625,3,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64011501,47.12,0.582591493570722,1,25,7,1.25,1,3.75,3.6458333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64015601,45.72,0.5556635877491493,1,25,6,1,1.75,1.75,2.75,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64016901,35.32,0.3810962451445835,0,27,8,2.5,3.5,2.5,3.8958333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64018301,30.71,0.3156542296227773,1,25,1,1,2,1.625,2.833333333333333,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64020401,59.6,0.871345029239766,0,26,6,1,1,2.75,2.854166666666667,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64020501,27.23,0.27021931130296717,1,27,4,1,1,2.25,3.375,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64021901,29.74,0.3026663952778343,1,25,3,1,1,1.75,3.0208333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64022901,37.04,0.40721196130167103,1,23,5,1,1,2.125,3.125,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64025601,24.78,0.24006975392365823,0,27,6,1.25,1.75,3,3.4791666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64026901,49.06,0.621484671902711,1,29,3,1,1.5,2.375,2.875,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64027801,50.69,0.6556719699909455,1,24,8,1,1,2.5,3.1041666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64029901,22.11,0.20880158655208234,1,33,1,1,1,2,2.666666666666667,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64031301,25.43,0.24792824412596276,1,24,5,1,1.75,1.125,2.625,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64034901,24.65,0.23850991775520078,1,27,6,1,2,3.5,3.9166666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64036201,38.21,0.4255485020603631,0,26,7,4.25,3.5,3.125,4.583333333333334,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64036701,36.14,0.3934247768343131,0,29,7,1,1,2.25,2.770833333333333,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64037701,47.74,0.5948168452529281,0,28,7,1,2.75,2.75,3.4791666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64039601,38.14,0.42443801468951703,0,23,6,1.25,1.5,2.5,2.979166666666667,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64042701,33.33,0.3520650681314038,0,27,2,1.5,1,2.125,2.8125,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64046301,40.45,0.46202170188463737,0,23,6,2,3,2.5,3.6041666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64047801,47.06,0.5814183345688164,1,24,1,1,1,1.75,2.458333333333333,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64049601,34.04,0.36228182205193693,1,23,6,1,1,2,3.0625,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64049701,44.83,0.53901647228568,1,24,9,1,1,3.25,3.625,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64051301,40,0.45454545454545453,1,25,7,1,2.25,2.75,3.2291666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64051501,50.53,0.6522524848328386,1,28,5,1,1,2.875,3.1666666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64052901,33.33,0.3520650681314038,1,31,2,1.5,1.25,1.625,2.6875,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64053701,29.79,0.30332959983708374,1,23,4,1,1.5,2.5,3.125,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64055001,39.05,0.43901068015739175,1,22,3,1,1.5,3.25,3.1041666666666665,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64056701,29.17,0.29515329353435193,0,23,7,1,1.5,3.875,3.4583333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64057101,35.4,0.3822894168466523,1,25,6,1,2,1.875,2.916666666666667,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64057201,15.62,0.1389927033279943,1,25,2,2.75,2.75,2.375,3.8333333333333335,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64057901,26.67,0.2631994473502418,1,22,2,1,1,2.625,2.791666666666667,,Austria,Innsbruck,11.398020,47.269001
Frey2017,Frey et al Science Advances 2017,BART,64058101,23.16,0.22090805036245706,1,33,2,1.25,1.25,2,2.604166666666667,,Austria,Innsbruck,11.398020,47.269001
