"partid","trial","size","rating"
64000401,1,7,31
64000401,2,14,31
64000401,3,21,41
64000401,4,28,49
64000401,5,35,59
64000401,6,42,81
64000401,7,49,75
64000401,8,56,90
64000401,9,63,90
64000401,10,73,91
64000401,11,83,90
64004701,1,10,15
64004701,2,20,33
64004701,3,30,39
64004701,4,40,54
64004701,5,50,64
64004701,6,60,74
64004701,7,70,81
64004701,8,80,89
64004701,9,90,94
64006401,1,6,6
64006401,2,12,6
64006401,3,18,11
64006401,4,24,28
64006401,5,30,40
64006401,6,36,48
64006401,7,42,60
64006401,8,48,70
64006401,9,54,79
64006401,10,64,84
64006401,11,74,92
64006901,1,7,14
64006901,2,14,28
64006901,3,21,34
64006901,4,28,42
64006901,5,35,53
64006901,6,42,60
64006901,7,49,65
64006901,8,56,69
64006901,9,63,77
64006901,10,73,81
64007901,1,7,29
64007901,2,14,41
64007901,3,21,47
64007901,4,28,54
64007901,5,35,57
64007901,6,42,56
64007901,7,49,60
64007901,8,56,62
64007901,9,63,64
64007901,10,73,66
64007901,11,83,67
64007901,12,93,75
64007901,13,103,80
64008701,1,8,6
64008701,2,16,24
64008701,3,24,37
64008701,4,32,46
64008701,5,40,56
64008701,6,48,65
64008701,7,56,71
64008701,8,64,85
64008701,9,72,90
64008701,10,82,93
64008701,11,92,96
64011501,1,8,49
64011501,2,16,49
64011501,3,24,49
64011501,4,32,42
64011501,5,40,49
64011501,6,48,53
64011501,7,56,52
64011501,8,64,81
64011501,9,72,88
64011501,10,82,88
64011501,11,92,87
64015601,1,8,36
64015601,2,16,15
64015601,3,24,26
64015601,4,32,64
64015601,5,40,70
64015601,6,48,77
64015601,7,56,79
64015601,8,64,82
64016901,1,6,10
64016901,2,12,9
64016901,3,18,15
64016901,4,24,20
64016901,5,30,32
64016901,6,36,49
64016901,7,42,60
64016901,8,48,71
64016901,9,54,82
64016901,10,64,86
64016901,11,74,92
64016901,12,84,96
64018301,1,6,40
64018301,2,12,39
64018301,3,18,70
64018301,4,24,60
64018301,5,30,69
64018301,6,36,71
64018301,7,42,59
64018301,8,48,59
64018301,9,54,79
64018301,10,64,78
64018301,11,74,89
64018301,12,84,89
64018301,13,94,89
64018301,14,104,90
64020401,1,10,0
64020401,2,20,0
64020401,3,30,10
64020401,4,40,10
64020401,5,50,39
64020401,6,60,51
64020401,7,70,64
64020401,8,80,82
64020401,9,90,91
64020401,10,100,93
64020401,11,110,96
64020501,1,5,6
64020501,2,10,7
64020501,3,15,25
64020501,4,20,29
64020501,5,25,39
64020501,6,30,45
64020501,7,35,50
64020501,8,40,55
64020501,9,45,64
64020501,10,55,73
64020501,11,65,81
64021901,1,5,5
64021901,2,10,6
64021901,3,15,41
64021901,4,20,88
64021901,5,25,93
64021901,6,30,96
64021901,7,35,97
64021901,8,40,98
64022901,1,6,4
64022901,2,12,13
64022901,3,18,21
64022901,4,24,22
64022901,5,30,27
64022901,6,36,33
64022901,7,42,36
64022901,8,48,44
64022901,9,54,47
64022901,10,64,49
64022901,11,74,52
64022901,12,84,57
64022901,13,94,62
64022901,14,104,68
64022901,15,114,69
64022901,16,124,73
64025601,1,5,21
64025601,2,10,17
64025601,3,15,24
64025601,4,20,31
64025601,5,25,27
64025601,6,30,35
64025601,7,35,49
64025601,8,40,58
64025601,9,45,64
64025601,10,55,76
64025601,11,65,85
64025601,12,75,91
64025601,13,85,92
64026901,1,8,8
64026901,2,16,9
64026901,3,24,21
64026901,4,32,35
64026901,5,40,36
64026901,6,48,41
64026901,7,56,43
64026901,8,64,49
64026901,9,72,55
64026901,10,82,62
64026901,11,92,72
64026901,12,102,83
64026901,13,112,96
64026901,14,122,100
64027801,1,9,13
64027801,2,18,22
64027801,3,27,36
64027801,4,36,45
64027801,5,45,50
64027801,6,54,54
64027801,7,63,62
64027801,8,72,80
64027801,9,81,89
64027801,10,91,96
64027801,11,101,93
64029901,1,4,30
64029901,2,8,30
64029901,3,12,41
64029901,4,16,60
64029901,5,20,70
64029901,6,24,90
64029901,7,28,93
64029901,8,32,97
64029901,9,36,96
64031301,1,4,10
64031301,2,8,11
64031301,3,12,19
64031301,4,16,19
64031301,5,20,40
64031301,6,24,61
64031301,7,28,79
64031301,8,32,89
64031301,9,36,90
64031301,10,46,100
64031301,11,56,100
64031301,12,66,100
64031301,13,76,100
64034901,1,4,11
64034901,2,8,19
64034901,3,12,20
64034901,4,16,38
64034901,5,20,51
64034901,6,24,66
64034901,7,28,77
64034901,8,32,82
64034901,9,36,88
64034901,10,46,92
64036201,1,7,49
64036201,2,14,48
64036201,3,21,54
64036201,4,28,55
64036201,5,35,55
64036201,6,42,53
64036201,7,49,59
64036201,8,56,60
64036201,9,63,64
64036201,10,73,62
64036201,11,83,62
64036201,12,93,66
64036201,13,103,69
64036201,14,113,70
64036201,15,123,77
64036701,1,6,2
64036701,2,12,33
64036701,3,18,38
64036701,4,24,48
64036701,5,30,49
64036701,6,36,57
64036701,7,42,80
64036701,8,48,92
64036701,9,54,100
64036701,10,64,98
64036701,11,74,100
64037701,1,8,20
64037701,2,16,48
64037701,3,24,62
64037701,4,32,74
64037701,5,40,88
64037701,6,48,94
64037701,7,56,98
64037701,8,64,72
64037701,9,72,76
64037701,10,82,82
64037701,11,92,90
64039601,1,7,11
64039601,2,14,53
64039601,3,21,30
64039601,4,28,54
64039601,5,35,56
64039601,6,42,67
64039601,7,49,70
64039601,8,56,73
64039601,9,63,81
64042701,1,6,81
64042701,2,12,31
64042701,3,18,40
64042701,4,24,40
64042701,5,30,69
64042701,6,36,71
64042701,7,42,71
64042701,8,48,79
64042701,9,54,91
64042701,10,64,92
64042701,11,74,100
64042701,12,84,100
64046301,1,7,6
64046301,2,14,11
64046301,3,21,20
64046301,4,28,30
64046301,5,35,49
64046301,6,42,60
64046301,7,49,72
64046301,8,56,90
64046301,9,63,97
64046301,10,73,100
64046301,11,83,94
64047801,1,8,9
64047801,2,16,28
64047801,3,24,30
64047801,4,32,40
64047801,5,40,50
64047801,6,48,52
64047801,7,56,69
64047801,8,64,79
64047801,9,72,94
64047801,10,82,94
64047801,11,92,100
64047801,12,102,100
64049601,1,6,19
64049601,2,12,22
64049601,3,18,55
64049601,4,24,63
64049601,5,30,65
64049601,6,36,75
64049601,7,42,68
64049601,8,48,63
64049601,9,54,66
64049601,10,64,74
64049601,11,74,71
64049601,12,84,73
