"partid","location","samples","switches","swrate","rt_sample","rt_decision","H","Hexp","R","Rexp"
"64000401","Basel",28,1.88,0.07,1227.75,1466,0.38,0.62,0.38,0.43
"64004701","Basel",17,6.12,0.67,1130.5,1124.62,0.38,0.71,0.62,0.5
"64006401","Basel",24,2.25,0.1,1082.25,529.5,0,0.88,0.5,0.5
"64006901","Basel",13.88,1,0.08,1308.88,1494.12,0.62,0.75,0.62,0.86
"64007901","Basel",4.62,1.5,0.6,1780.62,2563,0.38,0.86,0.38,0
"64008701","Basel",52.12,49.88,0.96,1235.75,998.38,0.38,0.62,0.62,0.86
"64011501","Basel",24,23,1,1279,849,0.25,1,0.5,0.5
"64015601","Basel",9.75,1.12,0.13,1277.25,710.62,0.25,1,0.75,0.67
"64016901","Basel",35,3,0.08,1158.25,1159.25,0.12,0.57,0.38,0.25
"64018301","Basel",5.38,4.25,0.99,1150.75,693.12,0.38,1,0.38,0
"64020401","Basel",13.88,12.75,0.99,993.38,496.25,0.25,0.71,0.5,0.5
"64020501","Basel",17.88,1,0.06,1455.12,2141.75,0.38,0.83,0.38,0.33
"64021901","Basel",10.75,1.38,0.16,1479,878.12,0.38,0.62,0.38,0.8
"64022901","Basel",23.12,1.75,0.08,1039.25,525.62,0.38,0.5,0.62,0.57
"64025601","Basel",34.62,1.38,0.04,1059,658.5,0.62,0.88,0.12,0.38
"64026901","Basel",5.25,3.75,0.92,1191.12,495.12,0.38,1,0.62,0.5
"64027801","Basel",29.38,1.12,0.04,1241,559.5,0.25,0.38,0.5,0.5
"64029901","Basel",1.88,2,0.58,1344.38,2927.62,0.5,1,0.75,NA
"64031301","Basel",18.38,17.38,1,1073.25,1313,0.38,0.88,0.62,0.6
"64034901","Basel",22,3,0.17,1145.12,551,0.62,1,0.38,0.57
"64036201","Basel",13.88,1.62,0.12,1090.62,574.88,0.88,1,0.38,0.57
"64036701","Basel",8.25,6.75,0.96,1016.62,546.38,0.38,1,0.62,0.5
"64037701","Basel",54.5,1.88,0.04,1272.25,774.62,0.62,0.75,0.38,0.5
"64039601","Basel",41.62,2.12,0.06,1267.5,1451.75,0.75,0.62,0.5,0.5
"64042701","Basel",6.88,5.12,0.94,1056.75,1138.12,0.62,0.86,0.62,0.25
"64046301","Basel",18.62,2.88,0.16,1265.25,860.12,0.5,0.75,0.5,0.2
"64047801","Basel",12.75,9.88,0.86,1204.38,558.62,0.5,0.88,0.5,0.43
"64049601","Basel",22.88,2.12,0.1,1167.5,1095.12,0.25,1,0.5,0.62
"64049701","Basel",19.88,1,0.05,1201.38,697.88,0.5,0.62,0.5,0.5
