"partid","R","H","CV"
64000401,0.54,0.74,0.32
64004701,0.7,0.74,0.34
64006401,0.5,0.74,0.34
64006901,0.48,0.66,0.5
64007901,0.4,0.76,0.36
64008701,0.38,0.82,0.3
64011501,0.38,0.86,0.38
64015601,0.48,0.76,0.42
64016901,0.48,0.8,0.34
64018301,0.34,0.62,0.5
64020401,0.42,0.9,0.34
64020501,0.46,0.78,0.26
64021901,0.44,0.8,0.4
64022901,0.66,0.64,0.4
64025601,0.44,0.86,0.3
64026901,0.46,0.78,0.42
64027801,0.52,0.82,0.3
64029901,0.52,0.54,0.58
64031301,0.44,0.78,0.36
64034901,0.4,0.74,0.4
64036201,0.62,0.42,0.58
64036701,0.36,0.62,0.4
64037701,0.48,0.82,0.22
64039601,0.52,0.7,0.36
64042701,0.48,0.44,0.48
64046301,0.46,0.86,0.3
64047801,0.36,0.66,0.44
64049601,0.52,0.54,0.18
64049701,0.4,0.76,0.26
64051301,0.4,0.76,0.28
64051501,0.42,0.8,0.36
64052901,0.4,0.68,0.42
64053701,0.42,0.8,0.32
64055001,0.44,0.8,0.36
64056701,0.54,0.72,0.38
64057101,0.36,0.78,0.34
64057201,0.52,0.76,0.46
64057901,0.42,0.82,0.4
64058101,0.3,0.76,0.4
64058701,0.38,0.78,0.32
64059001,0.44,0.78,0.34
64060701,0.5,0.86,0.38
64061701,0.48,0.8,0.34
64061901,0.32,0.36,0.64
64063501,0.58,0.86,0.3
64063601,0.4,0.74,0.4
64066601,0.5,0.84,0.32
64067701,0.42,0.8,0.32
64068201,0.6,0.62,0.44
64069001,0.42,0.86,0.28
64069401,0.48,0.86,0.34
64069501,0.46,0.64,0.42
64069601,0.46,0.82,0.38
64070201,0.48,0.76,0.4
64070601,0.44,0.76,0.32
64071401,0.38,0.72,0.32
64072601,0.5,0.64,0.54
64072701,0.48,0.72,0.32
64072901,0.54,0.86,0.3
64073001,0.52,0.86,0.18
64073201,0.6,0.42,0.54
64073501,0.34,0.72,0.28
64075601,0.38,0.44,0.58
64075801,0.4,0.7,0.3
64076301,0.44,0.74,0.34
64079401,0.38,0.76,0.36
64079601,0.38,0.84,0.32
64079801,0.54,0.62,0.48
64080101,0.42,0.74,0.3
64081701,0.48,0.82,0.3
64082001,0.44,0.78,0.46
64082301,0.44,0.76,0.4
64083001,0.32,0.64,0.42
64083901,0.56,0.6,0.52
64084601,0.48,0.9,0.34
64085501,0.5,0.56,0.64
64086301,0.48,0.9,0.34
64088601,0.48,0.76,0.44
64089401,0.54,0.76,0.38
64089701,0.46,0.68,0.46
64090101,0.48,0.92,0.28
64090301,0.5,0.7,0.32
64090901,0.54,0.68,0.5
64092901,0.4,0.76,0.36
64093501,0.52,0.76,0.3
64094201,0.44,0.72,0.5
64096601,0.32,0.68,0.38
64098201,0.36,0.68,0.54
64099201,0.46,0.9,0.3
64100101,0.46,0.9,0.34
64100701,0.46,0.64,0.54
64100901,0.38,0.68,0.46
64101101,0.48,0.76,0.38
64102101,0.38,0.6,0.6
64102401,0.44,0.54,0.42
64102801,0.4,0.78,0.34
64103301,0.36,0.62,0.5
64103801,0.46,0.8,0.42
64104501,0.5,0.74,0.48
64104601,0.28,0.62,0.46
64105101,0.42,0.74,0.38
64109601,0.42,0.64,0.34
64110701,0.48,0.64,0.44
64111001,0.42,0.82,0.36
64111201,0.58,0.76,0.28
64112901,0.48,0.8,0.32
64113001,0.52,0.54,0.6
64114801,0.4,0.6,0.44
64115101,0.44,0.76,0.26
64115601,0.46,0.84,0.36
64116101,0.48,0.66,0.38
64116201,0.42,0.7,0.38
64116301,0.48,0.84,0.4
64116901,0.44,0.74,0.44
64117601,0.46,0.82,0.32
64118001,0.38,0.72,0.52
64118401,0.56,0.46,0.7
64118601,0.46,0.76,0.44
64120001,0.42,0.8,0.28
64120201,0.56,0.56,0.38
64120701,0.5,0.66,0.48
64121001,0.58,0.74,0.34
64121601,0.42,0.7,0.4
64122901,0.42,0.7,0.46
64124501,0.46,0.82,0.26
64125001,0.54,0.78,0.36
64125601,0.5,0.78,0.42
64126601,0.46,0.62,0.5
64126701,0.4,0.78,0.34
64127001,0.32,0.76,0.4
64127201,0.42,0.68,0.32
64127301,0.5,0.72,0.5
64129001,0.5,0.84,0.36
64129201,0.38,0.82,0.36
64129701,0.48,0.82,0.34
64130101,0.52,0.82,0.34
64130201,0.44,0.56,0.5
64130901,0.56,0.74,0.36
64131001,0.44,0.82,0.38
