label,category,group,task,subtask,vmin,vmax
BART,risk,beh,bart,1,,
BARTp,risk,beh,bart,1,,
BARTpadj,risk,beh,bart,1,,
CCT,risk,beh,cct,1,,
CCTn,risk,beh,cct,1,,
CCTnadj,risk,beh,cct,1,,
CCTr,risk,beh,cct,1,,
CCTradj,risk,beh,cct,1,,
DFEss,risk,beh,dfe,1,,
DFEh,risk,beh,dfe,1,0,1
DFEhexp,risk,beh,dfd,1,0,1
DFEr,risk,beh,dfe,1,0,1
DFErexp,risk,beh,dfe,1,0,1
DFEre,risk,beh,dfe,1,0,1
DFD,risk,beh,bart,1,0,1
DFDr,risk,beh,bart,1,0,1
DFDh,risk,beh,dfd,1,0,1
LOT,risk,beh,lot,1,0,1
LOTr,risk,beh,lot,1,0,1
LOTcv,risk,beh,lot,1,,
MPL,risk,beh,mpl,1,1,10
MPLr,risk,beh,mpl,1,1,10
HOLTrall,risk,beh,mpl,,,
RETgain,risk,beh,ret,1,,
RETmix,risk,beh,ret,1,,
RET,risk,beh,ret,1,,
RETloss,risk,beh,ret,1,,
MT,risk,beh,mt,1,,
MTr,risk,beh,mt,1,,
vrttt,risk,beh,vrttt,1,,
SOEP,risk,prop,soep,1,1,11
SOEP_COMP,risk,prop,soep,1,1,11
SOEPcar,risk,prop,soep,1,1,11
SOEPinv,risk,prop,soep,1,1,11
SOEPrec,risk,prop,soep,1,1,11
SOEPjob,risk,prop,soep,1,1,11
SOEPhea,risk,prop,soep,1,1,11
SOEPtru,risk,prop,soep,1,1,11
SOEPcar_COMP,risk,prop,soep,1,1,11
SOEPinv_COMP,risk,prop,soep,1,1,11
SOEPrec_COMP,risk,prop,soep,1,1,11
SOEPjob_COMP,risk,prop,soep,1,1,11
SOEPhea_COMP,risk,prop,soep,1,1,11
SOEPtru_COMP,risk,prop,soep,1,1,11
Dsoc,risk,prop,dospert,1,1,5
Drec,risk,prop,dospert,1,1,5
Dgam,risk,prop,dospert,1,1,5
Dhea,risk,prop,dospert,1,1,5
Deth,risk,prop,dospert,1,1,5
Dinv,risk,prop,dospert,1,1,5
Dsoc_r,risk,prop,dospert,1,1,5
Drec_r,risk,prop,dospert,1,1,5
Dgam_r,risk,prop,dospert,1,1,5
Dhea_r,risk,prop,dospert,1,1,5
Deth_r,risk,prop,dospert,1,1,5
Dinv_r,risk,prop,dospert,1,1,5
Dsoc_b,risk,prop,dospert,1,1,5
Drec_b,risk,prop,dospert,1,1,5
Dgam_b,risk,prop,dospert,1,1,5
Dhea_b,risk,prop,dospert,1,1,5
Deth_b,risk,prop,dospert,1,1,5
Dinv_b,risk,prop,dospert,1,1,5
PRI,risk,prop,hockey,1,,
PRIw,risk,prop,hockey,1,,
GABS,risk,prop,gabs,1,,
AUDIT,risk,freq,audit,1,,
FTND,risk,freq,ftnd,1,,
PG,risk,freq,pg,1,,
DAST,risk,freq,dast,1,,
CAREaggr,risk,freq,care,1,,
CAREa,risk,freq,care,1,,
CAREsex,risk,freq,care,1,,
CAREs,risk,freq,care,1,,
CAREwork,risk,freq,care,1,,
CAREw,risk,freq,care,1,,
Dy,risk,freq,,1,,
Dm,risk,freq,,1,,
BMI,risk,freq,,1,,
gen_afraid,covar,affect,panas,1,,
gen_angry,covar,affect,panas,1,,
gen_arousal,covar,affect,panas,1,,
gen_arousneg,covar,affect,panas,1,,
gen_arouspos,covar,affect,panas,1,,
gen_concentr,covar,affect,panas,1,,
gen_happy,covar,affect,panas,1,,
gen_motivat,covar,affect,panas,1,,
gen_sad,covar,affect,panas,1,,
gen_timepr,covar,affect,panas,1,,
gen_tired,covar,affect,panas,1,,
gen_valence,covar,affect,panas,1,,
mid1_afraid,covar,affect,panas,3,,
mid1_angry,covar,affect,panas,3,,
mid1_arousal,covar,affect,panas,3,,
mid1_arousneg,covar,affect,panas,3,,
mid1_arouspos,covar,affect,panas,3,,
mid1_concentr,covar,affect,panas,3,,
mid1_happy,covar,affect,panas,3,,
mid1_motivat,covar,affect,panas,3,,
mid1_sad,covar,affect,panas,3,,
mid1_timepr,covar,affect,panas,3,,
mid1_tired,covar,affect,panas,3,,
mid1_valence,covar,affect,panas,3,,
mid2_afraid,covar,affect,panas,4,,
mid2_angry,covar,affect,panas,4,,
mid2_arousal,covar,affect,panas,4,,
mid2_arousneg,covar,affect,panas,4,,
mid2_arouspos,covar,affect,panas,4,,
mid2_concentr,covar,affect,panas,4,,
mid2_happy,covar,affect,panas,4,,
mid2_motivat,covar,affect,panas,4,,
mid2_sad,covar,affect,panas,4,,
mid2_timepr,covar,affect,panas,4,,
mid2_tired,covar,affect,panas,4,,
mid2_valence,covar,affect,panas,4,,
post_afraid,covar,affect,panas,5,,
post_angry,covar,affect,panas,5,,
post_arousal,covar,affect,panas,5,,
post_arousneg,covar,affect,panas,5,,
post_arouspos,covar,affect,panas,5,,
post_concentr,covar,affect,panas,5,,
post_happy,covar,affect,panas,5,,
post_motivat,covar,affect,panas,5,,
post_sad,covar,affect,panas,5,,
post_timepr,covar,affect,panas,5,,
post_tired,covar,affect,panas,5,,
post_valence,covar,affect,panas,5,,
pre_afraid,covar,affect,panas,2,,
pre_angry,covar,affect,panas,2,,
pre_arousal,covar,affect,panas,2,,
pre_arousneg,covar,affect,panas,2,,
pre_arouspos,covar,affect,panas,2,,
pre_concentr,covar,affect,panas,2,,
pre_happy,covar,affect,panas,2,,
pre_motivat,covar,affect,panas,2,,
pre_sad,covar,affect,panas,2,,
pre_timepr,covar,affect,panas,2,,
pre_tired,covar,affect,panas,2,,
pre_valence,covar,affect,panas,2,,
MUpc,covar,cognition,wmc,1,,
OSpcLet,covar,cognition,wmc,1,,
OSpcL,covar,cognition,wmc,1,,
SSpcLet,covar,cognition,wmc,1,,
SSpcL,covar,cognition,wmc,1,,
SSTM,covar,cognition,wmc,1,,
WMC,covar,cognition,wmc,1,,
NUM,covar,cognition,numer,1,,
BIS1att,covar,impuls,barrat,1,,
BIS1mot,covar,impuls,barrat,1,,
BIS1ctr,covar,impuls,barrat,1,,
BIS1com,covar,impuls,barrat,1,,
BIS1per,covar,impuls,barrat,1,,
BIS1ins,covar,impuls,barrat,1,,
BIS2att,covar,impuls,barrat,1,,
BISa,covar,impuls,barrat,1,,
BIS2mot,covar,impuls,barrat,1,,
BISm,covar,impuls,barrat,1,,
