"partid","ABCTEU_OS","ABCTEU_CS","ABCTEU_DEV","ABCTEU_BIC","ABCT4P_OS","ABCT4P_PW","ABCT4P_LA","ABCT4P_CS","ABCT4P_DEV","ABCT4P_BIC","ABCT6P_OSg","ABCT6P_OSl","ABCT6P_PWg","ABCT6P_PWl","ABCT6P_LA","ABCT6P_CS","ABCT6P_DEV","ABCT6P_BIC","ABCTRN_DEV","MPLEU_OS","MPLEU_CS","MPLEU_DEV","MPLEU_BIC","MPL4P_OS","MPL4P_PW","MPL4P_LA","MPL4P_CS","MPL4P_DEV","MPL4P_BIC","MPL6P_OSg","MPL6P_OSl","MPL6P_PWg","MPL6P_PWl","MPL6P_LA","MPL6P_CS","MPL6P_DEV","MPL6P_BIC","MPLRN_DEV","CCTEU_OS","CCTEU_CS","CCTEU_DEV","CCTEU_BIC","CCT3P_OS","CCT3P_PW","CCT3P_LA","CCT3P_DEV","CCT3P_BIC","CCT4P_OS","CCT4P_PW","CCT4P_LA","CCT4P_CS","CCT4P_DEV","CCT4P_BIC","CCT6P_OSg","CCT6P_OSl","CCT6P_PWg","CCT6P_PWl","CCT6P_LA","CCT6P_CS","CCT6P_DEV","CCT6P_BIC","CCTRN_mp","CCTRN_DEV","CCTRN_BIC","BARTRN_pm","BARTRN_DEV","BARTRN_BIC","BART1_OS","BART1_alpha","BART1_mu","BART1_LA","BART1_CS","BART1_DEV","BART1_BIC","BART3_OS","BART3_alpha","BART3_mu","BART3_CS","BART3_DEV","BART3_BIC"
64000401,0.56179216,0.87285563,53.331758,61.155804,0.64710573,0.75771432,1.2208485,0.71140062,51.302511,66.950603,0.93043672,0.52701812,0.79119204,0.72581827,10,0.18249779,48.841683,72.313821,69.314718,0.65548102,0.45507855,68.405191,76.7845,2.964487,2.0143209,7.3034033,8.3736266e-05,24.701155,41.459774,0.86296728,1.1804724,1.5729215,0.23600682,0.61098006,1.2151443,22.159484,47.297412,91.495428,0.05407737,3.986681,235.17634,244.03797,0.06804438,0.24681912,0.61663566,201.70829,215.00074,0.068030658,0.24678992,0.61664948,10,201.70829,219.43156,0.086857526,0.0094305345,0.19585254,0.43348643,0.45654497,10,201.37343,227.95834,0.92776954,229.8121,234.24291,0.97385216,416.77281,420.14011,0.57037056,114.42541,114.48484,7.9231051,10,144.765,161.60148,0.70929372,206.04078,206.81689,0.10982862,146.71022,160.1794
64004701,1.6065906,0.0063542347,50.531653,58.355699,1.8565338,0.78188577,0.14976491,0.013283009,35.017241,50.665333,1.9316643,1.0626892,0.77279663,0.96077226,10,0.017975705,24.385913,47.858052,69.314718,0.50917061,2.0087941,48.053473,56.432783,0.79901432,0.75240669,1.4936156,1.1829306,28.194655,44.953274,0.38658471,0.40508353,10,0.64447238,2.1002904,6.3182427,22.457567,47.595495,91.495428,5.679851e-10,4.0353885,221.52144,230.38308,0.016186985,0.15437109,0.13357772,89.155358,102.44781,0.0044044164,0.18362532,4.2714876e-09,8.3277429,89.136245,106.85951,2.1769808e-11,4.1182844,0.18005883,1.4558832,10,8.7901113,85.455852,112.04075,0.98440594,92.750002,97.180819,0.98309366,476.72639,480.12759,1.6753058,7788.7004,7793.7107,0.313811,7.4753922,125.85388,142.85987,0.39905863,9257.8645,9287.3894,0.085001482,130.44787,144.05266
64006401,0.85442768,0.25726523,50.407193,58.231239,0.92842661,0.89832411,0.98580308,0.20007352,50.072816,65.720908,1.2130653,0.74968862,0.96650401,0.79816919,10,0.061906981,45.474486,68.946624,69.314718,0.4670328,1.4904577,63.680678,72.059987,0.52904923,0.35688272,1.3463269,6.3619609,22.799928,39.558547,0.43999651,0.33601419,0.66125219,0.025753666,2.7142825,10,19.949995,45.087924,91.495428,0.013232985,2.4209178,314.17498,323.03662,0.035229806,1.4803103e-10,0.24963464,219.14361,232.43606,0.035225075,7.2222228e-11,0.24964592,10,219.14361,236.86687,1.5104666e-07,0.2963784,0.0031661379,0.036048748,0.54154287,9.9999992,216.38759,242.97249,0.91601729,219.76582,224.19664,0.96997688,350.2687,353.66989,0.5911248,108.9005,109.92814,9.2250603,9.8937883,157.62821,174.63419,0.49599742,115.72635,116.93874,0.19085585,156.70826,170.31305
64006901,0.34098574,1.2254072,63.777144,71.60119,0.43308323,0.7924987,0.23661098,1.6948138,60.959909,76.608001,0.3315841,2.9723936,0.82497413,1.1387613,6.8936844e-07,3.2059559,59.039645,82.511783,69.314718,0.71011024,0.90014259,42.200007,50.579317,0.89686983,0.36382145,1.1343825,1.2986913,26.595703,43.354322,0.38469874,0.779792,8.8292753,0.41694213,0.28921428,10,18.184651,43.322579,91.495428,0.17188791,8.0646797,209.73184,218.59347,0.11785647,0.43327073,0.42133862,149.10453,162.39698,0.11785893,0.43328605,0.42132793,10,149.10453,166.8278,0.079529253,0.39343648,0.47360476,0.28618161,0.96968636,10,146.63678,173.22168,0.96222272,178.79898,183.2298,0.96695206,509.59633,512.99753,0.88728534,756.9607,763.81803,2.9137837,7.4175107,174.36014,191.36613,0.5721097,1180.6208,1191.6369,0.10673841,174.48534,188.09013
64007901,0.9124891,0.18425884,49.092603,56.916649,0.60063,1.7533917,2.3145355,0.56600179,38.564544,54.212636,0.52662497,0.70174174,2.3543067,1.7319787,1.00811,0.73576742,38.445987,61.918125,69.314718,0.3891563,2.2888329,63.673842,72.053152,0.44624486,0.41984919,1.2986739,4.3412313,43.399973,60.158592,0.36022565,0.11465081,0.86112568,5.9323372e-07,9.998897,7.7267143,38.178435,63.316363,91.495428,1.774203e-10,3.1103754,292.83984,301.70147,0.011897756,0.14066377,0.57988398,233.57652,246.86897,0.011899781,0.1406593,0.57987324,10,233.57652,251.29979,0.00027563817,0.019026251,0.20631755,0.00092964283,0.66645359,9.3587797,232.32318,258.90808,0.93714759,253.97699,258.4078,0.96495764,710.68699,714.08819,0.92660064,438.99962,439.39475,5.8966102,7.9115289,157.19506,174.20105,0.1886437,1147.4748,1149.6626,0.15585279,150.82056,164.42535
64008701,0.98026536,0.23654132,37.66245,45.486496,0.78663574,1.2642496,1.9232977,0.53152888,30.252426,45.900518,0.54904394,1.1933766,0.85484718,1.6234083,0.055169138,4.3588448,17.029373,40.501511,69.314718,0.66372655,1.7776297,31.484154,39.863464,1.7215687,0.94108814,1.5964838,0.19712724,13.448355,30.206974,0.89782532,1.3155383,1.8072893,0.17549641,0.32244024,9.9996484,0.48097741,25.618906,91.495428,0.36738002,10,267.40488,276.26651,0.2167882,0.39265812,0.64073011,249.06397,262.35642,0.24212193,9.6871536,0.16458019,5.1280946,252.75857,270.48184,0.15502264,1.0576364,9.0953104,0.72514341,4.1327216,5.2166561,235.29247,261.87737,0.86857229,272.36536,276.79617,0.97584802,442.85366,446.25486,0.97280216,2.4603335,2.0705733,1.1333035,7.9300897,143.4953,160.50128,0.91660556,206.57354,208.34799,0.10009551,143.67073,157.27552
64011501,1.2262076,0.044486642,48.843956,56.668002,1.279181,0.83726617,2.3341348,0.047226873,37.679778,53.32787,0.78053383,1.4840135,0.92833797,0.81952337,0.08309526,0.64443175,33.369339,56.841477,69.314718,0.31581165,0.7320109,87.200388,95.579697,0.30858765,0.31083578,1.1787747,2.0919395,84.651278,101.4099,0.098849649,0.15594186,9.999914,0.24467597,1.2254522,7.5084397,82.303293,107.44122,91.495428,0.041871666,3.4332795,258.23546,267.09709,0.023771965,0.19335797,0.86801883,252.98153,266.27398,0.023754346,0.19333419,0.86802652,10,252.98153,270.70479,1.5321078e-13,0.33339513,0.089453322,0.83603569,1.4653565,7.2700181,250.5437,277.1286,0.89169251,297.66807,302.09889,0.9723019,530.39952,533.80071,0.81297959,155.62646,157.16154,2.7438176,9.4640755,136.32669,153.33268,0.78449513,322.65704,325.86915,0.11748568,135.71652,149.32131
64015601,1.1263831,0.061073742,51.022066,58.846112,1.388594,0.70654571,1.1442772,0.030914285,44.711919,60.360011,1.7944155,1.2999382,0.56487392,0.78990425,10,0.0063231779,39.060124,62.532262,69.314718,0.51786431,1.7164685,51.400185,59.779494,0.6564672,0.43281433,1.2985871,3.3216183,24.801583,41.560202,1.0628186,1.6910766,0.20737794,1.1543877,0.099901416,10,3.8221649,28.960093,91.495428,4.3993142e-10,2.8363669,293.25764,302.11927,1.1270379e-09,0.12370614,0.68258115,253.39295,266.6854,2.8699265e-13,0.14725964,0.63449321,8.6194447,253.38336,271.10662,0.012925457,1.5645263e-11,0.21422181,2.7017832e-11,0.74564711,10,251.63145,278.21635,0.91386954,279.41384,283.84466,0.96602313,768.22102,771.62222,0.59704049,1.071364,0.58293608,8.1837322,9.995653,150.16214,167.16813,0.69178424,83.312976,83.31298,0.083073571,151.3695,164.97429
64016901,0.72656086,0.52229905,46.541559,54.365605,0.73398952,0.90547199,0.76303691,0.63615422,46.044611,61.692703,0.62846692,0.94095307,0.69574456,1.295798,0.093738688,1.7157037,41.402609,64.874747,69.314718,0.22953989,8.1873544,54.932202,63.311511,0.54297658,0.85161534,1.7534149,10,7.7592058,24.517825,0.79684959,0.90357022,0.35531969,2.9818393,0.84799133,10,2.4013633,27.539292,91.495428,0.039608213,3.3404341,285.35447,294.2161,0.022093279,0.1577703,0.73571733,263.4718,276.76425,0.022089812,0.15777021,0.73572806,10,263.4718,281.19506,5.1625371e-14,0.098204506,0.16891231,0.12752516,0.95502702,10,262.06026,288.64516,0.90538085,291.18925,295.62007,0.97228327,347.45081,350.85201,0.58717535,271.40127,275.98094,7.7042048,9.9245285,159.32108,176.32707,0.79448919,346.20981,352.62976,0.11427828,169.62937,183.23416
64018301,2.4871155,3.4572004e-05,62.75786,70.581906,4.1067744,1.3615146,8.6347595,4.3330428e-09,56.965182,72.613274,0.50594321,3.9812599,4.5753519,1.3585399,2.2954287e-07,0.3616872,53.772273,77.244411,69.314718,6.2325563,5.7120975e-12,67.311899,75.691209,0.76681439,0.20034983,1.1205664,0.86698971,52.608975,69.367594,0.73699319,0.47096897,0.40387426,1.2890744e-10,4.4595669,1.0018726,50.560691,75.69862,91.495428,1.1360207e-09,3.3517978,260.35847,269.2201,0.012257273,0.13787672,0.49290208,197.07642,210.36887,6.9999562e-13,0.2203705,0.25549686,6.4673104,196.95831,214.68158,2.1017288e-09,0.045823419,0.19194587,3.7731485e-11,0.64621719,10,195.65962,222.24452,0.95298734,209.73555,214.16637,0.97894748,582.01545,585.41665,0.89462999,499.43044,499.37752,9.750103,9.9999951,126.7708,143.77678,0.14882674,709.78654,710.49177,0.28582011,125.7725,139.37729
