"partid","dp","decision","choice","R"
64000401,1,1,1,0
64000401,1,2,1,0
64000401,1,3,0,1
64000401,1,4,0,1
64000401,1,5,0,1
64000401,1,6,0,1
64000401,1,7,0,1
64000401,1,8,0,1
64000401,1,9,0,1
64000401,1,10,0,1
64000401,2,1,0,0
64000401,2,2,0,0
64000401,2,3,0,0
64000401,2,4,0,0
64000401,2,5,1,1
64000401,2,6,1,1
64000401,2,7,1,1
64000401,3,1,0,0
64000401,3,2,0,0
64000401,3,3,1,1
64000401,3,4,1,1
64000401,3,5,1,1
64000401,4,1,0,0
64000401,4,2,0,0
64000401,4,3,0,0
64000401,4,4,0,0
64000401,4,5,0,0
64000401,4,6,0,0
64000401,4,7,0,0
64000401,4,8,1,1
64000401,4,9,1,1
64000401,4,10,1,1
64000401,4,11,1,1
64000401,4,12,1,1
64000401,4,13,1,1
64000401,4,14,1,1
64000401,4,15,1,1
64000401,4,16,1,1
64000401,5,1,0,0
64000401,5,2,0,0
64000401,5,3,0,0
64000401,5,4,0,0
64000401,5,5,0,0
64000401,5,6,1,1
64000401,5,7,1,1
64000401,5,8,1,1
64000401,5,9,1,1
64000401,5,10,1,1
64000401,5,11,1,1
64000401,6,1,0,0
64000401,6,2,0,0
64000401,6,3,0,0
64000401,6,4,0,0
64000401,6,5,0,0
64000401,6,6,0,0
64000401,6,7,0,0
64000401,6,8,1,1
64000401,6,9,1,1
64000401,6,10,1,1
64000401,6,11,1,1
64000401,7,1,0,0
64000401,7,2,0,0
64000401,7,3,0,0
64000401,7,4,1,1
64000401,7,5,1,1
64000401,7,6,1,1
64004701,1,1,1,0
64004701,1,2,1,0
64004701,1,3,1,0
64004701,1,4,0,1
64004701,1,5,0,1
64004701,1,6,0,1
64004701,1,7,0,1
64004701,1,8,0,1
64004701,1,9,0,1
64004701,1,10,0,1
64004701,2,1,0,0
64004701,2,2,0,0
64004701,2,3,0,0
64004701,2,4,0,0
64004701,2,5,1,1
64004701,2,6,1,1
64004701,2,7,1,1
64004701,3,1,0,0
64004701,3,2,0,0
64004701,3,3,1,1
64004701,3,4,1,1
64004701,3,5,1,1
64004701,4,1,0,0
64004701,4,2,0,0
64004701,4,3,0,0
64004701,4,4,0,0
64004701,4,5,0,0
64004701,4,6,0,0
64004701,4,7,1,1
64004701,4,8,1,1
64004701,4,9,1,1
64004701,4,10,1,1
64004701,4,11,1,1
64004701,4,12,1,1
64004701,4,13,1,1
64004701,4,14,1,1
64004701,4,15,1,1
64004701,4,16,1,1
64004701,5,1,0,0
64004701,5,2,0,0
64004701,5,3,0,0
64004701,5,4,0,0
64004701,5,5,0,0
64004701,5,6,0,0
64004701,5,7,1,1
64004701,5,8,1,1
64004701,5,9,1,1
64004701,5,10,1,1
64004701,5,11,1,1
64004701,6,1,0,0
64004701,6,2,0,0
64004701,6,3,0,0
64004701,6,4,0,0
64004701,6,5,1,1
64004701,6,6,1,1
64004701,6,7,1,1
64004701,6,8,1,1
64004701,6,9,1,1
64004701,6,10,1,1
64004701,6,11,1,1
64004701,7,1,0,0
64004701,7,2,0,0
64004701,7,3,0,0
64004701,7,4,1,1
64004701,7,5,1,1
64004701,7,6,1,1
64006401,1,1,1,0
64006401,1,2,1,0
64006401,1,3,1,0
64006401,1,4,1,0
64006401,1,5,1,0
64006401,1,6,1,0
64006401,1,7,1,0
64006401,1,8,0,1
64006401,1,9,0,1
64006401,1,10,0,1
64006401,2,1,0,0
64006401,2,2,0,0
64006401,2,3,0,0
64006401,2,4,0,0
64006401,2,5,1,1
64006401,2,6,1,1
64006401,2,7,1,1
64006401,3,1,0,0
64006401,3,2,0,0
64006401,3,3,0,0
64006401,3,4,1,1
64006401,3,5,1,1
64006401,4,1,0,0
64006401,4,2,0,0
64006401,4,3,0,0
64006401,4,4,0,0
64006401,4,5,0,0
64006401,4,6,0,0
64006401,4,7,0,0
64006401,4,8,1,1
64006401,4,9,1,1
64006401,4,10,1,1
64006401,4,11,1,1
64006401,4,12,1,1
64006401,4,13,1,1
64006401,4,14,1,1
64006401,4,15,1,1
64006401,4,16,1,1
64006401,5,1,0,0
64006401,5,2,0,0
64006401,5,3,0,0
64006401,5,4,0,0
64006401,5,5,0,0
64006401,5,6,0,0
64006401,5,7,0,0
64006401,5,8,1,1
64006401,5,9,1,1
64006401,5,10,1,1
64006401,5,11,1,1
64006401,6,1,0,0
64006401,6,2,0,0
64006401,6,3,0,0
64006401,6,4,0,0
64006401,6,5,0,0
64006401,6,6,0,0
64006401,6,7,1,1
64006401,6,8,1,1
64006401,6,9,1,1
64006401,6,10,1,1
64006401,6,11,1,1
64006401,7,1,0,0
64006401,7,2,0,0
64006401,7,3,0,0
64006401,7,4,1,1
64006401,7,5,1,1
64006401,7,6,1,1
64006901,1,1,1,0
64006901,1,2,1,0
64006901,1,3,1,0
64006901,1,4,1,0
64006901,1,5,0,1
64006901,1,6,0,1
64006901,1,7,0,1
64006901,1,8,0,1
64006901,1,9,0,1
64006901,1,10,0,1
64006901,2,1,0,0
64006901,2,2,0,0
64006901,2,3,0,0
64006901,2,4,0,0
64006901,2,5,1,1
64006901,2,6,1,1
64006901,2,7,1,1
64006901,3,1,0,0
64006901,3,2,0,0
64006901,3,3,0,0
64006901,3,4,1,1
64006901,3,5,1,1
64006901,4,1,0,0
64006901,4,2,0,0
64006901,4,3,0,0
64006901,4,4,1,1
64006901,4,5,1,1
64006901,4,6,1,1
64006901,4,7,1,1
64006901,4,8,1,1
64006901,4,9,1,1
64006901,4,10,1,1
64006901,4,11,1,1
64006901,4,12,1,1
64006901,4,13,1,1
64006901,4,14,1,1
64006901,4,15,1,1
64006901,4,16,1,1
64006901,5,1,0,0
64006901,5,2,0,0
64006901,5,3,1,1
64006901,5,4,1,1
64006901,5,5,1,1
64006901,5,6,1,1
64006901,5,7,1,1
64006901,5,8,1,1
64006901,5,9,1,1
64006901,5,10,1,1
64006901,5,11,1,1
64006901,6,1,0,0
64006901,6,2,0,0
64006901,6,3,0,0
64006901,6,4,0,0
64006901,6,5,0,0
64006901,6,6,1,1
64006901,6,7,1,1
64006901,6,8,1,1
64006901,6,9,1,1
64006901,6,10,1,1
64006901,6,11,1,1
64006901,7,1,0,0
64006901,7,2,0,0
64006901,7,3,1,1
64006901,7,4,1,1
64006901,7,5,1,1
64006901,7,6,1,1
64007901,1,1,1,0
64007901,1,2,1,0
64007901,1,3,1,0
64007901,1,4,1,0
64007901,1,5,1,0
64007901,1,6,1,0
64007901,1,7,0,1
64007901,1,8,0,1
64007901,1,9,0,1
64007901,1,10,0,1
64007901,2,1,1,1
64007901,2,2,0,0
64007901,2,3,0,0
64007901,2,4,0,0
64007901,2,5,1,1
64007901,2,6,1,1
64007901,2,7,1,1
64007901,3,1,0,0
64007901,3,2,0,0
64007901,3,3,0,0
64007901,3,4,1,1
64007901,3,5,1,1
64007901,4,1,0,0
64007901,4,2,0,0
64007901,4,3,0,0
64007901,4,4,0,0
64007901,4,5,0,0
64007901,4,6,0,0
64007901,4,7,0,0
64007901,4,8,0,0
64007901,4,9,1,1
64007901,4,10,1,1
64007901,4,11,1,1
64007901,4,12,1,1
64007901,4,13,1,1
64007901,4,14,1,1
64007901,4,15,1,1
64007901,4,16,1,1
64007901,5,1,0,0
64007901,5,2,0,0
64007901,5,3,0,0
64007901,5,4,0,0
64007901,5,5,0,0
64007901,5,6,0,0
64007901,5,7,0,0
64007901,5,8,0,0
64007901,5,9,1,1
64007901,5,10,1,1
64007901,5,11,1,1
64007901,6,1,0,0
64007901,6,2,0,0
64007901,6,3,0,0
64007901,6,4,0,0
64007901,6,5,0,0
64007901,6,6,1,1
64007901,6,7,1,1
64007901,6,8,1,1
64007901,6,9,1,1
64007901,6,10,1,1
64007901,6,11,1,1
64007901,7,1,0,0
64007901,7,2,0,0
64007901,7,3,0,0
64007901,7,4,1,1
64007901,7,5,1,1
64007901,7,6,1,1
64008701,1,1,1,0
64008701,1,2,1,0
64008701,1,3,1,0
64008701,1,4,1,0
64008701,1,5,0,1
64008701,1,6,0,1
64008701,1,7,0,1
64008701,1,8,0,1
64008701,1,9,0,1
64008701,1,10,0,1
64008701,2,1,0,0
64008701,2,2,0,0
64008701,2,3,0,0
64008701,2,4,1,1
64008701,2,5,1,1
64008701,2,6,1,1
64008701,2,7,1,1
64008701,3,1,0,0
64008701,3,2,0,0
