"partid","NEO_A","NEO_C","NEO_E","NEO_N","NEO_O","STAI_trait","t_diff"
64000401,29,31,33,14,32,33,145670400
64004701,39,17,22,31,36,53,171846000
64006401,27,13,32,9,33,37,163814400
64006901,39,41,38,8,41,26,149727600
64007901,33,41,38,8,36,30,149554800
64008701,33,35,25,16,31,41,159494400
64011501,36,27,41,12,26,29,162255600
64015601,36,34,29,27,27,44,155692800
64016901,33,36,31,11,39,37,180230400
64018301,23,27,26,27,28,40,130633200
64020401,32,42,30,15,23,32,148694400
64020501,38,21,32,24,30,40,145843200
64021901,18,20,13,33,27,52,123033600
64022901,27,30,34,15,22,32,126576000
64025601,31,12,33,26,33,44,171849600
64026901,27,27,40,21,37,35,151894800
64027801,39,47,32,13,22,26,135129600
64029901,24,29,26,29,22,45,125884800
64031301,33,30,22,26,25,45,129168000
64034901,40,28,32,25,41,34,123206400
64036201,27,30,39,4,25,27,121564800
64036701,42,31,40,17,35,29,120009600
64037701,24,27,29,18,28,37,174186000
64039601,34,32,28,14,26,31,123724800
64042701,33,41,28,17,35,46,116121600
64046301,37,40,26,16,23,39,125107200
64047801,31,34,17,29,29,43,123379200
64049601,37,27,35,28,41,46,113875200
64049701,24,26,24,38,44,56,116035200
64051301,35,31,38,13,25,40,116899200
64051501,32,34,35,18,40,38,121132800
64052901,34,43,27,11,24,29,141091200
64053701,37,36,34,13,28,30,122425200
64055001,22,36,22,27,32,57,125362800
64056701,34,26,33,8,31,29,143766000
64057101,29,31,27,22,23,40,126489600
64057201,32,33,29,30,31,49,113698800
64057901,NA,NA,NA,NA,NA,NA,NA
64058101,27,27,28,22,28,38,113698800
64058701,34,40,29,29,33,41,115513200
64059001,34,39,32,21,34,29,104022000
64060701,24,32,26,27,34,45,114303600
64061701,29,24,28,19,29,41,114303600
64061901,28,35,32,26,34,48,127180800
64063501,35,26,33,14,46,35,112834800
64063601,NA,NA,NA,NA,NA,NA,NA
64066601,29,31,32,28,25,49,102380400
64067701,33,27,32,14,28,29,101779200
64068201,37,31,38,14,30,32,127008000
64069001,27,35,40,16,35,34,119235600
64069401,32,39,25,18,28,36,141523200
64069501,35,26,17,25,32,52,100742400
64069601,32,23,33,22,31,40,102211200
64070201,36,42,31,19,29,40,125452800
64070601,25,28,24,15,23,35,137376000
64071401,37,24,18,15,35,32,125193600
64072601,27,34,28,23,36,33,106963200
64072701,31,21,29,29,38,48,98496000
64072901,33,34,36,21,31,34,107827200
64073001,29,43,34,24,37,52,118544400
64073201,18,35,27,15,30,34,153190800
64073501,41,33,43,7,39,25,98755200
64075601,33,39,38,12,31,24,102211200
64075801,27,36,33,20,17,35,102556800
64076301,29,34,38,10,36,23,103939200
64079401,24,31,21,16,40,38,105411600
64079601,30,32,23,19,36,37,92707200
64079801,33,35,33,14,36,26,126144000
64080101,32,33,34,12,37,25,91324800
64081701,25,16,26,23,38,42,96336000
64082001,32,35,26,28,30,45,115948800
64082301,43,38,37,6,44,26,92361600
64083001,40,12,14,28,26,42,94953600
64083901,32,37,26,17,41,38,99709200
64084601,33,19,27,27,28,46,129686400
64085501,NA,NA,NA,NA,NA,NA,NA
64086301,30,40,39,22,36,41,105757200
64088601,37,29,34,11,29,30,90633600
64089401,38,15,32,16,31,37,109728000
64089701,29,19,21,35,20,58,89942400
64090101,32,38,30,28,35,39,89424000
64090301,32,33,28,16,37,31,107226000
64090901,32,24,34,21,27,41,129171600
64092901,36,30,30,17,28,39,88905600
64093501,NA,NA,NA,NA,NA,41,122166000
64094201,NA,NA,NA,NA,NA,NA,NA
64096601,34,39,24,18,30,42,86396400
64098201,29,35,28,21,41,39,118018800
64099201,35,36,32,15,27,26,82335600
64100101,26,5,17,35,33,57,105750000
64100701,32,36,27,20,40,35,74818800
64100901,30,24,28,26,29,43,103330800
64101101,31,33,33,17,33,30,76287600
64102101,29,22,27,21,34,41,82335600
64102401,33,35,28,27,30,48,87782400
64102801,33,32,34,5,30,34,76719600
64103301,31,31,22,26,30,45,75596400
64103801,26,26,28,23,43,40,88041600
64104501,26,26,34,29,29,42,79484400
64104601,36,35,24,17,30,31,74646000
64105101,29,35,30,28,30,35,78534000
64109601,39,35,35,23,30,31,104540400
64110701,45,27,40,10,33,27,72486000
64111001,40,38,34,13,31,29,112575600
64111201,29,34,31,17,32,28,105404400
64112901,31,33,39,11,40,29,109810800
64113001,33,37,25,13,34,NA,90374400
64114801,36,33,24,26,31,42,68169600
64115101,32,29,31,15,33,36,99619200
64115601,33,34,34,16,37,36,102988800
64116101,35,43,31,19,20,30,73267200
64116201,38,36,37,18,19,35,112064400
64116301,37,37,39,16,29,28,72230400
64116901,32,33,26,21,24,48,88909200
64117601,31,36,36,11,18,28,63590400
64118001,29,33,20,27,33,41,75427200
64118401,30,34,16,16,40,32,63158400
64118601,35,30,29,16,23,36,67132800
64120001,36,41,33,17,32,28,97977600
64120201,33,36,34,17,22,25,61084800
64120701,37,26,33,28,39,52,97372800
64121001,21,19,19,26,22,57,92016000
64121601,30,36,24,12,32,22,53568000
64122901,43,12,25,20,35,45,93312000
64124501,34,42,31,11,34,30,51235200
64125001,41,21,24,20,30,30,96163200
64125601,42,40,20,31,37,40,103424400
64126601,21,23,32,21,40,37,49852800
64126701,32,31,27,21,28,34,92016000
64127001,40,33,20,41,26,64,52012800
64127201,36,32,34,16,38,40,50803200
64127301,36,29,25,18,37,37,49075200
64129001,44,30,19,25,28,40,58579200
64129201,38,35,35,12,37,28,94608000
64129701,40,25,32,16,37,31,52099200
64130101,30,30,17,10,32,29,86486400
64130201,30,29,21,30,35,51,52358400
64130901,32,35,26,14,19,35,47084400
64131001,38,28,24,27,38,39,53305200
64131501,26,31,29,22,25,40,48898800
64134301,32,24,25,14,19,31,69206400
64134801,28,25,31,24,23,40,44838000
64135001,34,37,39,21,44,38,70761600
64136701,34,19,20,22,32,43,47602800
64136801,32,20,21,38,39,59,67478400
64137401,36,36,24,15,32,31,97804800
64138101,35,18,35,22,36,41,40345200
64138301,33,36,33,19,27,42,40604400
64139201,28,37,14,32,27,56,50799600
64139301,27,25,13,29,36,54,65059200
64139401,31,36,27,22,34,45,65923200
64141301,40,25,42,16,41,32,42418800
64141701,31,32,29,14,22,29,69462000
64142601,33,31,22,21,41,37,39049200
64143401,31,27,37,18,21,35,92966400
64144101,35,32,29,18,39,42,44406000
64144501,33,24,26,17,42,37,63590400
64144601,32,33,32,17,29,34,79311600
64146301,38,32,40,19,32,28,82076400
64146901,28,16,37,12,25,34,79311600
64148301,38,28,29,23,22,41,38185200
64148601,28,36,37,24,24,30,46479600
64148801,19,27,18,28,34,45,37494000
64149401,25,25,36,26,23,39,39740400
64149901,33,27,26,19,38,42,70066800
64150101,30,44,27,25,37,58,61430400
64150401,27,24,29,13,26,32,34732800
64151401,35,32,30,11,36,33,83293200
64152701,31,22,30,16,35,31,34128000
64153601,35,19,14,20,36,40,70329600
64153801,37,29,25,21,34,31,66355200
64154201,27,28,22,29,28,52,33264000
64154401,29,41,34,12,22,27,31708800
64154501,38,30,34,20,32,33,31104000
64154901,33,37,28,27,25,46,28944000
64155101,36,37,24,33,25,53,28512000
64155301,24,20,31,24,31,42,28684800
64156501,29,30,23,28,20,47,74217600
64156901,33,32,19,32,37,46,44154000
64157801,36,28,29,21,40,39,23587200
64158001,27,32,25,19,27,36,20390400
64158201,26,40,37,2,43,26,56160000
