"partid","time","version","item","rating"
64000401,1366614482,"gen","valence",67
64000401,1366614495,"gen","arousal",44
64000401,1366614510,"gen","arousneg",34
64000401,1366614520,"gen","happy",61
64000401,1366614532,"gen","timepr",55
64000401,1366614549,"gen","sad",36
64000401,1366614560,"gen","arouspos",72
64000401,1366614571,"gen","tired",81
64000401,1366614580,"gen","concentr",58
64000401,1366614587,"gen","angry",16
64000401,1366614597,"gen","motivat",65
64000401,1366614604,"gen","afraid",15
64000401,1366614629,"pre","valence",55
64000401,1366614638,"pre","arousal",38
64000401,1366614648,"pre","timepr",43
64000401,1366614658,"pre","motivat",64
64000401,1366614666,"pre","concentr",66
64000401,1366614670,"pre","afraid",5
64000401,1366614675,"pre","angry",4
64000401,1366614688,"pre","arousneg",9
64000401,1366614701,"pre","arouspos",12
64000401,1366614710,"pre","happy",59
64000401,1366614720,"pre","tired",62
64000401,1366614729,"pre","sad",16
64000401,1366619267,"mid1","valence",47
64000401,1366619279,"mid1","arousal",57
64000401,1366619287,"mid1","arouspos",12
64000401,1366619294,"mid1","happy",44
64000401,1366619304,"mid1","angry",6
64000401,1366619310,"mid1","concentr",72
64000401,1366619315,"mid1","tired",84
64000401,1366619321,"mid1","sad",5
64000401,1366619326,"mid1","timepr",7
64000401,1366619331,"mid1","afraid",5
64000401,1366619341,"mid1","arousneg",10
64000401,1366619346,"mid1","motivat",59
64000401,1366628750,"mid2","valence",40
64000401,1366628757,"mid2","arousal",61
64000401,1366628762,"mid2","tired",93
64000401,1366628769,"mid2","arouspos",15
64000401,1366628777,"mid2","angry",7
64000401,1366628785,"mid2","concentr",62
64000401,1366628790,"mid2","arousneg",9
64000401,1366628793,"mid2","timepr",7
64000401,1366628796,"mid2","sad",4
64000401,1366628807,"mid2","happy",48
64000401,1366628813,"mid2","afraid",2
64000401,1366628827,"mid2","motivat",48
64000401,1366640902,"post","valence",44
64000401,1366640909,"post","arousal",70
64000401,1366640913,"post","afraid",0
64000401,1366640916,"post","arouspos",4
64000401,1366640922,"post","timepr",21
64000401,1366640926,"post","tired",96
64000401,1366640934,"post","happy",50
64000401,1366640939,"post","angry",15
64000401,1366640943,"post","motivat",6
64000401,1366640946,"post","sad",9
64000401,1366640951,"post","concentr",82
64000401,1366640957,"post","arousneg",34
64004701,1398755687,"gen","valence",10
64004701,1398755698,"gen","arousal",29
64004701,1398755705,"gen","timepr",80
64004701,1398755710,"gen","concentr",30
64004701,1398755718,"gen","sad",84
64004701,1398755730,"gen","happy",25
64004701,1398755735,"gen","afraid",69
64004701,1398755744,"gen","tired",62
64004701,1398755752,"gen","arouspos",11
64004701,1398755758,"gen","arousneg",81
64004701,1398755765,"gen","angry",67
64004701,1398755771,"gen","motivat",19
64004701,1398755790,"pre","valence",36
64004701,1398755797,"pre","arousal",33
64004701,1398755801,"pre","sad",50
64004701,1398755811,"pre","angry",7
64004701,1398755817,"pre","tired",19
64004701,1398755822,"pre","arouspos",16
64004701,1398755829,"pre","arousneg",31
64004701,1398755837,"pre","concentr",80
64004701,1398755850,"pre","happy",35
64004701,1398755855,"pre","motivat",70
64004701,1398755868,"pre","afraid",31
64004701,1398755872,"pre","timepr",24
64004701,1398761138,"mid1","valence",39
64004701,1398761142,"mid1","arousal",29
64004701,1398761148,"mid1","sad",43
64004701,1398761154,"mid1","arouspos",38
64004701,1398761159,"mid1","timepr",13
64004701,1398761162,"mid1","angry",12
64004701,1398761168,"mid1","motivat",32
64004701,1398761171,"mid1","afraid",13
64004701,1398761175,"mid1","concentr",32
64004701,1398761180,"mid1","happy",34
64004701,1398761185,"mid1","arousneg",27
64004701,1398761189,"mid1","tired",40
64004701,1398771153,"mid2","valence",11
64004701,1398771158,"mid2","arousal",64
64004701,1398771165,"mid2","motivat",20
64004701,1398771169,"mid2","arousneg",80
64004701,1398771172,"mid2","timepr",30
64004701,1398771177,"mid2","sad",80
64004701,1398771180,"mid2","tired",20
64004701,1398771183,"mid2","concentr",30
64004701,1398771186,"mid2","happy",12
64004701,1398771190,"mid2","afraid",37
64004701,1398771193,"mid2","arouspos",0
64004701,1398771197,"mid2","angry",91
64004701,1398782879,"post","valence",25
64004701,1398782885,"post","arousal",19
64004701,1398782890,"post","happy",24
64004701,1398782896,"post","arouspos",6
64004701,1398782901,"post","concentr",73
64004701,1398782906,"post","arousneg",17
64004701,1398782910,"post","tired",19
64004701,1398782913,"post","afraid",16
64004701,1398782921,"post","sad",76
64004701,1398782927,"post","motivat",31
64004701,1398782931,"post","timepr",29
64004701,1398782936,"post","angry",24
64006401,1392884053,"gen","valence",20
64006401,1392884061,"gen","arousal",39
64006401,1392884065,"gen","motivat",71
64006401,1392884072,"gen","sad",56
64006401,1392884078,"gen","tired",59
64006401,1392884082,"gen","angry",41
64006401,1392884085,"gen","afraid",19
64006401,1392884089,"gen","arousneg",53
64006401,1392884094,"gen","concentr",54
64006401,1392884098,"gen","happy",56
64006401,1392884103,"gen","arouspos",54
64006401,1392884106,"gen","timepr",30
64006401,1392884116,"pre","valence",74
64006401,1392884121,"pre","arousal",29
64006401,1392884124,"pre","tired",61
64006401,1392884128,"pre","sad",39
64006401,1392884133,"pre","timepr",19
64006401,1392884138,"pre","happy",47
64006401,1392884143,"pre","arousneg",30
64006401,1392884147,"pre","motivat",69
64006401,1392884151,"pre","afraid",18
64006401,1392884154,"pre","concentr",59
64006401,1392884158,"pre","angry",10
64006401,1392884161,"pre","arouspos",20
64006401,1392888182,"mid1","valence",19
64006401,1392888186,"mid1","arousal",69
64006401,1392888189,"mid1","concentr",82
64006401,1392888192,"mid1","arouspos",16
64006401,1392888195,"mid1","motivat",63
64006401,1392888197,"mid1","afraid",33
64006401,1392888201,"mid1","angry",79
64006401,1392888203,"mid1","happy",34
64006401,1392888206,"mid1","tired",30
64006401,1392888209,"mid1","arousneg",75
64006401,1392888211,"mid1","sad",15
64006401,1392888214,"mid1","timepr",63
64006401,1392897864,"mid2","valence",55
64006401,1392897868,"mid2","arousal",80
64006401,1392897872,"mid2","angry",22
64006401,1392897875,"mid2","motivat",71
64006401,1392897878,"mid2","concentr",88
64006401,1392897881,"mid2","happy",54
64006401,1392897885,"mid2","timepr",70
64006401,1392897896,"mid2","arouspos",41
64006401,1392897899,"mid2","afraid",7
64006401,1392897903,"mid2","arousneg",57
64006401,1392897905,"mid2","sad",26
64006401,1392897908,"mid2","tired",18
64006401,1392909134,"post","valence",41
64006401,1392909137,"post","arousal",61
64006401,1392909140,"post","afraid",20
64006401,1392909143,"post","concentr",91
64006401,1392909147,"post","tired",11
64006401,1392909149,"post","angry",56
64006401,1392909151,"post","arousneg",64
64006401,1392909153,"post","happy",36
64006401,1392909156,"post","motivat",63
64006401,1392909159,"post","timepr",21
64006401,1392909162,"post","sad",38
64006401,1392909165,"post","arouspos",18
