"partid","location","rt_decision","H","R","R_sh1","R_sh2"
64000401,"Basel",9780.875,0.25,0.75,0.75,0.75
64004701,"Basel",17189.125,0.625,0.625,0.5,0.75
64006401,"Basel",7961.25,0.25,0.5,0.5,0.5
64006901,"Basel",10625.625,0.5,0.25,0,0.5
64007901,"Basel",12778.875,0.25,0.75,0.75,0.75
64008701,"Basel",16847.625,0.5,0.75,0.75,0.75
64011501,"Basel",12801.125,0.5,0.25,0.5,0
64015601,"Basel",7981.875,0.375,0.625,0.5,0.75
64016901,"Basel",8731.5,0.25,0.75,0.75,0.75
64018301,"Basel",10335.875,0.375,0.125,0,0.25
64020401,"Basel",13398.625,0.125,0.375,0.5,0.25
64020501,"Basel",11982.25,0.5,0.25,0.25,0.25
64021901,"Basel",7991.125,0.125,0.625,0.25,1
64022901,"Basel",4858.375,0.375,0.625,1,0.25
64025601,"Basel",8360.25,0.25,0.5,0.5,0.5
64026901,"Basel",5853.5,0.625,0.625,0.5,0.75
64027801,"Basel",9260,0.25,0.5,0.25,0.75
64029901,"Basel",7058.125,0.25,0.5,0.5,0.5
64031301,"Basel",13536.25,0.25,0.25,0.5,0
64034901,"Basel",8118.125,0.25,0.5,0.25,0.75
64036201,"Basel",6155,0.625,0.625,0.75,0.5
64036701,"Basel",4083.125,0,0.5,0.5,0.5
64037701,"Basel",13088.125,0.25,0.5,0.75,0.25
64039601,"Basel",16217.625,0.75,0.5,0.5,0.5
64042701,"Basel",6809.75,0.5,0.5,0.5,0.5
64046301,"Basel",9111,0.375,0.375,0.5,0.25
64047801,"Basel",9508.75,0.375,0.375,0.25,0.5
64049601,"Basel",14458.625,0.875,0.375,0.25,0.5
64049701,"Basel",7460.5,0.125,0.375,0.75,0
64051301,"Basel",6163.625,0.5,0.5,0.5,0.5
64051501,"Basel",7838.75,0.125,0.375,0.5,0.25
64052901,"Basel",8206.75,0.375,0.375,0.5,0.25
64053701,"Basel",12748.375,0.5,0.5,0.25,0.75
64055001,"Basel",6712.375,0.25,0.25,0.5,0
64056701,"Basel",10072.125,0.125,0.625,0.25,1
64057101,"Basel",8408,0.375,0.375,0.25,0.5
64057201,"Basel",22513.75,0.75,0.5,0.5,0.5
64057901,"Basel",11611.25,0.25,0.25,0.5,0
64058101,"Basel",6936.75,0.375,0.125,0.25,0
64058701,"Basel",10570.75,0.125,0.375,0,0.75
64059001,"Basel",9640.125,0.5,0.5,0.25,0.75
64060701,"Basel",7781.75,0.625,0.625,1,0.25
64061701,"Basel",11451.25,0.125,0.375,0.25,0.5
64061901,"Basel",12312.375,0.5,0,0,0
64063501,"Basel",10111.375,0.375,0.625,1,0.25
64063601,"Basel",5302.375,0.25,0.25,0.5,0
64066601,"Basel",7977.5,0.375,0.125,0.25,0
64067701,"Basel",10832.75,0.625,0.125,0,0.25
64068201,"Basel",5577.125,0.375,0.125,0.25,0
64069001,"Basel",11901.875,0.375,0.375,0.5,0.25
64069401,"Basel",12643,0.5,0.75,0.5,1
64069501,"Basel",7600.625,0.75,0.5,0.75,0.25
64069601,"Basel",14988.875,0.5,0.25,0.25,0.25
64070201,"Basel",14160,0.5,0.25,0,0.5
64070601,"Basel",9006.75,0.625,0.375,0.5,0.25
64071401,"Basel",13916.75,0.5,0.5,0.5,0.5
64072601,"Basel",11049.5,0.75,0.75,0.5,1
64072701,"Basel",7184.125,0.5,0.75,0.5,1
64072901,"Basel",6829.75,0.375,0.625,0.75,0.5
64073001,"Basel",7056.25,0.125,0.625,0.5,0.75
64073201,"Basel",11587.75,0.25,0.5,0.25,0.75
64073501,"Basel",7928.125,0.375,0.125,0,0.25
64075601,"Basel",5589.25,0.5,0.5,0.5,0.5
64075801,"Basel",16072.625,0.75,0.25,0,0.5
64076301,"Basel",5706.375,0.5,0.75,0.75,0.75
64079401,"Basel",25604.75,0.5,0.25,0.25,0.25
64079601,"Basel",12580.625,0.25,0.25,0.25,0.25
64079801,"Basel",4902.75,0.5,0.5,0.5,0.5
64080101,"Basel",8222.75,0.375,0.625,0.5,0.75
