"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
18,64000401,0,8,0,15,21.666667,8.3333333,10,0,25,15,30,10,0.5,0,3,7
19,64004701,0,7,0,12.5,15,10,10,0,20,20,15,10,0.55357143,0,4,6
20,64006401,0,3,0,16.666667,20,13.333333,10,5,25,25,25,10,0.46428571,0,8,2
21,64006901,0,6,0,7.5,11.666667,3.3333333,10,5,5,0,20,5,0.66071429,0,5,5
22,64007901,0,4,0,16.25,17.5,15,2.5,5,30,30,20,10,0.46428571,3,7,3
23,64008701,0,6,0,6.6666667,10,3.3333333,5,0,10,5,15,5,0.67857143,0,5,5
24,64011501,0,5,2,15,22.5,7.5,15,0,32.5,17.5,20,5,0.51785714,3,4,6
25,64015601,0,4,0,11.666667,18.333333,5,10,0,25,5,20,10,0.57142857,0,7,3
26,64016901,0,3,0,20,28.333333,11.666667,15,5,55,25,15,5,0.39285714,0,8,2
28,64018301,0,7,0,12.5,16.666667,8.3333333,15,5,0,10,35,10,0.57142857,3,4,6
29,64020401,0,3,1,29.166667,36.666667,21.666667,25,0,45,45,40,20,0.19642857,0,3,7
30,64020501,0,2,0,16.666667,25,8.3333333,15,5,30,5,30,15,0.46428571,3,9,1
31,64021901,0,6,0,8.3333333,13.333333,3.3333333,5,5,10,5,25,0,0.64285714,0,5,5
32,64022901,0,4,0,13.333333,18.333333,8.3333333,10,5,25,10,20,10,0.53571429,0,7,3
33,64025601,0,2,0,25,35,15,20,10,55,20,30,15,0.28571429,0,9,1
35,64026901,0,1,0,21.666667,28.333333,15,20,10,25,20,40,15,0.35714286,0,10,0
36,64027801,0,4,0,12.5,20,5,10,5,0,0,50,10,0.55357143,0,7,3
37,64029901,0,5,0,38.333333,48.333333,28.333333,25,15,70,45,50,25,0,1,6,4
38,64031301,0,4,0,3.3333333,3.3333333,3.3333333,5,0,0,0,5,10,0.75,0,7,3
39,64034901,0,6,2,10.416667,14.166667,6.6666667,5,0,15,5,22.5,15,0.60714286,3,3,7
40,64036201,0,6,0,-2.5,-3.3333333,-1.6666667,-5,0,-5,-5,0,0,0.875,0,5,5
41,64036701,0,3,0,20.833333,26.666667,15,10,5,45,30,25,10,0.35714286,3,8,2
42,64037701,0,4,0,5.8333333,8.3333333,3.3333333,10,0,15,10,0,0,0.69642857,0,7,3
