"location","partid","showup","version","sex","age","session","done","retest","chipped"
"Basel",64000401,1,"final","female",26,"m7kts9gtin8sj02pgudcivv8g2",1,0,1
"Basel",64004701,1,"final","male",24,"3icec7h6qnkpll0vfsqd2cvjk4",1,0,1
"Basel",64006401,1,"final","female",24,"a543nc2od4bfboogu4ntov7h33",1,0,1
"Basel",64006901,1,"final","female",29,"gtpo7p3d0oh901g6euoornhs35",1,0,1
"Basel",64007901,1,"final","male",24,"gp275rqu19f61t1i9rv17ht6u6",1,0,0
"Basel",64008701,1,"final","male",30,"g4sdos6v2gfg2f3silqrehmqi2",1,0,1
"Basel",64011501,1,"final","female",25,"2u8gbu98cb6ufeq5ok4hdpmke6",1,0,1
"Basel",64015601,1,"final","female",25,"4ce6kbiu2fpoovmuf85opvo003",1,0,1
"Basel",64016901,1,"final","male",27,"949m1e4do0smat4tapblsb2gs0",1,0,0
"Basel",64018301,1,"final","female",25,"c9bthitk33167k4i0ie8cvqpk6",1,0,0
"Basel",64020401,1,"final","male",26,"vra0qce8d3ujaqhikmvkf10613",1,0,1
"Basel",64020501,1,"final","female",27,"lak6vtfn3fb09qkt6aelklo6a7",1,0,1
"Basel",64021901,1,"final","female",25,"8cb37evvibum97kchvi72l2v90",1,0,1
"Basel",64022901,1,"final","female",23,"t9t0bkppqnq62funthrdcv7oe4",1,0,1
"Basel",64025601,1,"final","male",27,"0npuc9r8oh7bgc6fubgasv88j6",1,0,1
"Basel",64026901,1,"final","female",29,"g7eetckdpk64e1num3qgejf8d1",1,0,1
"Basel",64027801,1,"final","female",24,"hdd5ae89nm464jreoq5hcfad56",1,0,1
"Basel",64029901,1,"final","female",33,"e0pabrspop4kidv7j31rpqduq6",1,0,1
"Basel",64031301,1,"final","female",24,"5b399kjur8qncb650c0a1f5560",1,0,1
"Basel",64034901,1,"final","female",27,"31alras59cl8iv56tpkgpjcs81",1,0,1
"Basel",64036201,1,"final","male",26,"iuosqs9602mocobqqc1cpa9uc0",1,0,1
"Basel",64036701,1,"final","male",29,"f30tle0g903kuevqkbvpheb1u4",1,0,1
"Basel",64037701,1,"final","male",28,"4p35q5usvnca08d3afdmimb4l3",1,0,1
"Basel",64039601,1,"final","male",23,"6q00la6bqfjb3hqdsqch2i8pn4",1,0,1
"Basel",64042701,1,"final","male",27,"83olnhb5oeneve7ens9h4et6s1",1,0,1
"Basel",64046301,1,"final","male",23,"chl8vik3i93r6bve63k5dfrpv2",1,0,1
"Basel",64047801,1,"final","female",24,"9lqjc5cjlfhe945a5pavb0etr5",1,0,1
"Basel",64049601,1,"final","female",23,"oserms1i8g4mnig9ga7kpo91n0",1,0,1
"Basel",64049701,1,"final","female",24,"25i5gk056ok8fr6i5cdv3jie46",1,0,1
"Basel",64051301,1,"final","female",25,"t0ecuqpkfkbqsu2o9m64jj54q2",1,0,1
"Basel",64051501,1,"final","female",28,"f6cbaretm9gtdsjpn3tg6vtfj5",1,0,1
"Basel",64052901,1,"final","female",31,"9kge7mloavjegn9r0hov266353",1,0,1
"Basel",64053701,1,"final","female",23,"vpotb0difek8nudcdt366013s3",1,0,1
"Basel",64055001,1,"final","female",22,"h8acqu8c95bm0c7oeohn7rfp90",1,0,1
"Basel",64056701,1,"final","male",23,"qbhce0f9ckhfa4b90b9lhoa5n3",1,0,1
"Basel",64057101,1,"final","female",25,"j65ulbrtij1uf25jv0lcjvutj7",1,0,1
"Basel",64057201,1,"final","female",25,"05gjnu4bueeisrijlqsv5i2kg3",1,0,1
"Basel",64057901,1,"final","female",22,"vo2jplvfkmv5s14fitpoit1qs6",1,0,0
"Basel",64058101,1,"final","female",33,"mlv8160choa8h4o6bd8q1p7nr5",1,0,1
"Basel",64058701,1,"final","female",28,"51j3572bb641pto3dfnbcs1ku5",1,0,1
"Basel",64059001,1,"final","female",30,"mfilckh298lg9cbhfos3787nl2",1,0,1
"Basel",64060701,1,"final","male",33,"9qq6d6qn32i1tbl8in377nbqq0",1,0,1
"Basel",64061701,1,"final","male",24,"2j4o7udfoh7ej3qne9qlm3ui67",1,0,1
"Basel",64061901,1,"final","male",26,"5m1cn8s4osv7v75opdskuvsrs6",1,0,1
"Basel",64063501,1,"final","male",23,"qslv83r965ugaggm4j2ibqbkg5",1,0,1
"Basel",64063601,1,"final","female",24,"02ldn722a6jhgv9au2a19pa613",1,0,0
"Basel",64066601,1,"final","female",27,"4f2rs7h2b3rconfit6pbkrvu95",1,0,1
"Basel",64067701,1,"final","female",26,"kekq1dlg5ohm4u2krqti5qkep4",1,0,0
"Basel",64068201,1,"final","female",25,"dnsou4lj5evu5r9eii5ocdasp5",1,0,1
"Basel",64069001,1,"final","female",26,"82mo0gbgrnf2ha1f332jov2gl1",1,0,1
"Basel",64069401,1,"final","female",24,"6bi1s06vkih552jegintgmrr50",1,0,1
