"partid","bart_riskperc","mpl","mplBehavior","cct_overt","cct","mt","wmc","vrttt"
"64057201",,,,,,,1,
"64116201",,,,,,,1,
"64117601",,,,1,1,,,
"64121601",,,,,,,1,
"64131501",,,,,,,1,
"64158001",,,,,,,1,
"64181801",,,,,,,1,
"64183201",,,,,,,,1
"64195501",,,,,,1,,
"65005201",,,,,,1,,
"65006001",,1,1,,,,,
"65020501",,1,1,,,,,
"65047001",1,,,,,,,
"68002101",,,,,,1,,
"68005901",,,,,,,1,
"68006001",,,,,,,1,
"68011001",,,,,,,1,
"68012901",,,,,,,1,
"68013001",,,,,,,1,
"68014801",,,,,,,,1
"68020201",,,,,,,1,
"68022501",,,,,,,1,
"68026301",,,,,,,1,
"68027001",,,,,,,1,
"68028101",,,,,,,1,
"68029501",,,,,,,1,
"68033501",,,,,,,1,
"68036201",,,,,,1,,
