ID;HLL1_1;HLL1_2;HLL1_3;HLL1_4;HLL1_5;HLL1_6;HLL1_7;HLL1_8;HLL1_9;HLL1_10;INCONSIST_HLL1;Row_10_inconsistent_HLL1;switches_HLL1;HLL2_1;HLL2_2;HLL2_3;HLL2_4;HLL2_5;HLL2_6;HLL2_7;HLL2_8;HLL2_9;HLL2_10;INCONSIST_HLL2;Row_10_inconsistent_HLL2;switches_HLL2;L1_1;L1_2;L1_3;L1_4;L1_5;L1_6;L1_7;L1_8;L1_9;L1_10;L1_11;L2_1;L2_2;L2_3;L2_4;L2_5;L2_6;L2_7;L2_8;L2_9;L2_10;L2_11;dsp_1;dsp_2;dsp_3;dsp_4;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10a;f10b;f10c;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;;geld;variante;vhll1;vhll2;zeit_begruessung;zeit_denksport;zeit_einleitung;zeit_frage;zeit_frage2;zeit_fragebogen;zeit_hll1;zeit_hll2;zeit_lotterie1;zeit_lotterie2;NUM_SKILLS
0j9krmot;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;48;36;insges. ist der Anteil um 50% zurückgegangen;1;1;1940;59;3;2;189;2;5;3;25;22;0;1;0;0;2;1;0;0;0;4;2;4;1;2;2;2;4;1;1;;0;1;0;2;12;3356;31;18;11;314;67;63;44;33;702
3k1ubvi1;1;1;0;0;0;1;1;1;0;1;1;0;4;0;0;1;1;1;0;0;1;1;1;1;0;3;A;A;A;A;B;B;B;A;B;B;B;A;A;A;A;A;A;A;A;B;B;B;48;39;hat sich dezimiert;2;1;1981;31;1;5;187;4;6;3;163;48;0;1;0;1;3;1;1;0;1;8;5;6;8;9;1;5;7;1;1;;0;2;3;6;660;268;14;13;5;146;239;67;31;46;454
hulvs9c0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;48;36;Die Menge hat sich halbiert. Von 0,8Nanogramm auf 0,4Nanogramm pro Gramm Fett.;3;1;1978;38;0;1;193;3;4;3;120;330;0;1;0;1;3;1;0;0;1;3;1;1;3;5;3;1;5;1;1;;0;1;3;5;28;463;34;11;7;212;117;65;84;26;1079
krh58va7;1;1;1;1;0;1;0;1;1;1;1;0;4;1;1;1;0;1;1;1;0;1;0;1;1;5;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;48;36;jeweils 0,2 Nanogramm weniger pro gramm Fett pro zehn Jahre;3;1;1958;21;4;4;182;4;5;5;5;7;0;1;0;1;3;1;0;0;0;8;3;8;6;9;2;5;8;0;1;;1;2;10;10;7;314;27;38;26;350;100;185;61;117;1079
mallreq3;0;1;1;0;0;0;1;1;0;0;1;1;4;0;1;0;1;0;0;1;0;1;1;1;0;7;A;B;B;B;A;A;B;B;B;B;A;A;B;B;B;A;B;B;B;A;A;B;36;35;stetig fallend relativ gleichmäsig;2;1;1994;89;0;2;178;2;4;5;20;0;0;0;0;1;3;0;0;0;0;7;4;1;10;4;7;3;2;1;1;;0;2;3;4;18;242;1;24;4;269;15;110;29;58;280
rt8b9ln4;0;0;0;1;1;1;1;0;0;0;1;1;2;0;0;0;1;1;1;1;0;0;0;1;1;2;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;48;36;Der Dioxinanteil hat sich in 10Jahreszeiträumen um jeweil 0,2 Nitrogramm verring;1;1;1976;21;2;4;190;3;6;2;105;95;1.3;0;0;0;2;0;0;0;1;8;7;5;7;8;5;2;7;1;1;;0;1;10;10;4;284;19;12;11;192;116;58;63;29;702
5essusvs;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;48;36;Anteil ist um die Hälfte gesunken;1;2;1964;47;3;5;167;5;4;1;25;30;130;0;0;1;3;1;0;0;1;5;4;4;4;4;7;4;6;1;1;;0;1;9;7;11;188;4;7;12;134;104;132;73;32;702
a6q2ha1q;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;3;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;48;36;auf die Hälfte veringert;3;1;1984;22;0;2;185;2;6;1;30;0;100;0;0;1;2;1;0;0;0;3;5;3;6;5;7;8;4;1;1;;0;2;6;6;3;230;13;12;3;91;45;77;29;61;1079
d12om2j0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;3;A;A;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;48;36;reduzierung um 0,02 Nanogramm/Gramm Fett pro Jahr;3;1;1977;34;3;5;186;3;6;3;28;2;0;1;0;0;3;0;0;0;1;4;6;6;4;4;5;5;5;1;1;;0;2;8;6;2;255;3;19;8;244;95;140;55;97;1079
kjq4tcop;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;2;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;48;36;halbiert;3;1;1966;29;2;4;178;4;5;3;80;140;0;1;0;1;3;1;0;0;1;4;6;4;8;4;4;3;4;1;1;;0;2;9;6;15;184;28;16;6;206;69;192;66;74;1079
