id,risk_gain,risk_loss,age,gender
1,4,6,21,1
2,5,6,19,1
3,5,6,18,0
4,5,6,21,0
5,6,7,19,1
6,4,7,23,1
7,6,5,19,0
8,5,7,20,1
9,5,6,20,0
10,4,8,19,0
11,4,7,20,0
12,5,8,19,1
13,5,7,19,0
14,4,5,19,1
15,4,6,18,0
16,4,9,19,0
17,5,6,19,0
18,5,6,22,0
19,1,7,20,0
20,,7,20,1
21,4,6,19,0
22,5,5,22,0
23,3,7,19,0
24,4,7,20,0
25,4,6,18,0
26,5,5,19,0
27,5,7,18,0
28,5,7,19,0
29,6,6,21,1
30,4,5,19,0
31,4,6,22,1
32,4,7,21,1
33,5,6,21,0
34,5,7,20,1
35,5,6,22,1
36,5,7,21,0
37,,8,19,0
38,4,7,19,0
39,4,6,21,1
40,5,8,19,0
41,5,7,20,1
42,5,6,21,1
43,5,6,23,1
44,3,7,18,0
45,5,8,20,1
46,6,7,20,1
47,5,6,21,1
48,3,,19,0
49,5,7,19,1
50,4,7,18,0
51,4,8,20,1
52,5,7,20,1
53,3,5,23,0
54,5,5,21,0
55,4,7,22,0
56,4,7,20,0
57,7,7,22,0
58,4,5,18,0
59,5,7,19,1
60,3,7,23,0
61,5,8,23,0
62,3,8,23,0
63,4,7,22,0
64,4,7,23,0
65,5,7,20,1
66,5,6,20,1
67,5,8,21,1
68,5,8,21,0
69,5,6,21,0
70,5,6,18,0
71,4,6,22,0
72,4,7,20,0
73,4,6,19,1
74,3,8,23,0
75,5,6,18,1
76,5,7,23,0
77,5,6,20,0
78,5,6,24,0
79,3,7,22,0
80,4,7,22,0
81,4,5,22,0
82,4,7,19,0
83,4,7,22,1
84,,8,20,1
85,3,5,22,1
86,5,7,24,1
87,5,8,23,1
88,6,6,22,0
89,5,6,20,0
90,4,6,21,0
91,4,7,19,0
92,5,7,19,1
93,5,7,24,0
94,4,7,20,1
95,5,6,21,1
96,1,6,23,1
97,5,6,22,1
98,1,8,24,0
99,5,9,22,1
100,5,5,22,0
101,4,6,21,0
102,1,8,25,1
103,5,7,22,1
104,6,6,19,1
105,5,8,22,0
106,5,6,22,0
107,4,7,23,0
108,4,5,20,1
109,4,6,20,0
110,4,6,22,0
111,5,6,19,1
112,3,7,19,1
113,5,7,20,1
114,4,7,19,0
115,3,10,20,0
116,5,7,21,0
117,5,6,19,0
118,5,5,18,0
119,10,9,19,0
120,5,6,21,0
121,6,5,19,0
122,4,7,20,0
123,7,6,23,1
124,4,4,19,0
125,3,4,19,0
126,4,6,20,0
127,4,6,19,0
128,5,7,21,0
129,1,6,18,0
130,4,6,19,0
131,5,6,18,0
132,4,7,20,0
133,5,5,22,0
134,5,8,21,0
135,5,7,18,0
136,5,4,19,0
137,6,8,22,1
138,4,6,18,0
139,5,6,19,0
140,4,7,21,0
141,5,6,18,0
142,5,6,21,1
143,4,6,19,1
144,,5,21,0
145,3,5,23,0
146,4,7,20,0
147,5,7,18,1
148,5,6,19,0
149,4,6,20,1
150,3,4,20,0
151,4,5,18,0
152,,7,19,0
153,4,5,19,0
154,5,6,19,1
155,5,6,18,1
156,6,5,19,0
157,2,3,20,0
158,3,7,18,0
159,2,,21,0
160,4,8,19,1
161,4,5,22,0
162,5,6,19,0
163,4,8,21,0
164,4,7,18,1
165,3,6,18,0
166,4,7,21,0
167,4,7,18,0
168,5,5,18,0
169,5,6,18,0
170,4,7,23,0
171,5,6,18,0
172,5,6,19,0
173,3,7,19,0
174,4,5,21,0
175,3,7,19,0
176,5,5,17,0
177,5,7,18,0
178,4,4,18,0
179,4,6,19,0
180,7,8,20,0
181,5,6,18,0
182,1,7,23,0
183,4,7,22,0
184,5,7,18,0
185,7,7,20,0
186,7,5,19,1
187,4,8,19,0
188,4,5,23,1
189,4,6,22,0
190,4,5,18,1
191,,6,20,0
192,4,5,22,0
193,5,5,20,1
194,6,6,18,0
195,4,6,18,1
196,6,7,22,0
197,4,5,21,0
198,4,7,22,0
199,4,1,21,0
200,5,8,19,1
201,5,7,19,0
202,5,8,19,1
203,5,6,20,0
204,6,7,19,0
205,5,7,19,0
206,4,8,20,0
207,5,8,19,1
208,5,7,18,0
209,3,5,20,0
210,5,5,22,1
211,4,6,20,1
212,6,7,20,0
213,5,6,20,0
214,3,6,21,0
215,4,6,21,0
216,4,6,19,0
217,5,6,20,1
218,4,5,21,1
219,5,7,19,1
220,4,7,20,1
221,5,6,19,1
222,5,6,18,1
223,5,5,19,1
224,5,7,21,1
225,5,6,20,1
226,3,7,21,1
227,3,8,21,1
228,5,6,19,1
229,3,5,20,0
230,5,7,23,1
231,4,7,19,0
232,4,5,19,0
233,5,6,21,0
234,5,7,20,0
235,5,5,21,0
236,6,6,20,1
237,5,9,18,1
238,5,6,19,0
239,5,5,20,1
240,6,5,19,1
241,4,6,19,0
242,5,6,21,1
243,5,6,24,0
244,6,7,19,0
245,6,8,21,0
246,5,6,19,0
247,5,5,20,0
248,3,7,24,0
249,4,5,20,0
250,5,9,20,1
251,4,7,19,0
252,3,6,22,0
253,7,7,18,1
254,3,7,20,1
255,5,6,20,1
256,4,7,21,0
257,5,6,21,1
