bibkey,paper,task,subject,choice,r,age,soep,soep_financial,gender,country,city,latitude,longitude
Veldhuizen2022,Veldhuizen 2022,EG,1,4,0.34005022436613214,30,5,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,1,7,1.426020405117888,30,5,3,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,2,6,1,26,5,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,2,6,1.0733730859286152,26,5,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,3,5,0.8501396612264216,25,8,4,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,4,6,1,23,8,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,4,6,0.9335220864741133,23,8,6,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,5,5,0.8195199435576797,29,8,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,5,4,0.2780513112572953,29,8,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,6,6,1,21,5,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,6,8,1.522176238000393,21,5,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,7,4,0.4358195950346999,25,3,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,7,7,1.442203512189444,25,3,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,8,3,-0.13493340726941824,25,7,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,8,3,0.09465906452853229,25,7,0,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,9,3,-0.0642672677547671,20,7,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,9,5,0.6761382015561685,20,7,5,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,10,5,0.5550939958775416,27,7,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,10,8,1.8872314896434546,27,7,8,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,11,4,0.42372133348369967,25,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,11,3,0.022255441495217354,25,2,2,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,12,1,-2.46,30,5,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,12,4,0.3768425281299278,30,5,3,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,13,3,0.044626201209612165,21,7,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,13,4,0.3102671624533832,21,7,2,0,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,14,4,0.4214030503388494,19,6,5,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,HL,14,3,-0.06927070388104767,19,6,5,1,Germany,Berlin,52.51250267430032,13.324436617770202
Veldhuizen2022,Veldhuizen 2022,EG,15,3,-0.10326249656733126,29,3,0,0,Germany,Berlin,52.51250267430032,13.324436617770202
