bibkey,paper,task,subject,age,gender,choice,r
Charness2019,Charness et al 2019,HL,800360,59,0,10,2.71
Charness2019,Charness et al 2019,HL,800775,43,0,5,0.71264580762013785
Charness2019,Charness et al 2019,HL,800839,50,1,4,0.3456111439620145
Charness2019,Charness et al 2019,HL,802145,68,0,0,-0.37
Charness2019,Charness et al 2019,HL,802981,54,1,5,0.5917072774842381
Charness2019,Charness et al 2019,HL,804556,38,0,2,-0.3656645626574755
Charness2019,Charness et al 2019,HL,805007,58,0,0,-0.37
Charness2019,Charness et al 2019,HL,806082,60,1,0,-0.37
Charness2019,Charness et al 2019,HL,807409,20,0,6,0.9559519440168515
Charness2019,Charness et al 2019,HL,808120,49,1,0,-0.37
Charness2019,Charness et al 2019,HL,808731,43,0,4,0.40739959779428314
Charness2019,Charness et al 2019,HL,810400,29,1,3,0.11481884208973499
Charness2019,Charness et al 2019,HL,811044,61,1,6,0.9124258673517033
Charness2019,Charness et al 2019,HL,811199,61,0,7,1.3819226300017908
Charness2019,Charness et al 2019,HL,811749,25,0,4,0.5663354973099194
Charness2019,Charness et al 2019,HL,812011,18,1,2,-0.19550222678110002
Charness2019,Charness et al 2019,HL,812734,58,0,6,0.8957708342233672
Charness2019,Charness et al 2019,HL,814160,47,0,4,0.5195632245391607
Charness2019,Charness et al 2019,HL,814797,86,1,10,2.71
Charness2019,Charness et al 2019,HL,814999,49,0,6,1.09260047939606
Charness2019,Charness et al 2019,HL,815283,58,0,6,0.8967134701786562
Charness2019,Charness et al 2019,HL,815646,61,1,6,0.9717296373331918
Charness2019,Charness et al 2019,HL,815780,51,0,5,0.8403895106818526
Charness2019,Charness et al 2019,HL,816256,59,1,4,0.4094853178481571
Charness2019,Charness et al 2019,HL,816302,61,0,4,0.48861139119137076
Charness2019,Charness et al 2019,HL,818896,29,1,0,-0.37
Charness2019,Charness et al 2019,HL,819049,25,1,4,0.3796658949996345
Charness2019,Charness et al 2019,HL,820556,62,1,0,-0.37
Charness2019,Charness et al 2019,HL,821157,47,1,6,0.9052343990886583
Charness2019,Charness et al 2019,HL,821212,49,1,1,-0.37
Charness2019,Charness et al 2019,HL,821493,45,0,3,0.3089968121773564
Charness2019,Charness et al 2019,HL,822796,33,1,0,-0.37
Charness2019,Charness et al 2019,HL,822808,46,1,6,0.8555181820876896
Charness2019,Charness et al 2019,HL,822882,65,0,0,-0.37
Charness2019,Charness et al 2019,HL,824386,51,1,0,-0.37
Charness2019,Charness et al 2019,HL,824670,70,1,10,2.71
Charness2019,Charness et al 2019,HL,825247,56,0,3,0.1261696622776799
Charness2019,Charness et al 2019,HL,825570,43,0,4,0.5378511807532049
Charness2019,Charness et al 2019,HL,825921,26,0,6,1.1161169041646644
Charness2019,Charness et al 2019,HL,826110,36,0,6,1.0723529984708875
Charness2019,Charness et al 2019,HL,826748,82,0,5,0.7425229529896751
Charness2019,Charness et al 2019,HL,827038,38,0,4,0.3256532600475475
Charness2019,Charness et al 2019,HL,827084,40,0,3,0.25139281023992227
Charness2019,Charness et al 2019,HL,827178,27,1,0,-0.37
Charness2019,Charness et al 2019,HL,827368,64,0,1,-0.37
Charness2019,Charness et al 2019,HL,827877,78,0,5,0.7811645332444459
Charness2019,Charness et al 2019,HL,827969,77,0,0,-0.37
Charness2019,Charness et al 2019,HL,828668,69,1,1,-0.37
Charness2019,Charness et al 2019,HL,829434,56,1,10,2.71
Charness2019,Charness et al 2019,HL,829449,65,0,6,0.8953512674430385
Charness2019,Charness et al 2019,HL,831594,34,1,6,1.1475141758332028
Charness2019,Charness et al 2019,HL,833364,48,0,6,1.0067411622498184
Charness2019,Charness et al 2019,HL,833779,58,0,5,0.6428497367026285
Charness2019,Charness et al 2019,HL,833807,69,0,0,-0.37
Charness2019,Charness et al 2019,HL,833883,58,1,6,0.8597651517484337
Charness2019,Charness et al 2019,HL,833917,61,0,1,-0.37
Charness2019,Charness et al 2019,HL,833972,46,1,0,-0.37
Charness2019,Charness et al 2019,HL,834106,59,0,5,0.6754969956493004
Charness2019,Charness et al 2019,HL,834771,43,1,0,-0.37
Charness2019,Charness et al 2019,HL,835034,24,0,7,1.3181718541309237
Charness2019,Charness et al 2019,HL,836148,72,0,5,0.6804685196559876
Charness2019,Charness et al 2019,HL,836285,63,0,5,0.7363132640812546
Charness2019,Charness et al 2019,HL,836434,45,0,0,-0.37
Charness2019,Charness et al 2019,HL,836532,24,1,1,-0.37
Charness2019,Charness et al 2019,HL,837112,56,1,0,-0.37
Charness2019,Charness et al 2019,HL,837957,50,0,4,0.5895100504974835
Charness2019,Charness et al 2019,HL,839099,44,0,3,0.2698723271698691
Charness2019,Charness et al 2019,HL,839453,71,0,1,-0.37
Charness2019,Charness et al 2019,HL,839849,44,1,3,0.2312217887537554
Charness2019,Charness et al 2019,HL,839862,65,1,5,0.7833105033822357
Charness2019,Charness et al 2019,HL,840411,53,0,4,0.3883258358947933
Charness2019,Charness et al 2019,HL,842257,45,1,4,0.55128813525429
Charness2019,Charness et al 2019,HL,842282,53,1,1,-0.37
Charness2019,Charness et al 2019,HL,844155,47,0,10,2.71
Charness2019,Charness et al 2019,HL,844580,48,1,10,2.71
Charness2019,Charness et al 2019,HL,844815,57,1,0,-0.37
Charness2019,Charness et al 2019,HL,845953,22,0,3,0.1998484473861754
Charness2019,Charness et al 2019,HL,846459,23,1,7,1.3406376557331532
Charness2019,Charness et al 2019,HL,848294,46,0,0,-0.37
Charness2019,Charness et al 2019,HL,850445,42,1,10,2.71
Charness2019,Charness et al 2019,HL,851028,61,1,0,-0.37
Charness2019,Charness et al 2019,HL,851239,20,1,2,-0.3100860433466732
Charness2019,Charness et al 2019,HL,851242,30,1,6,1.114826681301929
Charness2019,Charness et al 2019,HL,854354,45,1,4,0.34428108353400605
Charness2019,Charness et al 2019,HL,854385,45,1,3,0.2254697032575496
Charness2019,Charness et al 2019,HL,854895,51,0,6,0.9136230482952669
Charness2019,Charness et al 2019,HL,856271,22,1,5,0.7604438868584111
Charness2019,Charness et al 2019,HL,857843,54,0,3,0.29215570482192565
Charness2019,Charness et al 2019,HL,858914,56,0,3,0.05706192560028285
Charness2019,Charness et al 2019,HL,859521,39,1,6,0.9482934386236592
Charness2019,Charness et al 2019,HL,860891,19,0,3,0.2805511060985737
Charness2019,Charness et al 2019,HL,861050,41,1,0,-0.37
Charness2019,Charness et al 2019,HL,861538,58,1,6,1.0349578303750604
Charness2019,Charness et al 2019,HL,861987,21,0,4,0.4251702816179022
Charness2019,Charness et al 2019,HL,862469,59,1,0,-0.37
Charness2019,Charness et al 2019,HL,862841,26,1,4,0.5125434097810648
Charness2019,Charness et al 2019,HL,863836,38,1,6,0.8967188995564356
Charness2019,Charness et al 2019,HL,864727,22,0,4,0.5617356488690711
Charness2019,Charness et al 2019,HL,865039,42,1,6,1.0808231423376127
Charness2019,Charness et al 2019,HL,865417,35,1,4,0.5606497269403189
Charness2019,Charness et al 2019,HL,865704,59,0,4,0.36111406511627137
Charness2019,Charness et al 2019,HL,867211,65,0,6,1.029966278374195
Charness2019,Charness et al 2019,HL,867330,60,1,3,0.22360402999212967
Charness2019,Charness et al 2019,HL,867492,30,0,6,0.9997745620086789
Charness2019,Charness et al 2019,HL,867745,67,1,10,2.71
Charness2019,Charness et al 2019,HL,868661,58,1,5,0.8459818609384819
Charness2019,Charness et al 2019,HL,869531,71,1,10,2.71
Charness2019,Charness et al 2019,HL,869869,29,1,5,0.6613760825479402
Charness2019,Charness et al 2019,HL,870013,46,1,4,0.5745301099354401
Charness2019,Charness et al 2019,HL,870254,48,0,10,2.71
Charness2019,Charness et al 2019,HL,870306,68,0,0,-0.37
Charness2019,Charness et al 2019,HL,871252,32,0,6,1.127654366591014
Charness2019,Charness et al 2019,HL,871939,61,0,0,-0.37
Charness2019,Charness et al 2019,HL,872613,21,0,6,0.9824811475584283
Charness2019,Charness et al 2019,HL,872711,56,1,4,0.4833580533484928
Charness2019,Charness et al 2019,HL,873141,44,1,5,0.5920156222768128
Charness2019,Charness et al 2019,HL,873889,61,0,5,0.6582943776343018
Charness2019,Charness et al 2019,HL,874316,57,0,6,1.1419429957401006
Charness2019,Charness et al 2019,HL,874374,55,1,4,0.5499961923272348
Charness2019,Charness et al 2019,HL,874792,66,1,6,1.0822337473509833
Charness2019,Charness et al 2019,HL,875918,54,0,4,0.39979209907585755
Charness2019,Charness et al 2019,HL,876144,68,0,1,-0.37
Charness2019,Charness et al 2019,HL,876632,64,1,0,-0.37
Charness2019,Charness et al 2019,HL,876992,53,0,4,0.34873506422853096
Charness2019,Charness et al 2019,HL,877206,68,1,4,0.36823117308784276
Charness2019,Charness et al 2019,HL,877517,23,1,3,0.20499195470707493
Charness2019,Charness et al 2019,HL,877548,63,1,5,0.7579492883291095
Charness2019,Charness et al 2019,HL,878103,46,1,4,0.41338416337734085
Charness2019,Charness et al 2019,HL,878582,61,0,4,0.46986361921299247
Charness2019,Charness et al 2019,HL,879336,20,1,1,-0.37
Charness2019,Charness et al 2019,HL,879574,27,1,0,-0.37
Charness2019,Charness et al 2019,HL,880111,40,0,5,0.7667997082602233
Charness2019,Charness et al 2019,HL,881323,50,1,0,-0.37
Charness2019,Charness et al 2019,HL,881408,24,0,3,0.2032870146422647
Charness2019,Charness et al 2019,HL,881713,75,0,3,0.14663466369500383
Charness2019,Charness et al 2019,HL,882489,89,0,6,1.0203816041583194
Charness2019,Charness et al 2019,HL,883432,42,1,5,0.7370882450509816
Charness2019,Charness et al 2019,HL,883590,64,1,6,0.9815022428985685
Charness2019,Charness et al 2019,HL,883651,63,0,5,0.6623357116570696
Charness2019,Charness et al 2019,HL,883789,62,1,4,0.3564007113943808
Charness2019,Charness et al 2019,HL,884472,73,1,4,0.366127222457435
Charness2019,Charness et al 2019,HL,885101,56,1,0,-0.37
Charness2019,Charness et al 2019,HL,885379,35,0,0,-0.37
Charness2019,Charness et al 2019,HL,885623,47,0,6,1.0384790960466488
Charness2019,Charness et al 2019,HL,886071,66,1,5,0.7894559638109058
Charness2019,Charness et al 2019,HL,889913,46,1,0,-0.37
Charness2019,Charness et al 2019,HL,890350,76,0,5,0.8327717342274263
Charness2019,Charness et al 2019,HL,891061,38,1,1,-0.37
Charness2019,Charness et al 2019,HL,892108,49,1,4,0.3385716995829716
Charness2019,Charness et al 2019,HL,893411,49,1,7,1.2922034823335706
Charness2019,Charness et al 2019,HL,893753,25,0,6,0.9367159725865348
Charness2019,Charness et al 2019,HL,893969,40,1,3,0.1298604746023193
Charness2019,Charness et al 2019,HL,894390,59,1,1,-0.37
Charness2019,Charness et al 2019,HL,895443,56,0,4,0.5502747063315473
Charness2019,Charness et al 2019,HL,897079,64,0,0,-0.37
Charness2019,Charness et al 2019,HL,899237,40,1,1,-0.37
Charness2019,Charness et al 2019,HL,899490,61,1,0,-0.37
Charness2019,Charness et al 2019,IG,800033,20,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,800445,36,1,0,-1
Charness2019,Charness et al 2019,IG,800942,89,0,0.04,-31.477324663531707
Charness2019,Charness et al 2019,IG,800997,18,1,7,0.8610360315355003
Charness2019,Charness et al 2019,IG,801635,42,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,801876,43,1,0,-1
Charness2019,Charness et al 2019,IG,802032,66,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,802819,34,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,802911,65,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,803143,74,1,0.2,-5.5258872798397665
Charness2019,Charness et al 2019,IG,803805,69,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,803872,18,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,804489,57,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,805169,39,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,806732,77,1,0.2,-5.5258872798397665
Charness2019,Charness et al 2019,IG,808587,82,0,8,1
Charness2019,Charness et al 2019,IG,808883,68,0,4.5,0.7181295758127334
Charness2019,Charness et al 2019,IG,809542,51,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,810192,40,1,0.1,-12.01437382285419
Charness2019,Charness et al 2019,IG,810604,66,1,8,1
Charness2019,Charness et al 2019,IG,810626,43,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,811026,68,1,0,-1
Charness2019,Charness et al 2019,IG,811309,76,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,811386,70,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,811456,42,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,811688,60,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,812380,38,0,0,-1
Charness2019,Charness et al 2019,IG,812884,78,1,8,1
Charness2019,Charness et al 2019,IG,813183,62,1,5,0.753100625878466
Charness2019,Charness et al 2019,IG,813403,63,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,814239,33,1,8,1
Charness2019,Charness et al 2019,IG,814849,29,1,8,1
Charness2019,Charness et al 2019,IG,815249,18,0,8,1
Charness2019,Charness et al 2019,IG,815844,59,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,815927,18,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,816525,59,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,816854,39,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,820755,41,0,8,1
Charness2019,Charness et al 2019,IG,821069,29,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,821432,54,0,8,1
Charness2019,Charness et al 2019,IG,822470,77,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,822497,51,0,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,822583,73,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,822927,30,0,0,-1
Charness2019,Charness et al 2019,IG,822949,69,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,823327,50,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,823529,69,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,823535,55,0,0,-1
Charness2019,Charness et al 2019,IG,823849,36,1,5,0.753100625878466
Charness2019,Charness et al 2019,IG,823910,62,0,8,1
Charness2019,Charness et al 2019,IG,824499,50,0,8,1
Charness2019,Charness et al 2019,IG,825292,19,1,0,-1
Charness2019,Charness et al 2019,IG,826177,75,1,0.1,-12.01437382285419
Charness2019,Charness et al 2019,IG,826217,52,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,826550,57,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,826956,56,1,0.02,-63.91473545166802
Charness2019,Charness et al 2019,IG,826986,64,1,0,-1
Charness2019,Charness et al 2019,IG,827075,26,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,827557,71,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,827587,62,0,0,-1
Charness2019,Charness et al 2019,IG,828536,69,1,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,828701,49,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,829061,63,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,829797,65,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,830136,64,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,830825,67,0,8,1
Charness2019,Charness et al 2019,IG,831884,64,1,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,831967,29,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,833508,43,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,833724,60,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,833993,57,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,834576,52,0,8,1
Charness2019,Charness et al 2019,IG,834594,48,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,834765,67,1,3,0.5574930686348061
Charness2019,Charness et al 2019,IG,836993,68,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,837011,64,1,0.3,-3.3623664191313214
Charness2019,Charness et al 2019,IG,838159,61,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,838296,68,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,838732,38,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,839001,19,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,839682,64,0,8,1
Charness2019,Charness et al 2019,IG,839978,45,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,840130,49,1,8,1
Charness2019,Charness et al 2019,IG,840393,46,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,840579,34,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,842370,61,0,7,0.8610360315355003
Charness2019,Charness et al 2019,IG,843890,22,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,843939,22,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,844894,52,1,0.4,-2.2800908022688255
Charness2019,Charness et al 2019,IG,845175,70,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,845623,82,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,845980,61,1,0,-1
Charness2019,Charness et al 2019,IG,846273,62,0,0,-1
Charness2019,Charness et al 2019,IG,846609,22,0,8,1
Charness2019,Charness et al 2019,IG,847402,61,1,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,847909,41,1,0,-1
Charness2019,Charness et al 2019,IG,848223,51,1,0,-1
Charness2019,Charness et al 2019,IG,848919,58,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,848971,76,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,849154,58,1,8,1
Charness2019,Charness et al 2019,IG,849618,25,1,0,-1
Charness2019,Charness et al 2019,IG,849652,52,1,0,-1
Charness2019,Charness et al 2019,IG,849792,65,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,849942,62,1,0,-1
Charness2019,Charness et al 2019,IG,850048,23,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,850418,22,1,0.01,-128.78924094307436
Charness2019,Charness et al 2019,IG,850628,44,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,850732,62,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,851336,65,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,851351,23,1,5,0.753100625878466
Charness2019,Charness et al 2019,IG,852279,45,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,852883,49,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,853219,54,1,0.5,-1.6303160028510073
Charness2019,Charness et al 2019,IG,853567,19,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,853930,61,0,8,1
Charness2019,Charness et al 2019,IG,854183,46,1,0,-1
Charness2019,Charness et al 2019,IG,854504,53,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,855316,28,1,0,-1
Charness2019,Charness et al 2019,IG,855392,60,1,8,1
Charness2019,Charness et al 2019,IG,856149,20,1,0,-1
Charness2019,Charness et al 2019,IG,857260,54,1,8,1
Charness2019,Charness et al 2019,IG,857821,52,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,857931,44,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,858114,36,1,0,-1
Charness2019,Charness et al 2019,IG,858547,60,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,858645,42,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,858859,60,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,860089,56,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,861434,65,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,861523,26,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,861773,29,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,862927,30,0,0,-1
Charness2019,Charness et al 2019,IG,863171,45,1,0,-1
Charness2019,Charness et al 2019,IG,864639,19,1,3,0.5574930686348061
Charness2019,Charness et al 2019,IG,865365,68,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,865747,64,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,865774,51,1,8,1
Charness2019,Charness et al 2019,IG,866610,31,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,866912,66,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,867041,73,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,867193,48,1,2.5,0.4658645104958218
Charness2019,Charness et al 2019,IG,867202,63,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,867300,34,1,8,1
Charness2019,Charness et al 2019,IG,869427,36,1,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,869644,63,0,3,0.5574930686348061
Charness2019,Charness et al 2019,IG,869937,65,0,8,1
Charness2019,Charness et al 2019,IG,870056,68,1,0.8,-0.6541324008159168
Charness2019,Charness et al 2019,IG,870062,56,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,873257,40,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,873324,69,1,8,1
Charness2019,Charness et al 2019,IG,873486,59,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,874060,39,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,874066,18,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,874475,84,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,875204,30,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,875418,78,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,876080,35,0,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,876113,39,1,2.5,0.4658645104958218
Charness2019,Charness et al 2019,IG,876318,50,1,8,1
Charness2019,Charness et al 2019,IG,877416,61,0,0.05,-24.989779365862265
Charness2019,Charness et al 2019,IG,877468,54,0,3,0.5574930686348061
Charness2019,Charness et al 2019,IG,877526,50,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,877770,67,0,8,1
Charness2019,Charness et al 2019,IG,878955,40,1,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,879592,62,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,879669,58,1,8,1
Charness2019,Charness et al 2019,IG,880612,58,1,5,0.753100625878466
Charness2019,Charness et al 2019,IG,880969,44,0,3,0.5574930686348061
Charness2019,Charness et al 2019,IG,882037,45,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,882876,59,0,0.5,-1.6303160028510073
Charness2019,Charness et al 2019,IG,882907,33,1,0,-1
Charness2019,Charness et al 2019,IG,883013,62,0,0.01,-128.78924094307436
Charness2019,Charness et al 2019,IG,883032,59,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,883187,63,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,883221,35,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,883566,50,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,884970,66,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,885467,43,0,2.65,0.4967697289342335
Charness2019,Charness et al 2019,IG,885644,81,0,8,1
Charness2019,Charness et al 2019,IG,885879,78,1,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,886364,55,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,886779,33,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,887448,32,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,888043,57,1,0,-1
Charness2019,Charness et al 2019,IG,888348,66,0,8,1
Charness2019,Charness et al 2019,IG,888400,49,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,889651,50,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,890344,64,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,891094,40,1,6,0.8105362315819323
Charness2019,Charness et al 2019,IG,891152,50,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,891235,67,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,891314,27,0,5.5,0.783382557727778
Charness2019,Charness et al 2019,IG,891729,43,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,891839,57,0,0.5,-1.6303160028510073
Charness2019,Charness et al 2019,IG,891928,41,1,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,892471,60,1,5,0.753100625878466
Charness2019,Charness et al 2019,IG,892572,48,0,5,0.753100625878466
Charness2019,Charness et al 2019,IG,893148,71,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,893585,59,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,893853,65,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,893939,52,0,2,0.33106574861327526
Charness2019,Charness et al 2019,IG,894839,19,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,895748,58,0,8,1
Charness2019,Charness et al 2019,IG,895776,71,0,8,1
Charness2019,Charness et al 2019,IG,895828,37,0,1,-0.3277320382410342
Charness2019,Charness et al 2019,IG,896337,42,1,3,0.5574930686348061
Charness2019,Charness et al 2019,IG,896646,44,1,0.5,-1.6303160028510073
Charness2019,Charness et al 2019,IG,896777,54,1,8,1
Charness2019,Charness et al 2019,IG,897006,44,1,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,897357,65,0,0.5,-1.6303160028510073
Charness2019,Charness et al 2019,IG,897906,55,1,5,0.753100625878466
Charness2019,Charness et al 2019,IG,898114,64,0,4,0.6763434023860203
Charness2019,Charness et al 2019,IG,899517,54,1,0.4,-2.2800908022688255
Charness2019,Charness et al 2019,quest_only,800244,56,0,7,NA
Charness2019,Charness et al 2019,quest_only,800289,58,1,4,NA
Charness2019,Charness et al 2019,quest_only,800375,68,1,2,NA
Charness2019,Charness et al 2019,quest_only,800576,73,0,1,NA
Charness2019,Charness et al 2019,quest_only,800903,40,0,7,NA
Charness2019,Charness et al 2019,quest_only,801306,22,0,2,NA
Charness2019,Charness et al 2019,quest_only,801574,29,1,2,NA
Charness2019,Charness et al 2019,quest_only,801657,63,0,5,NA
