SubjectID,RiskType1,RiskType2,task,choice,r,bibkey,paper
1,8,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
2,2,1,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
3,4,2,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
4,3,6,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
5,8,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
6,5,5,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
7,7,4,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
8,0,0,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
9,2,3,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
10,8,7,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
11,7,8,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
12,7,7,BRET,17,2.125,Csermely2016,Csermely and Rabas 2016
13,3,2,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
14,5,1,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
15,2,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
16,2,2,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
17,4,4,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
18,7,6,BRET,17,2.125,Csermely2016,Csermely and Rabas 2016
19,4,1,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
20,7,7,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
21,6,5,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
22,5,3,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
23,7,5,BRET,19,3.1666666666666665,Csermely2016,Csermely and Rabas 2016
24,6,5,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
25,6,0,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
26,3,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
27,2,2,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
28,4,2,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
29,7,5,BRET,21,5.25,Csermely2016,Csermely and Rabas 2016
30,6,6,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
31,8,6,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
32,2,2,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
33,4,4,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
34,3,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
35,5,5,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
36,8,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
37,7,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
38,3,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
39,10,8,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
40,7,4,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
41,3,3,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
42,5,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
43,7,6,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
44,3,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
45,6,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
