bibkey,paper,task,subject,gender,choice,r,Period
ErtHaruvy2017,Ert and Haruvy 2017,HL,1,0,4,0.5783619239181279,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,2,0,4,0.4923611220344901,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,3,0,1,-0.37,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,4,0,10,2.71,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,5,1,7,1.4688103033974766,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,6,1,6,1.0070758138550444,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,7,1,2,-0.34832949440926314,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,8,1,8,1.8367350326431915,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,9,1,8,1.6963571585249155,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,10,1,3,0.08333711200859398,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,11,1,9,2.2758427539933472,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,12,1,1,-0.37,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,13,1,6,1.0392262617591768,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,14,1,10,2.71,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,15,0,9,2.21862286798656,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,16,0,3,0.1957820022571832,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,17,1,8,1.8122102717030792,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,18,1,6,0.9613913793116807,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,19,1,5,0.7109819033090025,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,20,1,7,1.1505667903320862,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,21,1,4,0.38418047899147495,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,22,1,3,0.09105363343609497,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,23,1,9,2.264913080688566,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,24,1,7,1.1565080117993056,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,25,1,10,2.71,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,26,1,6,1.0701733466470613,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,27,1,6,1.1271546218078583,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,28,1,4,0.4058422002242878,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,29,0,5,0.7893535191565751,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,30,1,9,1.992022879300639,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,31,1,2,-0.24279396336525677,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,32,1,5,0.7452424207841977,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,33,1,10,2.71,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,34,1,4,0.45001092803664505,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,35,1,8,1.8250325679546222,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,36,1,6,1.100411028182134,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,37,1,4,0.3418114392901771,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,38,1,7,1.4215492029720918,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,39,1,4,0.44797316430835055,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,40,1,7,1.272118406961672,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,41,1,7,1.3559008473204448,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,42,0,5,0.6679769908962772,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,43,0,3,0.09670139646157623,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,44,1,7,1.3981926123192534,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,45,0,6,0.950578316161409,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,46,1,6,0.9581450429977849,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,47,1,3,0.07969101235270501,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,48,0,3,0.14255825876258316,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,49,1,7,1.1597031953511758,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,50,1,3,0.1364610722591169,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,51,1,3,0.07400971096009017,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,52,1,9,2.3946966332476585,1
ErtHaruvy2017,Ert and Haruvy 2017,HL,53,0,6,0.9591987529303878,1
