"partid","gen_valence","gen_arousal","gen_arouspos","gen_arousneg","gen_happy","gen_afraid","gen_sad","gen_angry","gen_motivat","gen_concentr","gen_timepr","gen_tired","pre_valence","pre_arousal","pre_arouspos","pre_arousneg","pre_happy","pre_afraid","pre_sad","pre_angry","pre_motivat","pre_concentr","pre_timepr","pre_tired","mid1_valence","mid1_arousal","mid1_arouspos","mid1_arousneg","mid1_happy","mid1_afraid","mid1_sad","mid1_angry","mid1_motivat","mid1_concentr","mid1_timepr","mid1_tired","mid2_valence","mid2_arousal","mid2_arouspos","mid2_arousneg","mid2_happy","mid2_afraid","mid2_sad","mid2_angry","mid2_motivat","mid2_concentr","mid2_timepr","mid2_tired","post_valence","post_arousal","post_arouspos","post_arousneg","post_happy","post_afraid","post_sad","post_angry","post_motivat","post_concentr","post_timepr","post_tired"
64000401,67,44,72,34,61,15,36,16,65,58,55,81,55,38,12,9,59,5,16,4,64,66,43,62,47,57,12,10,44,5,5,6,59,72,7,84,40,61,15,9,48,2,4,7,48,62,7,93,44,70,4,34,50,0,9,15,6,82,21,96
64004701,10,29,11,81,25,69,84,67,19,30,80,62,36,33,16,31,35,31,50,7,70,80,24,19,39,29,38,27,34,13,43,12,32,32,13,40,11,64,0,80,12,37,80,91,20,30,30,20,25,19,6,17,24,16,76,24,31,73,29,19
64006401,20,39,54,53,56,19,56,41,71,54,30,59,74,29,20,30,47,18,39,10,69,59,19,61,19,69,16,75,34,33,15,79,63,82,63,30,55,80,41,57,54,7,26,22,71,88,70,18,41,61,18,64,36,20,38,56,63,91,21,11
64006901,82,41,73,17,72,29,31,16,82,75,27,29,29,67,60,39,59,0,62,64,69,63,16,40,53,33,55,31,56,3,3,38,71,54,21,25,54,45,51,30,48,0,0,37,49,10,23,55,53,31,57,24,64,0,0,35,38,37,38,67
64007901,59,36,80,14,63,0,21,10,66,40,31,37,60,39,39,0,49,0,0,0,69,61,29,71,60,59,60,0,40,0,0,0,65,80,31,10,30,72,42,58,47,0,2,59,43,39,57,44,49,30,62,0,55,0,0,0,31,29,0,74
64008701,46,18,66,48,55,54,57,26,44,75,25,60,41,20,52,36,41,37,47,5,90,100,4,43,59,38,56,38,45,26,37,43,74,76,31,40,56,42,36,37,44,18,44,13,64,63,16,55,54,32,57,38,55,21,29,5,65,66,24,36
64011501,85,59,82,20,85,18,17,21,76,79,65,22,68,40,66,26,74,27,20,28,69,73,13,82,78,70,68,28,69,17,24,36,77,81,63,25,83,58,58,23,79,17,12,21,66,74,60,29,61,63,55,41,71,0,8,20,43,61,68,71
64015601,75,25,74,40,69,60,24,21,70,74,79,69,20,29,60,10,29,20,69,30,66,70,10,69,69,22,60,10,49,5,29,20,88,85,12,61,74,20,59,11,60,4,26,8,77,83,11,13,55,55,34,42,31,10,60,34,39,47,64,59
64016901,61,54,66,35,67,9,34,6,76,64,70,75,83,25,68,0,81,0,0,0,84,88,0,68,89,87,71,13,85,0,11,19,75,28,11,81,62,70,64,33,58,1,4,10,30,79,37,78,57,76,32,62,36,4,1,58,28,38,63,93
64018301,83,58,70,31,74,30,20,30,60,60,79,69,69,40,59,0,100,0,0,0,59,69,0,71,80,41,31,21,79,1,0,9,70,61,0,80,80,39,42,0,89,0,0,0,69,40,0,40,70,40,44,11,77,0,19,0,72,71,0,67
64020401,80,9,70,25,90,22,0,0,100,91,90,61,20,68,40,49,60,32,31,60,69,90,50,58,40,60,41,50,47,47,61,54,79,70,46,55,75,59,59,41,62,10,41,31,70,80,20,60,40,24,44,39,27,39,34,61,73,73,58,65
64020501,82,57,84,18,81,24,16,18,75,37,66,69,75,16,57,0,77,0,4,5,33,37,40,87,36,59,56,44,45,0,7,41,49,56,23,58,28,31,27,61,37,0,48,63,23,21,35,86,65,15,67,13,78,7,15,13,34,71,66,45
64021901,52,40,42,48,49,56,55,30,54,46,60,73,61,30,1,0,15,5,5,0,70,77,14,60,42,44,7,56,37,25,43,45,55,53,53,65,36,37,0,27,0,0,0,44,40,31,48,90,46,49,3,38,3,15,42,42,28,22,76,88
64022901,66,24,56,20,81,0,0,10,60,60,6,75,70,25,59,31,89,0,21,10,70,60,31,75,32,11,41,58,66,4,10,37,65,62,0,60,67,32,54,27,86,10,2,15,68,68,7,71,56,28,50,19,78,9,14,10,60,71,11,75
64025601,59,60,61,43,55,41,48,47,59,37,52,47,56,57,65,32,65,22,23,39,76,75,12,60,55,40,58,38,58,33,33,60,58,57,32,46,55,56,59,45,55,30,63,32,55,67,29,66,37,59,38,40,60,26,34,63,7,37,93,64
64026901,72,37,100,9,91,0,8,0,84,61,59,37,63,31,71,0,75,0,0,0,100,100,0,78,63,70,72,20,76,0,0,7,95,100,37,74,83,70,64,0,77,0,0,0,79,79,25,72,95,82,90,0,93,0,0,0,78,90,14,79
