"partid","trial","block","pumps","exploded","payoff"
64000401,2,1,13,1,0
64000401,3,1,60,0,60
64000401,4,1,22,1,0
64000401,5,1,30,1,0
64000401,6,1,37,1,0
64000401,7,1,18,0,18
64000401,8,1,28,1,0
64000401,9,1,23,0,23
64000401,10,1,26,0,26
64000401,11,2,35,0,35
64000401,12,2,35,0,35
64000401,13,2,50,0,50
64000401,14,2,58,1,0
64000401,15,2,40,0,40
64000401,16,2,50,0,50
64000401,17,2,52,0,52
64000401,18,2,1,1,0
64000401,19,2,59,0,59
64000401,20,2,61,1,0
64000401,21,3,56,1,0
64000401,22,3,37,0,37
64000401,23,3,41,0,41
64000401,24,3,39,0,39
64000401,25,3,33,1,0
64000401,26,3,25,0,25
64000401,27,3,50,0,50
64000401,28,3,48,0,48
64000401,29,3,18,1,0
64000401,30,3,24,0,24
64004701,1,1,56,1,0
64004701,2,1,28,1,0
64004701,3,1,50,0,50
64004701,4,1,13,1,0
64004701,5,1,50,0,50
64004701,6,1,100,1,0
64004701,7,1,49,0,49
64004701,8,1,1,1,0
64004701,9,1,30,1,0
64004701,10,1,18,1,0
64004701,11,2,61,0,61
64004701,12,2,50,1,0
64004701,13,2,80,0,80
64004701,14,2,33,1,0
64004701,15,2,49,1,0
64004701,16,2,60,0,60
64004701,17,2,55,1,0
64004701,18,2,60,0,60
64004701,19,2,70,0,70
64004701,20,2,80,0,80
64004701,21,3,58,1,0
64004701,22,3,65,0,65
64004701,23,3,22,1,0
64004701,24,3,70,0,70
64004701,25,3,70,0,70
64004701,26,3,70,0,70
64004701,27,3,65,0,65
64004701,28,3,50,0,50
64004701,29,3,47,1,0
64004701,30,3,37,1,0
64006401,1,1,13,1,0
64006401,2,1,15,0,15
64006401,3,1,26,0,26
64006401,4,1,16,0,16
64006401,5,1,30,0,30
64006401,6,1,40,0,40
64006401,7,1,30,1,0
64006401,8,1,35,0,35
64006401,9,1,40,0,40
64006401,10,1,45,0,45
64006401,11,2,28,1,0
64006401,12,2,33,1,0
64006401,13,2,1,1,0
64006401,14,2,25,0,25
64006401,15,2,30,0,30
64006401,16,2,34,0,34
64006401,17,2,38,0,38
64006401,18,2,43,0,43
64006401,19,2,48,0,48
64006401,20,2,39,0,39
64006401,21,3,50,1,0
64006401,22,3,29,0,29
64006401,23,3,35,0,35
64006401,24,3,38,0,38
64006401,25,3,22,1,0
64006401,26,3,50,0,50
64006401,27,3,35,0,35
64006401,28,3,41,0,41
64006401,29,3,52,0,52
64006401,30,3,32,0,32
64006901,1,1,49,0,49
64006901,2,1,44,0,44
64006901,3,1,48,0,48
64006901,4,1,27,0,27
64006901,5,1,11,0,11
64006901,6,1,42,0,42
64006901,7,1,51,0,51
64006901,8,1,61,1,0
64006901,9,1,33,0,33
64006901,10,1,50,0,50
64006901,11,2,28,1,0
64006901,12,2,34,0,34
64006901,13,2,47,1,0
64006901,14,2,22,1,0
64006901,15,2,31,0,31
64006901,16,2,30,1,0
64006901,17,2,18,1,0
64006901,18,2,22,0,22
64006901,19,2,28,0,28
64006901,20,2,33,0,33
64006901,21,3,42,0,42
64006901,22,3,31,0,31
64006901,23,3,43,0,43
64006901,24,3,33,1,0
64006901,25,3,1,1,0
64006901,26,3,23,0,23
64006901,27,3,48,0,48
64006901,28,3,48,0,48
64006901,29,3,54,0,54
64006901,30,3,41,0,41
64007901,1,1,78,1,0
64007901,2,1,60,0,60
64007901,3,1,60,0,60
64007901,4,1,61,1,0
64007901,5,1,55,0,55
64007901,6,1,45,0,45
64007901,7,1,50,0,50
64007901,8,1,55,0,55
64007901,9,1,45,0,45
64007901,10,1,55,1,0
64007901,11,2,50,0,50
64007901,12,2,40,0,40
64007901,13,2,18,1,0
64007901,14,2,1,1,0
64007901,15,2,20,0,20
64007901,16,2,30,0,30
64007901,17,2,40,0,40
64007901,18,2,50,0,50
64007901,19,2,35,0,35
64007901,20,2,33,1,0
64007901,21,3,25,0,25
64007901,22,3,13,1,0
64007901,23,3,20,0,20
64007901,24,3,20,0,20
64007901,25,3,35,0,35
64007901,26,3,22,1,0
64007901,27,3,25,0,25
64007901,28,3,20,0,20
64007901,29,3,20,0,20
64007901,30,3,30,1,0
64008701,1,1,56,1,0
