"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
64000401,411,215,0.1855081,0.24315955,-8.6309524
64004701,568,138,0.266284,0.53611266,-16.071429
64006401,349,195,0.18011335,0.20962817,29.166667
64006901,535,197,0.23818608,0.33046298,10.535714
64007901,507,250,0.23490328,0.26391171,35.714286
64008701,304,212,0.1398493,0.15431086,40.892857
64011501,387,265,0.16540617,0.18923688,37.083333
64015601,435,292,0.20394491,0.25956722,14.464286
64016901,421,279,0.18610302,0.21601677,55.77381
64018301,527,275,0.24040325,0.35689398,7.6785714
64020401,410,237,0.18761564,0.2064405,43.214286
64020501,465,293,0.2208198,0.30711734,62.321429
64021901,418,187,0.18658182,0.22423215,-45.654762
64022901,370,182,0.1671079,0.17079027,0
64025601,326,224,0.15478104,0.16637118,30.714286
64026901,461,208,0.22686157,0.24098409,106.78571
64027801,451,91,0.21848613,0.16023652,43.988095
64029901,36,31,0.020242123,0.013100494,9.9404762
64031301,154,106,0.086520923,0.07939335,21.011905
64034901,535,242,0.23183106,0.266021,68.27381
64036201,340,126,0.17473768,0.13681895,93.988095
64036701,482,269,0.21499839,0.32992843,15.416667
64037701,277,119,0.14679683,0.10169915,74.940476
64039601,146,85,0.089200267,0.061619263,25.892857
64042701,468,277,0.21503731,0.2940179,7.0238095
64046301,412,154,0.20475573,0.19237531,99.107143
64047801,392,244,0.1620114,0.16379972,-24.821429
64049601,393,167,0.1983334,0.19096344,78.214286
64049701,378,176,0.17611816,0.17589462,18.928571
64051301,373,212,0.17957305,0.20005554,60.77381
64051501,203,114,0.092755905,0.07313904,60.47619
64052901,314,141,0.15762729,0.1453202,55.357143
64053701,385,193,0.16759274,0.15654429,26.666667
64055001,551,296,0.25290047,0.33491623,62.738095
64056701,376,135,0.17766067,0.12706811,76.488095
64057101,434,228,0.18812274,0.1898215,59.166667
64057201,415,240,0.2045583,0.27028198,18.095238
64057901,281,186,0.13882702,0.14236792,74.642857
64058101,419,285,0.1976277,0.23038023,44.642857
64058701,261,120,0.14376592,0.10637672,79.583333
