"partid","location","gamble_lab","domain","gamble_ind","rt_decision","H","R","decision"
64000401,"Basel","he04_6inv","loss",1,10952,0,1,"B"
64000401,"Basel","he04_1","gain",2,4574,0,0,"B"
64000401,"Basel","he04_5","gain",3,4318,0,0,"B"
64000401,"Basel","he04_6","gain",4,7265,1,1,"A"
64000401,"Basel","he04_3","loss",5,18966,0,1,"B"
64000401,"Basel","he04_2","gain",6,8124,1,1,"A"
64000401,"Basel","he04_4","loss",7,9975,0,1,"B"
64000401,"Basel","he04_2inv","loss",8,14073,0,1,"B"
64004701,"Basel","he04_3","loss",1,14061,0,1,"B"
64004701,"Basel","he04_4","loss",2,14098,0,1,"B"
64004701,"Basel","he04_2","gain",3,6100,1,1,"A"
64004701,"Basel","he04_6","gain",4,11254,1,1,"A"
64004701,"Basel","he04_1","gain",5,7007,0,0,"B"
64004701,"Basel","he04_2inv","loss",6,67090,1,0,"A"
64004701,"Basel","he04_6inv","loss",7,10261,1,0,"A"
64004701,"Basel","he04_5","gain",8,7642,1,1,"A"
64006401,"Basel","he04_1","gain",1,6764,0,0,"B"
64006401,"Basel","he04_2","gain",2,9864,0,0,"B"
64006401,"Basel","he04_2inv","loss",3,7431,0,1,"B"
64006401,"Basel","he04_4","loss",4,4824,0,1,"B"
64006401,"Basel","he04_3","loss",5,5657,1,0,"A"
64006401,"Basel","he04_6inv","loss",6,6974,0,1,"B"
64006401,"Basel","he04_5","gain",7,11493,1,1,"A"
64006401,"Basel","he04_6","gain",8,10683,0,0,"B"
64006901,"Basel","he04_2inv","loss",1,8676,1,0,"A"
64006901,"Basel","he04_5","gain",2,9018,0,0,"B"
64006901,"Basel","he04_3","loss",3,7641,1,0,"A"
64006901,"Basel","he04_6","gain",4,10850,1,1,"A"
64006901,"Basel","he04_2","gain",5,7671,0,0,"B"
64006901,"Basel","he04_4","loss",6,10528,0,1,"B"
64006901,"Basel","he04_1","gain",7,9324,0,0,"B"
64006901,"Basel","he04_6inv","loss",8,21297,1,0,"A"
64007901,"Basel","he04_2inv","loss",1,17436,0,1,"B"
64007901,"Basel","he04_6","gain",2,25040,1,1,"A"
64007901,"Basel","he04_4","loss",3,8413,0,1,"B"
64007901,"Basel","he04_6inv","loss",4,17414,0,1,"B"
64007901,"Basel","he04_3","loss",5,9413,0,1,"B"
64007901,"Basel","he04_2","gain",6,6557,1,1,"A"
64007901,"Basel","he04_1","gain",7,7609,0,0,"B"
64007901,"Basel","he04_5","gain",8,10349,0,0,"B"
64008701,"Basel","he04_5","gain",1,20271,1,1,"A"
64008701,"Basel","he04_3","loss",2,25866,0,1,"B"
64008701,"Basel","he04_2inv","loss",3,16584,0,1,"B"
64008701,"Basel","he04_2","gain",4,18592,1,1,"A"
64008701,"Basel","he04_6inv","loss",5,23079,1,0,"A"
64008701,"Basel","he04_6","gain",6,7567,1,1,"A"
64008701,"Basel","he04_4","loss",7,14980,0,1,"B"
64008701,"Basel","he04_1","gain",8,7842,0,0,"B"
64011501,"Basel","he04_4","loss",1,8510,0,1,"B"
64011501,"Basel","he04_3","loss",2,36305,1,0,"A"
64011501,"Basel","he04_2inv","loss",3,12488,1,0,"A"
64011501,"Basel","he04_6inv","loss",4,9150,1,0,"A"
64011501,"Basel","he04_2","gain",5,11638,0,0,"B"
64011501,"Basel","he04_1","gain",6,6079,0,0,"B"
64011501,"Basel","he04_6","gain",7,10311,1,1,"A"
64011501,"Basel","he04_5","gain",8,7928,0,0,"B"
64015601,"Basel","he04_1","gain",1,5475,0,0,"B"
64015601,"Basel","he04_2","gain",2,8315,1,1,"A"
