"partid","location","gamble_lab","domain","gamble_ind","samples","switches","swrate","A_mean","A_var","B_mean","B_var","rare_n","rt_sample","rt_decision","H","Hexp","R","Rexp","decision"
"64000401","Basel","he04_2inv","loss",1,35,3,0.09,-0.95,2.05,-1.75,4.2,7,1322,2486,1,1,0,0,"A"
"64000401","Basel","he04_6","gain",2,25,2,0.08,0,0,0.92,2.08,0,1166,1659,0,1,0,1,"B"
"64000401","Basel","he04_2","gain",3,30,1,0.03,0.5,1.87,1.07,2.23,2,1195,1281,1,0,1,0,"A"
"64000401","Basel","he04_6inv","loss",4,32,2,0.06,-0.16,0.47,0,0,0,1184,1302,1,0,0,1,"A"
"64000401","Basel","he04_4","loss",5,29,2,0.07,-3,0,-2.67,3.81,5,1262,1143,0,1,1,1,"B"
"64000401","Basel","he04_3","loss",6,26,1,0.04,-3,0,0,0,0,1232,1141,0,1,1,NA,"B"
"64000401","Basel","he04_5","gain",7,27,2,0.08,3.76,112.94,3,0,2,1208,936,0,0,0,0,"B"
"64000401","Basel","he04_1","gain",8,20,2,0.11,2.33,4.24,3,0,5,1253,1780,0,1,0,0,"B"
"64004701","Basel","he04_6","gain",1,63,13,0.21,0.82,26.26,0.75,1.76,1,1065,2720,1,1,1,1,"A"
"64004701","Basel","he04_6inv","loss",2,29,4,0.14,-1,2.12,0,0,0,1094,646,0,1,1,0,"B"
"64004701","Basel","he04_2","gain",3,7,0,0,0,0,NA,NA,0,2057,1813,1,NA,1,NA,"A"
"64004701","Basel","he04_2inv","loss",4,10,9,1,-1.8,2.7,-1.6,4.8,2,1024,270,1,0,0,0,"A"
"64004701","Basel","he04_5","gain",5,2,1,1,0,NA,3,NA,0,982,1097,0,1,0,NA,"B"
"64004701","Basel","he04_4","loss",6,17,16,1,-3,0,-2.67,4,3,954,312,0,1,1,1,"B"
"64004701","Basel","he04_1","gain",7,4,3,1,4,0,3,0,0,894,678,0,0,0,NA,"B"
"64004701","Basel","he04_3","loss",8,4,3,1,-3,0,0,0,0,974,1461,0,1,1,NA,"B"
"64006401","Basel","he04_3","loss",1,22,3,0.14,-3,0,0,0,0,1052,742,0,1,1,NA,"B"
"64006401","Basel","he04_5","gain",2,24,3,0.13,0,0,3,0,0,1056,594,0,1,0,NA,"B"
"64006401","Basel","he04_1","gain",3,18,1,0.06,3.11,3.11,3,0,2,1028,632,0,0,0,0,"B"
"64006401","Basel","he04_2","gain",4,23,4,0.18,0.29,1.14,1,2.25,1,1100,417,0,1,0,1,"B"
"64006401","Basel","he04_2inv","loss",5,25,1,0.04,-1.5,2.57,-0.71,2.47,3,1058,313,0,1,1,0,"B"
"64006401","Basel","he04_4","loss",6,23,1,0.05,-3,0,-2.67,4,3,1119,642,0,1,1,1,"B"
"64006401","Basel","he04_6inv","loss",7,29,2,0.07,-0.27,0.82,0,0,0,1078,471,0,1,1,0,"B"
"64006401","Basel","he04_6","gain",8,28,3,0.11,0,0,0.75,1.93,0,1167,425,0,1,0,1,"B"
"64006901","Basel","he04_6inv","loss",1,16,1,0.07,-1.2,2.4,0,0,0,1324,1878,0,1,1,0,"B"
"64006901","Basel","he04_6","gain",2,15,1,0.07,0,0,0.75,1.93,0,1246,5199,0,1,0,1,"B"
"64006901","Basel","he04_3","loss",3,14,1,0.08,-3,0,-4,128,1,1416,643,0,0,1,1,"B"
"64006901","Basel","he04_1","gain",4,12,1,0.09,3.33,2.67,3,0,1,1279,891,1,1,1,1,"A"
"64006901","Basel","he04_4","loss",5,10,1,0.11,-3,0,-4,0,0,1294,974,1,1,0,NA,"A"
"64006901","Basel","he04_2inv","loss",6,13,1,0.08,-0.43,1.29,0,0,0,1338,627,1,0,0,1,"A"
"64006901","Basel","he04_2","gain",7,17,1,0.06,0.44,1.78,0.38,1.12,1,1252,1133,1,1,1,1,"A"
"64006901","Basel","he04_5","gain",8,14,1,0.08,8,219.43,3,0,2,1322,608,1,1,1,1,"A"
"64007901","Basel","he04_5","gain",1,5,1,0.25,0,NA,3,0,0,2597,11533,1,0,1,NA,"A"
"64007901","Basel","he04_6inv","loss",2,10,2,0.22,-1,3,0,0,0,1123,5530,0,1,1,0,"B"
"64007901","Basel","he04_3","loss",3,4,1,0.33,-3,0,0,0,0,1100,780,0,1,1,NA,"B"
"64007901","Basel","he04_6","gain",4,3,1,0.5,0,0,0,NA,0,2276,725,0,NA,0,NA,"B"
"64007901","Basel","he04_2","gain",5,2,1,1,0,NA,3,NA,0,2998,565,0,1,0,NA,"B"
"64007901","Basel","he04_2inv","loss",6,9,4,0.5,0,0,-1,4,1,1051,426,1,1,0,0,"A"
"64007901","Basel","he04_1","gain",7,2,1,1,0,NA,3,NA,1,1212,358,0,1,0,NA,"B"
"64007901","Basel","he04_4","loss",8,2,1,1,-3,NA,-4,NA,0,1888,587,1,1,0,NA,"A"
"64008701","Basel","he04_5","gain",1,18,13,0.76,0,0,3,0,0,1244,1278,0,1,0,NA,"B"
"64008701","Basel","he04_2inv","loss",2,71,64,0.91,-0.83,1.86,-0.8,2.64,7,1214,857,1,0,0,0,"A"
"64008701","Basel","he04_2","gain",3,74,73,1,0.76,2.52,1.05,2.11,7,1203,1353,1,0,1,1,"A"
"64008701","Basel","he04_1","gain",4,37,36,1,3.58,1.59,3,0,2,1225,862,1,1,1,1,"A"
"64008701","Basel","he04_6inv","loss",5,86,85,1,-0.7,1.64,-0.74,23.81,1,1153,993,0,0,1,1,"B"
"64008701","Basel","he04_4","loss",6,76,75,1,-3,0,-2.84,3.38,11,1120,820,0,1,1,1,"B"
"64008701","Basel","he04_6","gain",7,33,32,1,0,0,0.35,0.99,0,1395,957,0,1,0,1,"B"
"64008701","Basel","he04_3","loss",8,22,21,1,-3,0,-2.91,93.09,1,1332,867,0,1,1,1,"B"
"64011501","Basel","he04_1","gain",1,16,15,1,3.5,2,3,0,1,1750,1225,1,1,1,1,"A"
"64011501","Basel","he04_4","loss",2,32,31,1,-3,0,-3.5,1.87,2,1371,546,1,1,0,0,"A"
"64011501","Basel","he04_5","gain",3,12,11,1,0,0,3,0,0,1204,840,0,1,0,NA,"B"
"64011501","Basel","he04_2inv","loss",4,31,30,1,-0.6,1.54,-0.25,1,1,1271,568,0,1,1,0,"B"
"64011501","Basel","he04_6inv","loss",5,42,41,1,-0.57,1.46,0,0,0,1201,1720,0,1,1,0,"B"
"64011501","Basel","he04_2","gain",6,18,17,1,0,0,0.67,1.75,0,1105,562,0,1,0,1,"B"
"64011501","Basel","he04_6","gain",7,29,28,1,0,0,0.4,1.11,0,1200,705,0,1,0,1,"B"
"64011501","Basel","he04_3","loss",8,12,11,1,-3,0,0,0,0,1130,626,0,1,1,NA,"B"
"64015601","Basel","he04_4","loss",1,8,1,0.14,-3,0,-3,4,1,1392,1624,0,NA,1,1,"B"
"64015601","Basel","he04_2","gain",2,11,1,0.1,1.33,4.27,0.6,1.8,2,1303,528,1,1,1,1,"A"
"64015601","Basel","he04_6","gain",3,10,1,0.11,0,0,1.2,2.7,0,1320,582,0,1,0,1,"B"
"64015601","Basel","he04_5","gain",4,10,1,0.11,6.4,204.8,3,0,1,1399,640,1,1,1,1,"A"
"64015601","Basel","he04_3","loss",5,8,1,0.14,-3,0,0,0,0,1194,443,0,1,1,NA,"B"
"64015601","Basel","he04_6inv","loss",6,12,1,0.09,0,0,0,0,0,1058,423,0,NA,1,NA,"B"
"64015601","Basel","he04_2inv","loss",7,9,1,0.12,-1.5,3,0,0,0,1281,755,0,1,1,0,"B"
"64015601","Basel","he04_1","gain",8,10,2,0.22,3,4,3,0,1,1271,690,0,NA,0,0,"B"
"64016901","Basel","he04_6inv","loss",1,47,7,0.15,-0.71,1.71,0,0,0,1226,2389,0,1,1,0,"B"
"64016901","Basel","he04_1","gain",2,32,7,0.23,3.11,2.93,3,0,4,1182,1502,0,0,0,0,"B"
"64016901","Basel","he04_2","gain",3,38,2,0.05,0.63,2.25,0.63,1.58,3,1172,944,0,NA,0,0,"B"
"64016901","Basel","he04_5","gain",4,30,1,0.03,2.91,88.66,3,0,2,1152,900,0,1,0,0,"B"
"64016901","Basel","he04_4","loss",5,29,2,0.07,-3,0,-3.47,1.98,2,1158,867,1,1,0,0,"A"
"64016901","Basel","he04_6","gain",6,39,2,0.05,1.52,48.76,0.83,1.91,1,1218,946,0,0,0,0,"B"
"64016901","Basel","he04_2inv","loss",7,43,2,0.05,-0.8,1.89,-0.57,2.03,4,1084,766,0,1,1,1,"B"
"64016901","Basel","he04_3","loss",8,22,1,0.05,-3,0,-3.2,102.4,1,1074,960,0,0,1,1,"B"
"64018301","Basel","he04_2inv","loss",1,11,9,0.9,0,0,-1.33,4.27,2,1245,1336,1,1,0,0,"A"
"64018301","Basel","he04_6inv","loss",2,13,12,1,-1,2.4,0,0,0,1153,652,0,1,1,0,"B"
"64018301","Basel","he04_3","loss",3,7,6,1,-3,0,0,0,0,1415,1057,0,1,1,NA,"B"
"64018301","Basel","he04_1","gain",4,2,1,1,0,NA,3,NA,1,1286,618,0,1,0,NA,"B"
"64018301","Basel","he04_5","gain",5,2,1,1,0,NA,3,NA,0,1058,412,0,1,0,NA,"B"
"64018301","Basel","he04_4","loss",6,2,1,1,-3,NA,-4,NA,0,1108,568,1,1,0,NA,"A"
"64018301","Basel","he04_2","gain",7,2,1,1,4,NA,3,NA,1,1018,459,1,1,1,NA,"A"
"64018301","Basel","he04_6","gain",8,4,3,1,0,0,3,0,0,923,443,0,1,0,NA,"B"
"64020401","Basel","he04_1","gain",1,7,6,1,4,0,3,0,0,1070,748,0,0,0,NA,"B"
"64020401","Basel","he04_6inv","loss",2,8,7,1,-0.75,2.25,0,0,0,1099,505,0,1,1,0,"B"
"64020401","Basel","he04_3","loss",3,11,9,0.9,-3,0,-10.67,273.07,2,1107,701,0,0,1,1,"B"
"64020401","Basel","he04_5","gain",4,12,11,1,0,0,3,0,0,929,496,0,1,0,NA,"B"
"64020401","Basel","he04_2inv","loss",5,14,13,1,-1.29,2.57,-0.57,2.29,1,886,427,0,1,1,0,"B"
