"partid","MTr","MTr.1","MTr.2","MTr.3","dif.perc.bound","dif.amb.fx.bound","dif.risk.fx.bound","dif.amb.fx.bias","dif.risk.fx.bias"
64000401,0.703980099502488,0.697761194029851,0.708955223880597,0.705223880597015,0.093711,0.037123,-0.016447,0.19406,0.19406
64004701,0.738805970149254,0.731343283582089,0.738805970149254,0.746268656716418,0.21021,-0.014232,0.094077,0.21397,0.21397
64006401,0.764925373134329,0.791044776119403,0.75,0.753731343283582,0.25804,0.069305,-0.081702,-0.0060031,-0.0060031
64006901,0.670398009950249,0.667910447761194,0.664179104477612,0.67910447761194,0.16647,0.010061,-0.058604,0.022329,0.022329
64007901,0.746268656716418,0.753731343283582,0.720149253731344,0.764925373134329,0.28157,-0.063044,-0.014076,0.019153,0.019153
64008701,0.737562189054726,0.723880597014925,0.735074626865671,0.753731343283582,0.24079,0.0095978,-0.11233,-0.022428,-0.022428
64011501,0.690298507462687,0.708955223880597,0.69776119402985,0.664179104477612,0.23303,-0.045787,0.0026292,0.16393,0.16393
64015601,0.75497512437811,0.768656716417911,0.720149253731344,0.776119402985074,0.13134,0.031287,-0.019829,-0.090202,-0.090202
64016901,0.752487562189055,0.746268656716418,0.738805970149254,0.772388059701492,0.23521,0.10204,-0.11839,0.093145,0.093145
64018301,0.736318407960199,0.723880597014925,0.727611940298508,0.757462686567164,0.23151,-0.06908,-0.039958,0.21393,0.21393
64020401,0.736318407960199,0.746268656716418,0.727611940298508,0.735074626865671,0.38307,-0.052245,-0.14649,-0.11336,-0.11336
64020501,0.694029850746269,0.664179104477612,0.746268656716418,0.671641791044776,0.33153,-0.037542,0.011387,-0.00341,-0.00341
64021901,0.742537313432836,0.746268656716418,0.757462686567164,0.723880597014925,0.26372,-0.091618,-0.017531,-0.077827,-0.077827
64022901,0.712686567164179,0.708955223880597,0.720149253731344,0.708955223880597,0.32849,-0.090958,0.049208,0.19964,0.19964
64025601,0.685323383084577,0.705223880597015,0.656716417910448,0.694029850746269,0.24203,0.042285,-0.15153,0.14595,0.14595
64026901,0.738805970149254,0.742537313432836,0.761194029850746,0.712686567164179,0.20249,0.0015976,0.033021,-0.083143,-0.083143
64027801,0.730099502487562,0.720149253731344,0.75,0.720149253731344,0.19244,-0.029039,0.020282,-0.17916,-0.17916
64029901,0.722636815920398,0.716417910447761,0.735074626865671,0.716417910447761,0.17033,-0.042779,0.016008,-0.16932,-0.16932
64031301,0.742537313432836,0.727611940298508,0.757462686567164,0.742537313432836,0.36677,-0.16021,0.0088803,-0.029788,-0.029788
64034901,0.742537313432836,0.746268656716418,0.742537313432836,0.738805970149254,0.32304,0.13651,-0.1788,0.16203,0.16203
64036201,0.756218905472637,0.720149253731344,0.791044776119403,0.757462686567164,0.21951,-0.061559,-0.013919,-0.0022888,-0.0022888
64036701,0.738805970149254,0.667910447761194,0.776119402985074,0.772388059701492,0.20253,0.053137,0.00012459,-0.049865,-0.049865
64037701,0.72636815920398,0.720149253731344,0.738805970149254,0.720149253731344,0.29831,-0.069363,-0.030961,0.024774,0.024774
64039601,0.67910447761194,0.649253731343284,0.67910447761194,0.708955223880597,0.31097,-0.068989,-0.011218,-0.043461,-0.043461
64042701,0.757462686567164,0.761194029850746,0.764925373134329,0.746268656716418,0.19076,0.095143,-0.11732,-0.048861,-0.048861
64046301,0.74502487562189,0.742537313432836,0.779850746268657,0.712686567164179,0.18257,0.0020167,0.048207,0.19035,0.19035
64047801,0.753731343283582,0.742537313432836,0.779850746268657,0.738805970149254,0.30841,-0.081181,0.086035,0.095728,0.095728
64049601,0.752487562189055,0.731343283582089,0.787313432835821,0.738805970149254,0.3106,-0.14853,0.037738,-0.21365,-0.21365
64049701,0.728855721393035,0.761194029850746,0.723880597014925,0.701492537313433,0.24988,-0.11521,0.0082597,0.0069674,0.0069674
64051301,0.752487562189055,0.779850746268657,0.735074626865671,0.742537313432836,0.19929,0.0034195,-0.0040713,-0.0053125,-0.0053125
64051501,0.699004975124378,0.716417910447761,0.694029850746269,0.686567164179104,0.27398,-0.078881,0.18662,0.025927,0.025927
64052901,0.715174129353234,0.764925373134329,0.708955223880597,0.671641791044776,0.10694,0.070072,0.076421,0.16633,0.16633
64053701,0.748756218905473,0.735074626865671,0.746268656716418,0.764925373134329,0.1822,0.0029927,-0.037452,-0.066082,-0.066082
64055001,0.75497512437811,0.720149253731344,0.779850746268657,0.764925373134329,0.20193,-0.043595,0.047175,0.17922,0.17922
64056701,0.740049751243781,0.742537313432836,0.757462686567164,0.720149253731344,0.34598,-0.088595,-0.060595,0.11356,0.11356
64057101,0.74502487562189,0.738805970149254,0.757462686567164,0.738805970149254,0.34583,-0.053658,-0.048343,-0.11093,-0.11093
64057201,0.735074626865671,0.705223880597015,0.746268656716418,0.753731343283582,0.15807,0.068156,-0.027441,-0.067825,-0.067825
64057901,0.710199004975125,0.690298507462687,0.697761194029851,0.742537313432836,0.1799,-0.040833,0.021687,0.0038781,0.0038781
64058101,0.75,0.746268656716418,0.746268656716418,0.757462686567164,0.2392,-0.023525,-0.025351,0.10653,0.10653
64058701,0.764925373134329,0.738805970149254,0.783582089552239,0.772388059701492,0.22587,-0.097246,0.045871,-0.0071071,-0.0071071
64059001,0.733830845771144,0.764925373134329,0.731343283582089,0.705223880597015,0.32896,-0.1543,-0.012799,0.0078407,0.0078407
64060701,0.756218905472637,0.720149253731344,0.746268656716418,0.802238805970149,0.19545,-0.070496,0.035271,0.049987,0.049987
64061701,0.742537313432836,0.708955223880597,0.757462686567164,0.761194029850746,0.28787,-0.097292,-0.020978,0.19355,0.19355
64061901,0.737562189054726,0.746268656716418,0.723880597014925,0.742537313432836,0.25855,-0.092687,0.020951,-0.093734,-0.093734
64063501,0.730099502487562,0.723880597014925,0.738805970149254,0.727611940298508,0.33313,-0.016162,-0.11662,-0.065966,-0.065966
