"partid","duration","raw","percentile","t","z","iq","stanine","sten","c11"
64000401,22,9.56,12,38,88,82,3,3,2
64004701,20,10.6,5,34,84,76,2,2,1
64006401,16,10.85,4,32,82,73,1,2,1
64006901,17,9.16,16,40,90,85,3,4,3
64007901,14,7.88,36,46,96,94,4,5,4
64008701,20,8.29,27,44,94,91,4,4,4
64011501,18,7.13,54,51,101,102,5,6,5
64015601,17,8.53,22,42,92,88,3,4,3
64016901,19,7.88,36,46,96,94,4,5,4
64018301,17,6.55,67,54,104,106,6,6,6
64020401,14,6.61,66,54,104,106,6,6,6
64020501,17,6.42,70,55,105,108,6,7,6
64021901,19,6.59,67,54,104,106,6,6,6
64022901,16,8.47,23,43,93,90,4,4,3
64025601,23,9.54,12,38,88,82,3,3,2
64026901,14,7.45,46,49,99,99,5,5,5
64027801,19,9.79,10,37,87,81,2,3,2
64029901,20,5.35,88,62,112,118,7,8,8
64031301,16,7.86,37,47,97,96,4,5,4
64034901,15,9.43,13,39,89,84,3,3,2
64036201,19,9.4,13,39,89,84,3,3,2
64036701,12,5.12,91,63,113,120,8,8,8
64037701,24,9.72,11,38,88,82,3,3,2
64039601,17,8.2,29,44,94,91,4,4,4
64042701,23,8.3,26,44,94,91,4,4,4
64046301,16,6.53,68,55,105,108,6,7,6
64047801,15,7.47,46,49,99,99,5,5,5
64049601,15,6.37,71,56,106,109,6,7,7
64049701,19,10.9,4,32,82,73,1,2,1
64051301,19,6.73,63,53,103,105,6,6,6
64051501,19,9.34,14,39,89,84,3,3,2
64052901,19,7.61,43,48,98,97,5,5,5
64053701,16,8.53,22,42,92,88,3,4,3
64055001,18,9.59,11,38,88,82,3,3,2
64056701,16,8.19,29,44,94,91,4,4,4
64057101,30,6.11,77,57,107,111,6,7,7
64057201,20,8.94,18,41,91,87,3,4,3
64057901,23,7.71,40,47,97,96,4,5,4
64058101,16,5.95,80,58,108,112,7,7,7
64058701,18,6.5,69,55,105,108,6,7,6
64059001,14,7.71,40,47,97,96,4,5,4
64060701,14,7.24,50,50,100,100,5,6,5
64061701,16,9.74,10,37,87,81,2,3,2
64061901,15,9.82,10,37,87,81,2,3,2
64063501,22,10.73,4,32,82,73,1,2,1
64063601,17,8.14,30,45,95,93,4,5,4
64066601,15,8.8,19,41,91,87,3,4,3
64067701,18,7.89,36,46,96,94,4,5,4
64068201,14,5.63,85,60,110,115,7,8,8
64069001,16,7.04,55,51,101,102,5,6,5
64069401,17,10.61,5,34,84,76,2,2,1
64069501,16,6.39,71,56,106,109,6,7,7
64069601,19,6.74,63,53,103,105,6,6,6
64070201,17,8.8,19,41,91,87,3,4,3
64070601,17,7.58,43,48,98,97,5,5,5
64071401,17,7.24,50,50,100,100,5,6,5
64072601,18,7.44,47,49,99,99,5,5,5
64072701,15,10.22,7,35,85,78,2,3,1
64072901,14,7.53,44,48,98,97,5,5,5
64073001,16,7.86,37,47,97,96,4,5,4
64073201,23,7.8,38,47,97,96,4,5,4
64073501,15,6.26,74,56,106,109,6,7,7
64075601,17,6.66,65,54,104,106,6,6,6
64075801,15,5.67,85,60,110,115,7,8,8
64076301,17,7.17,53,51,101,102,5,6,5
64079401,15,9.51,12,38,88,82,3,3,2
64079601,20,9.18,15,40,90,85,3,4,3
64079801,17,8.02,32,45,95,93,4,5,4
64080101,17,7.72,39,47,97,96,4,5,4
64081701,24,8.22,29,44,94,91,4,4,4
64082001,15,7.5,45,49,99,99,5,5,5
64082301,17,6.6,66,54,104,106,6,6,6
64083001,15,7.64,42,48,98,97,5,5,5
64083901,14,8.49,23,43,93,90,4,4,3
64084601,14,7.14,53,51,101,102,5,6,5
64085501,15,8.42,24,43,93,90,4,4,3
64086301,19,9.51,12,38,88,82,3,3,2
64088601,17,8.6,22,42,92,88,3,4,3
64089401,14,8.43,24,43,93,90,4,4,3
64089701,20,7.48,46,49,99,99,5,5,5
64090101,17,8.4,25,43,93,90,4,4,3
64090301,19,8.58,22,42,92,88,3,4,3
64090901,16,9.51,12,38,88,82,3,3,2
64092901,19,8.17,29,44,94,91,4,4,4
64093501,19,9.24,15,40,90,85,3,4,3
64094201,17,7.76,39,47,97,96,4,5,4
64096601,18,5.82,83,60,110,115,7,8,8
64098201,16,8.45,24,43,93,90,4,4,3
64099201,16,9.48,12,38,88,82,3,3,2
64100101,19,9.59,11,38,88,82,3,3,2
64100701,19,9.94,9,37,87,81,2,3,2
64100901,19,9.8,10,37,87,81,2,3,2
64101101,17,7.57,43,48,98,97,5,5,5
64102101,18,6.54,68,55,105,108,6,7,6
64102401,16,5.4,88,62,112,118,7,8,8
64102801,21,10.02,8,36,86,79,2,3,2
64103301,17,9.43,13,39,89,84,3,3,2
64103801,16,10.79,4,32,82,73,1,2,1
64104501,20,7.42,47,49,99,99,5,5,5
64104601,21,7.91,35,46,96,94,4,5,4
64105101,14,7.17,53,51,101,102,5,6,5
64109601,15,9.18,15,40,90,85,3,4,3
64110701,18,7.69,40,47,97,96,4,5,4
64111001,18,9.9,9,37,87,81,2,3,2
64111201,15,9.71,11,38,88,82,3,3,2
64112901,15,7.06,55,51,101,102,5,6,5
64113001,17,9.87,9,37,87,81,2,3,2
64114801,20,6.05,79,58,108,112,7,7,7
64115101,16,6.77,62,53,103,105,6,6,6
64115601,18,9.34,14,39,89,84,3,3,2
64116101,13,5.29,89,62,112,118,7,8,8
64116201,17,9.55,12,38,88,82,3,3,2
64116301,17,9.44,12,38,88,82,3,3,2
64116901,19,9.73,11,38,88,82,3,3,2
64117601,13,6.53,68,55,105,108,6,7,6
64118001,25,8.47,23,43,93,90,4,4,3
64118401,14,7.54,44,48,98,97,5,5,5
