bibkey;paper;name;link;task;subject;age;gender;choice;r;treatment;inconsistent;soep;dosocial;dohealth;doinvest;dogamble;doethic;dorecre;doall;key;sex;metabibkey;soep_financial
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;10951;22;0;40;0.6666666666666666;NA;NA;6;5.5;3.6666667461395264;2.6666667461395264;1;1.8333333730697632;5;3.277777910232544;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;11312;21;1;61;1.564102564102564;NA;NA;8;3.6666667461395264;3;4;2.3333332538604736;3.5;4.333333492279053;3.472222328186035;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;11509;28;0;61;1.564102564102564;NA;NA;4;5;5;1.6666666269302368;1;3.3333332538604736;4.333333492279053;3.3888888359069824;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;20951;28;1;35;0.5384615384615384;NA;NA;1;4.833333492279053;2.3333332538604736;2.6666667461395264;1.3333333730697632;1.1666666269302368;3.6666667461395264;2.6666667461395264;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;21312;22;0;61;1.564102564102564;NA;NA;10;5.5;6.5;5;7;5.5;6.5;6;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;21509;22;1;61;1.564102564102564;NA;NA;7;4.666666507720947;4.5;2.3333332538604736;1.3333333730697632;2.6666667461395264;3.3333332538604736;3.1388888359069824;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;30951;28;0;61;1.564102564102564;NA;NA;8;4.333333492279053;2;3;3.6666667461395264;1.5;2.3333332538604736;2.805555582046509;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;31312;24;1;50;1;NA;NA;3;4.166666507720947;1;1.3333333730697632;1;3.1666667461395264;3.6666667461395264;2.3888888359069824;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;31509;21;0;61;1.564102564102564;NA;NA;8;5.5;5.5;3.6666667461395264;1.6666666269302368;1.8333333730697632;5.666666507720947;3.972222328186035;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;40951;25;0;29;0.4084507042253521;NA;NA;3;5.666666507720947;2.8333332538604736;3;2;2.1666667461395264;4;3.277777671813965;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;41312;20;1;40;0.6666666666666666;NA;NA;1;6.5;2.1666667461395264;1.6666666269302368;1.6666666269302368;1.1666666269302368;3.8333332538604736;2.8333332538604736;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;41509;22;0;61;1.564102564102564;NA;NA;5;4.5;3;4.666666507720947;5;3;5.5;4.277777671813965;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;50951;22;1;61;1.564102564102564;NA;NA;5;2.8333332538604736;2;3.3333332538604736;1;1.5;3.1666667461395264;2.305555582046509;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;51312;26;0;61;1.564102564102564;NA;NA;8;5;3.1666667461395264;5;4.666666507720947;2.3333332538604736;5.666666507720947;4.30555534362793;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;51509;21;1;19;0.2345679012345679;NA;NA;2;5.333333492279053;2.3333332538604736;2.6666667461395264;2.6666667461395264;2.1666667461395264;4;3.194444417953491;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;61312;26;1;35;0.5384615384615384;NA;NA;1;3.5;1.5;3.3333332538604736;1.6666666269302368;2.5;3;2.5833332538604736;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;61509;19;1;54;1.173913043478261;NA;NA;6;3.6666667461395264;2.6666667461395264;2.6666667461395264;1;1.1666666269302368;4;2.527777910232544;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;70951;28;0;41;0.6949152542372882;NA;NA;7;4.833333492279053;2.8333332538604736;4.333333492279053;4.666666507720947;2.1666667461395264;4.5;3.8888888359069824;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;71312;23;0;50;1;NA;NA;7;6.166666507720947;4.333333492279053;5.333333492279053;4.333333492279053;2.3333332538604736;3.5;4.333333492279053;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;71509;25;1;61;1.564102564102564;NA;NA;7;3.8333332538604736;3.8333332538604736;2;1;1.8333333730697632;3.3333332538604736;2.6388888359069824;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;80951;21;1;40;0.6666666666666666;NA;NA;4;5.166666507720947;3.3333332538604736;4.333333492279053;2;3.3333332538604736;4;3.694444417953491;pump;NA;NA;NA
Crosetto2016;Crosetto and Filippin EXEC 2016;A Reconsideration of Gender Differences in Risk Attitudes;https://econpapers.repec.org/article/inmormnsc/v_3a62_3ay_3a2016_3ai_3a11_3ap_3a3138-3160.htm;BART;81312;22;1;40;0.6666666666666666;NA;NA;6;4.666666507720947;3.6666667461395264;3.3333332538604736;2.3333332538604736;1.6666666269302368;3.8333332538604736;3.25;pump;NA;NA;NA
